IYF: iShares U.S. Financials ETF
Inception Date: 2000-05-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1857263
Shares Outstanding: 13200000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Financials Index
ETFdb.com Category: Financials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYF


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,7.4399%
JPMorgan Chase & Co,JPM,7.1968%
Visa Inc,V,5.8055%
Mastercard Inc,MA,4.7151%
Bank of America Corp,BAC,4.4362%
Wells Fargo & Co,WFC,3.0909%
Citigroup Inc,C,2.8839%
American Tower Corp,AMT,1.7753%
American Express Co,AXP,1.4848%
U.S. Bancorp,USB,1.3033%
CME Group Inc,CME,1.2827%
Goldman Sachs Group Inc,GS,1.2733%
Chubb Ltd,CB,1.2383%
Truist Financial Corp,TFC,1.2219%
S&P Global Inc,SPGI,1.2124%
Prologis Inc,PLD,1.1548%
Morgan Stanley,MS,1.1366%
PNC Financial Services Group Inc,PNC,1.1272%
BlackRock Inc,BLK,1.0994%
Crown Castle International Corp,CCI,1.0506%
Marsh & McLennan Companies Inc,MMC,0.9888%
Charles Schwab Corp,SCHW,0.9084%
Aon PLC,AON,0.9045%
Equinix Inc,EQIX,0.8676%
Intercontinental Exchange Inc,ICE,0.8659%
Progressive Corp,PGR,0.8171%
Capital One Financial Corp,COF,0.7959%
American International Group Inc,AIG,0.7807%
Moody's Corp,MCO,0.7291%
Simon Property Group Inc,SPG,0.7264%
Blackstone Group Inc,BX,0.6947%
MetLife Inc,MET,0.6768%
Allstate Corp,ALL,0.6767%
Bank of New York Mellon Corp,BK,0.6656%
Aflac Inc,AFL,0.6522%
Prudential Financial Inc,PRU,0.6389%
Travelers Companies Inc,TRV,0.5893%
Welltower Inc,WELL,0.573%
Public Storage,PSA,0.568%
T. Rowe Price Group Inc,TROW,0.5423%
AvalonBay Communities Inc,AVB,0.5138%
Equity Residential,EQR,0.4934%
SBA Communications Corp,SBAC,0.4892%
State Street Corp,STT,0.4831%
Willis Towers Watson PLC,WLTW,0.4538%
Realty Income Corp,O,0.435%
Digital Realty Trust Inc,DLR,0.4319%
MSCI Inc,MSCI,0.4235%
CoStar Group Inc,CSGP,0.4099%
Discover Financial Services,DFS,0.3962%
Cash Component,CASH,0.3905%
