IYH: iShares U.S. Healthcare ETF
Inception Date: 2000-06-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2299794
Shares Outstanding: 10550000
Expense Ratio: 0.43%
Tracks This Index: Dow Jones U.S. Health Care Index
ETFdb.com Category: Health & Biotech Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYH


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,9.6252%
UnitedHealth Group Inc,UNH,6.5976%
Merck & Co Inc,MRK,5.2156%
Pfizer Inc,PFE,5.0701%
Medtronic PLC,MDT,3.8389%
Abbott Laboratories,ABT,3.7393%
Bristol-Myers Squibb Co,BMY,3.7393%
Abbvie Inc,ABBV,3.2861%
Amgen Inc,AMGN,3.2809%
Thermo Fisher Scientific Inc,TMO,3.1496%
Eli Lilly and Co,LLY,2.9785%
Danaher Corp,DHR,2.4934%
CVS Health Corp,CVS,2.2416%
Gilead Sciences Inc,GILD,2.0979%
Cigna Corp,CI,1.8784%
Anthem Inc,ANTM,1.688%
Stryker Corp,SYK,1.6654%
Intuitive Surgical Inc,ISRG,1.6124%
Becton Dickinson and Co,BDX,1.6079%
Zoetis Inc,ZTS,1.5929%
Allergan plc,AGN,1.5575%
Vertex Pharmaceuticals Inc,VRTX,1.4864%
Biogen Inc,BIIB,1.4715%
Boston Scientific Corp,BSX,1.4159%
Edwards Lifesciences Corp,EW,1.1671%
Humana Inc,HUM,1.1264%
Baxter International Inc,BAX,1.1217%
Illumina Inc,ILMN,1.0417%
HCA Healthcare Inc,HCA,0.9296%
Centene Corp,CNC,0.8878%
Zimmer Biomet Holdings Inc,ZBH,0.7745%
Regeneron Pharmaceuticals Inc,REGN,0.7345%
IQVIA Holdings Inc,IQV,0.6822%
McKesson Corp,MCK,0.6782%
Agilent Technologies Inc,A,0.6197%
Resmed Inc,RMD,0.5936%
IDEXX Laboratories Inc,IDXX,0.575%
Alexion Pharmaceuticals Inc,ALXN,0.5358%
DexCom Inc,DXCM,0.5274%
Mettler-Toledo International Inc,MTD,0.4616%
Align Technology Inc,ALGN,0.4467%
Laboratory Corporation of America Holdings,LH,0.4264%
Teleflex Inc,TFX,0.4182%
Cooper Companies Inc,COO,0.4157%
Biomarin Pharmaceutical Inc,BMRN,0.3746%
Quest Diagnostics Inc,DGX,0.3617%
Hologic Inc,HOLX,0.3435%
Waters Corp,WAT,0.3374%
Alnylam Pharmaceuticals Inc,ALNY,0.3372%
Seattle Genetics Inc,SGEN,0.3249%
Exact Sciences Corp,EXAS,0.3212%
Incyte Corp,INCY,0.3194%
Steris plc,STE,0.3124%
Varian Medical Systems Inc,VAR,0.3085%
Dentsply Sirona Inc,XRAY,0.3061%
Elanco Animal Health Inc,ELAN,0.299%
Insulet Corp,PODD,0.298%
West Pharmaceutical Services Inc,WST,0.2837%
Mylan NV,MYL,0.283%
Universal Health Services Inc,UHS,0.2674%
Henry Schein Inc,HSIC,0.2474%
Neurocrine Biosciences Inc,NBIX,0.2309%
Masimo Corp,MASI,0.2072%
Cash Component,CASH,0.206%
Catalent Inc,CTLT,0.2037%
Abiomed Inc,ABMD,0.2028%
Sarepta Therapeutics Inc,SRPT,0.2015%
Perrigo Company PLC,PRGO,0.1964%
Jazz Pharmaceuticals PLC,JAZZ,0.1945%
Bio Rad Laboratories Inc,BIO,0.1929%
Molina Healthcare Inc,MOH,0.1924%
Encompass Health Corp,EHC,0.1891%
Chemed Corp,CHE,0.187%
Ionis Pharmaceuticals Inc,IONS,0.1863%
Teladoc Health Inc,TDOC,0.1848%
Bio-Techne Corp,TECH,0.1843%
Charles River Laboratories International Inc,CRL,0.1834%
DaVita Inc,DVA,0.1758%
Hill-Rom Holdings Inc,HRC,0.1743%
PRA Health Sciences Inc,PRAH,0.1624%
Horizon Therapeutics PLC,HZNP,0.1588%
Amedisys Inc,AMED,0.1465%
Haemonetics Corp,HAE,0.1458%
Exelixis Inc,EXEL,0.1388%
Penumbra Inc,PEN,0.1361%
HealthEquity Inc,HQY,0.1217%
Bruker Corp,BRKR,0.1215%
bluebird bio Inc,BLUE,0.1182%
Moderna Inc,MRNA,0.115%
Repligen Corp,RGEN,0.1145%
ACADIA Pharmaceuticals Inc,ACAD,0.1129%
United Therapeutics Corp,UTHR,0.1055%
Globus Medical Inc,GMED,0.0985%
Integra Lifesciences Holdings Corp,IART,0.0982%
ICU Medical Inc,ICUI,0.0969%
Nektar Therapeutics,NKTR,0.0957%
NuVasive Inc,NUVA,0.0955%
Avantor Inc,AVTR,0.0942%
Syneos Health Inc,SYNH,0.0919%
Neogen Corp,NEOG,0.0869%
LivaNova PLC,LIVN,0.0856%
SAGE Therapeutics Inc,SAGE,0.0842%
Immunomedics Inc,IMMU,0.0838%
Tenet Healthcare Corp,THC,0.083%
FibroGen Inc,FGEN,0.0819%
Blueprint Medicines Corp,BPMC,0.0798%
Ultragenyx Pharmaceutical Inc,RARE,0.0788%
Guardant Health Inc,GH,0.0764%
Alkermes Plc,ALKS,0.0719%
Acadia Healthcare Company Inc,ACHC,0.0707%
Agios Pharmaceuticals Inc,AGIO,0.0686%
Intercept Pharmaceuticals Inc,ICPT,0.0573%
Cantel Medical Corp,CMD,0.0557%
MEDNAX Inc,MD,0.0513%
Premier Inc,PINC,0.0505%
Myriad Genetics Inc,MYGN,0.0373%
Avanos Medical Inc,AVNS,0.0336%
Covetrus Inc,CVET,0.0302%
Allogene Therapeutics Inc,ALLO,0.029%
Portola Pharmaceuticals Inc,PTLA,0.0222%
