IYJ: iShares U.S. Industrials ETF
Inception Date: 2000-07-14
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	962052
Shares Outstanding: 5600000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Industrials Index
ETFdb.com Category: Industrials Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYJ


Holding,Symbol,Weighting
Boeing Co,BA,4.6327%
PayPal Holdings Inc,PYPL,3.5918%
Accenture PLC,ACN,3.4574%
Union Pacific Corp,UNP,3.2837%
United Technologies Corp,UTX,3.274%
Honeywell International Inc,HON,3.2227%
General Electric Co,GE,2.8832%
Lockheed Martin Corp,LMT,2.8049%
3M Co,MMM,2.3687%
Fidelity National Information Services Inc,FIS,2.3162%
Automatic Data Processing Inc,ADP,1.9941%
Caterpillar Inc,CAT,1.8966%
United Parcel Service Inc,UPS,1.8594%
Fiserv Inc,FISV,1.7908%
Raytheon Co,RTN,1.6525%
CSX Corp,CSX,1.5581%
Global Payments Inc,GPN,1.5528%
Northrop Grumman Corp,NOC,1.4577%
Norfolk Southern Corp,NSC,1.4102%
Illinois Tool Works Inc,ITW,1.3814%
Deere & Co,DE,1.3567%
L3Harris Technologies Inc,LHX,1.3075%
Waste Management Inc,WM,1.2444%
Sherwin-Williams Co,SHW,1.2102%
Emerson Electric Co,EMR,1.1563%
General Dynamics Corp,GD,1.126%
Eaton Corporation PLC,ETN,1.0846%
Roper Technologies Inc,ROP,1.032%
FedEx Corp,FDX,0.9614%
Ingersoll-Rand PLC,IR,0.8742%
TransDigm Group Inc,TDG,0.8131%
TE Connectivity Ltd,TEL,0.8023%
Johnson Controls International PLC,JCI,0.7902%
Amphenol Corp,APH,0.7886%
Paychex Inc,PAYX,0.7212%
Verisk Analytics Inc,VRSK,0.7131%
Square Inc,SQ,0.6953%
Parker-Hannifin Corp,PH,0.687%
Fleetcor Technologies Inc,FLT,0.685%
Paccar Inc,PCAR,0.6712%
Ball Corp,BLL,0.6475%
Cummins Inc,CMI,0.6339%
Cintas Corp,CTAS,0.6291%
Rockwell Automation Inc,ROK,0.6028%
Fortive Corp,FTV,0.6009%
Ametek Inc,AME,0.5782%
Fastenal Co,FAST,0.5512%
Corning Inc,GLW,0.5478%
Republic Services Inc,RSG,0.5261%
Vulcan Materials Co,VMC,0.5031%
Equifax Inc,EFX,0.4848%
TransUnion,TRU,0.46%
Keysight Technologies Inc,KEYS,0.4561%
Amcor PLC,AMCR,0.4511%
Martin Marietta Materials Inc,MLM,0.4408%
International Paper Co,IP,0.4396%
Dover Corp,DOV,0.4385%
Kansas City Southern,KSU,0.4384%
Xylem Inc,XYL,0.3903%
Westinghouse Air Brake Technologies Corp,WAB,0.3629%
Old Dominion Freight Line Inc,ODFL,0.3625%
