IYK: iShares U.S. Consumer Goods ETF
Inception Date: 2000-06-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	543061
Shares Outstanding: 3950000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Consumer Goods Index
ETFdb.com Category: Consumer Staples Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYK


Holding,Symbol,Weighting
Procter & Gamble Co,PG,12.9094%
Coca-Cola Co,KO,9.371%
PepsiCo Inc,PEP,8.3228%
Philip Morris International Inc,PM,5.5864%
Nike Inc,NKE,5.0873%
Tesla Inc,TSLA,4.3735%
Altria Group Inc,MO,3.5451%
Mondelez International Inc,MDLZ,3.4677%
Colgate-Palmolive Co,CL,2.6754%
Kimberly-Clark Corp,KMB,2.0383%
Activision Blizzard Inc,ATVI,1.9408%
Estee Lauder Companies Inc,EL,1.9094%
General Motors Co,GM,1.7361%
Constellation Brands Inc,STZ,1.3778%
Electronic Arts Inc,EA,1.3078%
Ford Motor Co,F,1.2966%
General Mills Inc,GIS,1.2879%
Lululemon Athletica Inc,LULU,1.1983%
VF Corp,VFC,1.1155%
Monster Beverage Corp,MNST,1.08%
Archer Daniels Midland Co,ADM,1.0448%
Stanley Black & Decker Inc,SWK,1.0176%
Tyson Foods Inc,TSN,0.9738%
Hershey Co,HSY,0.9502%
Aptiv PLC,APTV,0.9133%
Clorox Co,CLX,0.8566%
D.R. Horton Inc,DHI,0.8357%
McCormick & Company Inc,MKC,0.8276%
Lennar Corp,LEN,0.7928%
Kraft Heinz Co,KHC,0.7553%
Church & Dwight Co Inc,CHD,0.7505%
Kellogg Co,K,0.656%
Conagra Brands Inc,CAG,0.6384%
Genuine Parts Co,GPC,0.569%
Lamb Weston Holdings Inc,LW,0.5664%
NVR Inc,NVR,0.5598%
Hormel Foods Corp,HRL,0.5376%
Take-Two Interactive Software Inc,TTWO,0.5232%
Hasbro Inc,HAS,0.5211%
Brown-Forman Corp,BF.B,0.5147%
J M Smucker Co,SJM,0.507%
PulteGroup Inc,PHM,0.4823%
Molson Coors Beverage Co,TAP,0.4451%
Whirlpool Corp,WHR,0.3873%
Pool Corp,POOL,0.3733%
US Foods Holding Corp,USFD,0.3652%
Campbell Soup Co,CPB,0.3393%
Tapestry Inc,TPR,0.3172%
Bunge Ltd,BG,0.3144%
Newell Brands Inc,NWL,0.3138%
Keurig Dr Pepper Inc,KDP,0.3135%
Mohawk Industries Inc,MHK,0.3103%
Gentex Corp,GNTX,0.3078%
WABCO Holdings Inc,WBC,0.2861%
BorgWarner Inc,BWA,0.2846%
Post Holdings Inc,POST,0.2787%
Lear Corp,LEA,0.2753%
PVH Corp,PVH,0.2632%
Zynga Inc,ZNGA,0.2577%
Performance Food Group Co,PFGC,0.255%
Toll Brothers Inc,TOL,0.2546%
Ingredion Inc,INGR,0.2465%
Ralph Lauren Corp,RL,0.2456%
Leggett & Platt Inc,LEG,0.2434%
Autoliv Inc,ALV,0.2423%
Jefferies Financial Group Inc,JEF,0.2389%
Deckers Outdoor Corp,DECK,0.2194%
Skechers USA Inc,SKX,0.2171%
Harley-Davidson Inc,HOG,0.2141%
Polaris Inc,PII,0.2134%
HanesBrands Inc,HBI,0.211%
Brunswick Corp,BC,0.2058%
Mattel Inc,MAT,0.2%
Helen of Troy Ltd,HELE,0.1993%
Cash Component,CASH,0.1991%
Carter's Inc,CRI,0.1927%
Darling Ingredients Inc,DAR,0.1899%
Capri Holdings Ltd,CPRI,0.1899%
Thor Industries Inc,THO,0.1837%
Flowers Foods Inc,FLO,0.1764%
Tempur Sealy International Inc,TPX,0.1685%
Under Armour Inc,UAA,0.1565%
Herbalife Nutrition Ltd,HLF,0.1554%
Coty Inc,COTY,0.1457%
Under Armour Inc,UA,0.1435%
Energizer Holdings Inc,ENR,0.1394%
Boston Beer Company Inc,SAM,0.1375%
Goodyear Tire & Rubber Co,GT,0.1284%
Lancaster Colony Corp,LANC,0.1261%
Steven Madden Ltd,SHOO,0.1195%
Spectrum Brands Holdings Inc,SPB,0.1134%
Columbia Sportswear Co,COLM,0.108%
TreeHouse Foods Inc,THS,0.1061%
Wolverine World Wide Inc,WWW,0.1055%
Herman Miller Inc,MLHR,0.0986%
Adient PLC,ADNT,0.096%
Dana Inc,DAN,0.0941%
Hain Celestial Group Inc,HAIN,0.0894%
NU Skin Enterprises Inc,NUS,0.0806%
Veoneer Inc,VNE,0.0598%
Pilgrims Pride Corp,PPC,0.0565%
Beyond Meat Inc,BYND,0.0505%
Seaboard Corp,SEB,0.0414%
Lennar Corp,LEN.B,0.0344%
Levi Strauss & Co,LEVI,0.0334%
National Beverage Corp,FIZZ,0.0204%
