IYM: iShares U.S. Basic Materials ETF
Inception Date: 2000-06-20
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	329382
Shares Outstanding: 3500000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Basic Materials Index
ETFdb.com Category: Materials
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYM


Holding,Symbol,Weighting
Linde PLC,LIN,18.731%
Air Products and Chemicals Inc,APD,8.9699%
Ecolab Inc,ECL,8.3965%
Dupont De Nemours Inc,DD,6.3385%
Newmont Corporation,NEM,5.8761%
Dow Inc,DOW,5.8005%
PPG Industries Inc,PPG,4.719%
Corteva Inc,CTVA,3.7824%
LyondellBasell Industries NV,LYB,3.4318%
Freeport-McMoRan Inc,FCX,2.7876%
International Flavors & Fragrances Inc,IFF,2.4339%
Nucor Corp,NUE,2.3658%
FMC Corp,FMC,2.2189%
Celanese Corp,CE,2.1371%
Eastman Chemical Co,EMN,1.6025%
RPM International Inc,RPM,1.5899%
CF Industries Holdings Inc,CF,1.4929%
Albemarle Corp,ALB,1.425%
Reliance Steel & Aluminum Co,RS,1.2596%
Mosaic Co,MOS,1.1528%
Royal Gold Inc,RGLD,1.1284%
Steel Dynamics Inc,STLD,1.018%
Axalta Coating Systems Ltd,AXTA,0.9963%
Scotts Miracle-Gro Co,SMG,0.7932%
Ashland Global Holdings Inc,ASH,0.7816%
Valvoline Inc,VVV,0.6985%
Huntsman Corp,HUN,0.6874%
W. R. Grace & Co,GRA,0.5585%
NewMarket Corp,NEU,0.5119%
Alcoa Corp,AA,0.4698%
Ingevity Corp,NGVT,0.4552%
Element Solutions Inc,ESI,0.4346%
Sensient Technologies Corp,SXT,0.4191%
Olin Corp,OLN,0.4173%
Commercial Metals Co,CMC,0.4065%
PolyOne Corp,POL,0.4022%
Allegheny Technologies Inc,ATI,0.4003%
HB Fuller Co,FUL,0.3933%
Cabot Corp,CBT,0.3886%
Chemours Co,CC,0.3738%
Westlake Chemical Corp,WLK,0.3575%
Carpenter Technology Corp,CRS,0.3352%
Domtar Corp,UFS,0.3155%
United States Steel Corp,X,0.2508%
Worthington Industries Inc,WOR,0.2302%
Cash Component,CASH,0.1657%
Peabody Energy Corp,BTU,0.0991%
