IYR: iShares U.S. Real Estate ETF
Inception Date: 2000-06-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	4311879
Shares Outstanding: 44850000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Real Estate Index
ETFdb.com Category: Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYR


Holding,Symbol,Weighting
American Tower Corp,AMT,8.1183%
Prologis Inc,PLD,5.2717%
Crown Castle International Corp,CCI,4.8033%
Equinix Inc,EQIX,3.9674%
Simon Property Group Inc,SPG,3.322%
Welltower Inc,WELL,2.6206%
Public Storage,PSA,2.5974%
AvalonBay Communities Inc,AVB,2.3496%
Equity Residential,EQR,2.2561%
SBA Communications Corp,SBAC,2.2369%
Realty Income Corp,O,1.9888%
Digital Realty Trust Inc,DLR,1.9749%
CoStar Group Inc,CSGP,1.874%
Ventas Inc,VTR,1.6859%
CBRE Group Inc,CBRE,1.6447%
Weyerhaeuser Co,WY,1.6343%
Essex Property Trust Inc,ESS,1.5962%
Alexandria Real Estate Equities Inc,ARE,1.5759%
Boston Properties Inc,BXP,1.5746%
Healthpeak Properties Inc,PEAK,1.3788%
Invitation Homes Inc,INVH,1.3033%
Mid-America Apartment Communities Inc,MAA,1.2373%
Sun Communities Inc,SUI,1.1563%
WP Carey Inc,WPC,1.1225%
UDR Inc,UDR,1.0994%
Extra Space Storage Inc,EXR,1.0966%
Annaly Capital Management Inc,NLY,1.0965%
Duke Realty Corp,DRE,1.0344%
Equity LifeStyle Properties Inc,ELS,1.0192%
Medical Properties Trust Inc,MPW,0.9255%
Host Hotels & Resorts Inc,HST,0.9202%
Camden Property Trust,CPT,0.8396%
Regency Centers Corp,REG,0.8126%
Vornado Realty Trust,VNO,0.8074%
VEREIT Inc,VER,0.8039%
AGNC Investment Corp,AGNC,0.7975%
National Retail Properties Inc,NNN,0.7497%
Gaming and Leisure Properties Inc,GLPI,0.7461%
VICI Properties Inc,VICI,0.7456%
Omega Healthcare Investors Inc,OHI,0.7146%
Iron Mountain Inc,IRM,0.7023%
Federal Realty Investment Trust,FRT,0.6911%
Jones Lang LaSalle Inc,JLL,0.684%
STORE Capital Corp,STOR,0.6528%
Kilroy Realty Corp,KRC,0.6376%
Kimco Realty Corp,KIM,0.6367%
Lamar Advertising Co,LAMR,0.6207%
Apartment Investment and Management Co,AIV,0.6109%
SL Green Realty Corp,SLG,0.5883%
Starwood Property Trust Inc,STWD,0.5634%
New Residential Investment Corp,NRZ,0.551%
American Homes 4 Rent,AMH,0.5447%
Douglas Emmett Inc,DEI,0.5424%
CyrusOne Inc,CONE,0.5382%
Americold Realty Trust,COLD,0.5176%
Healthcare Trust Of America Inc,HTA,0.5086%
American Campus Communities Inc,ACC,0.4852%
Brixmor Property Group Inc,BRX,0.4768%
CubeSmart,CUBE,0.4711%
Cousins Properties Inc,CUZ,0.4619%
Cash Component,CASH,0.4486%
Hudson Pacific Properties Inc,HPP,0.4415%
Park Hotels & Resorts Inc,PK,0.4289%
EPR Properties,EPR,0.4278%
First Industrial Realty Trust Inc,FR,0.4236%
Rexford Industrial Realty Inc,REXR,0.4232%
Spirit Realty Capital Inc,SRC,0.4135%
Howard Hughes Corp,HHC,0.4134%
Highwoods Properties Inc,HIW,0.4126%
Life Storage Inc,LSI,0.4077%
Eastgroup Properties Inc,EGP,0.4075%
Blackstone Mortgage Trust Inc,BXMT,0.4007%
Healthcare Realty Trust Inc,HR,0.3737%
JBG SMITH Properties,JBGS,0.3724%
Ryman Hospitality Properties Inc,RHP,0.3635%
OUTFRONT Media Inc,OUT,0.3401%
CoreSite Realty Corp,COR,0.3264%
Sabra Health Care REIT Inc,SBRA,0.3201%
Two Harbors Investment Corp,TWO,0.3192%
Equity Commonwealth,EQC,0.3062%
Chimera Investment Corp,CIM,0.3058%
National Health Investors Inc,NHI,0.2931%
Physicians Realty Trust,DOC,0.2822%
Service Properties Trust,SVC,0.2814%
Rayonier Inc,RYN,0.2803%
Weingarten Realty Investors,WRI,0.2785%
MFA Financial Inc,MFA,0.2716%
PS Business Parks Inc,PSB,0.2613%
Corporate Office Properties Trust,OFC,0.2525%
Pebblebrook Hotel Trust,PEB,0.25%
Apple Hospitality REIT Inc,APLE,0.244%
Piedmont Office Realty Trust Inc,PDM,0.2307%
Sunstone Hotel Investors Inc,SHO,0.2254%
Paramount Group Inc,PGRE,0.2214%
Brandywine Realty Trust,BDN,0.2151%
RLJ Lodging Trust,RLJ,0.2113%
Lexington Realty Trust,LXP,0.2098%
PotlatchDeltic Corp,PCH,0.2066%
Retail Properties of America Inc,RPAI,0.2017%
Macerich Co,MAC,0.1972%
Columbia Property Trust Inc,CXP,0.1972%
Invesco Mortgage Capital Inc,IVR,0.1957%
Washington Real Estate Investment Trust,WRE,0.1929%
Colony Capital Inc,CLNY,0.178%
Acadia Realty Trust,AKR,0.1678%
Xenia Hotels & Resorts Inc,XHR,0.1666%
Urban Edge Properties,UE,0.1656%
Taubman Centers Inc,TCO,0.1626%
DiamondRock Hospitality Co,DRH,0.1554%
Geo Group Inc,GEO,0.1552%
CoreCivic Inc,CXW,0.1514%
Mack-Cali Realty Corp,CLI,0.1484%
Site Centers Corp,SITC,0.1478%
Diversified Healthcare Trust,DHC,0.1399%
