IYT: iShares Transportation Average ETF
Inception Date: 2003-10-10
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	516504
Shares Outstanding: 2650000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones Transportation Average Index
ETFdb.com Category: Transportation Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYT


Holding,Symbol,Weighting
Norfolk Southern Corp,NSC,11.7909%
Union Pacific Corp,UNP,10.3127%
Kansas City Southern,KSU,9.6412%
FedEx Corp,FDX,8.7324%
Landstar System Inc,LSTR,6.3931%
J B Hunt Transport Services Inc,JBHT,6.3133%
United Parcel Service Inc,UPS,5.7858%
United Airlines Holdings Inc,UAL,4.4497%
CSX Corp,CSX,4.3595%
C.H. Robinson Worldwide Inc,CHRW,4.1636%
Kirby Corp,KEX,4.1518%
Expeditors International of Washington Inc,EXPD,4.1055%
Alaska Air Group Inc,ALK,3.5795%
Delta Air Lines Inc,DAL,3.2403%
Southwest Airlines Co,LUV,3.2032%
Ryder System Inc,R,2.7989%
Matson Inc,MATX,2.0326%
Avis Budget Group Inc,CAR,1.947%
American Airlines Group Inc,AAL,1.5831%
JetBlue Airways Corp,JBLU,1.11%
Cash Component,CASH,0.306%
