IYZ: iShares U.S. Telecommunications ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	390096
Shares Outstanding: 12950000
Expense Ratio: 0.42%
Tracks This Index: Dow Jones U.S. Select Telecommunications Index
ETFdb.com Category: Communications Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IYZ


Holding,Symbol,Weighting
AT&T Inc,T,21.9853%
Verizon Communications Inc,VZ,21.4174%
T-Mobile US Inc,TMUS,4.9979%
Motorola Solutions Inc,MSI,4.8418%
Cisco Systems Inc,CSCO,4.7288%
Centurylink Inc,CTL,4.527%
Arista Networks Inc,ANET,4.4255%
Garmin Ltd,GRMN,4.3027%
Zayo Group Holdings Inc,ZAYO,2.9105%
Juniper Networks Inc,JNPR,2.7997%
F5 Networks Inc,FFIV,2.6452%
GCI Liberty Inc,GLIBA,2.4863%
Lumentum Holdings Inc,LITE,2.3725%
Ciena Corp,CIEN,2.3222%
ViaSat Inc,VSAT,1.3307%
Viavi Solutions Inc,VIAV,1.1633%
Sprint Corp,S,1.0692%
Iridium Communications Inc,IRDM,0.9599%
Acacia Communications Inc,ACIA,0.9096%
CommScope Holding Company Inc,COMM,0.8405%
Telephone and Data Systems Inc,TDS,0.8288%
Vonage Holdings Corp,VG,0.7531%
Shenandoah Telecommunications Co,SHEN,0.7038%
Netscout Systems Inc,NTCT,0.6469%
Ubiquiti Inc,UI,0.6305%
EchoStar Corp,SATS,0.625%
Cash Component,CASH,0.2552%
Extreme Networks Inc,EXTR,0.2551%
Comtech Telecommunications Corp,CMTL,0.255%
NETGEAR Inc,NTGR,0.2498%
ATN International Inc,ATNI,0.2253%
Harmonic Inc,HLIT,0.2156%
Cincinnati Bell Inc,CBB,0.212%
United States Cellular Corp,USM,0.1865%
Plantronics Inc,PLT,0.1733%
ADTRAN Inc,ADTN,0.1457%
Consolidated Communications Holdings Inc,CNSL,0.1311%
CalAmp Corp,CAMP,0.12%
ORBCOMM Inc,ORBC,0.1059%
Globalstar Inc,GSAT,0.1034%
Applied Optoelectronics Inc,AAOI,0.0767%
Spok Holdings Inc,SPOK,0.0653%
