KBWB: Invesco KBW Bank ETF
Inception Date: 2011-11-01
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	594080
Shares Outstanding: 10600000
Expense Ratio: 0.35%
Tracks This Index: KBW Bank Index
ETFdb.com Category: Financials Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/KBWB


Holding,Symbol,Weighting
Citigroup Inc,C,8.4636%
JPMorgan Chase & Co,JPM,8.4144%
Bank of America Corp,BAC,8.3935%
U.S. Bancorp,USB,7.3521%
Wells Fargo & Co,WFC,7.0985%
State Street Corp,STT,4.2588%
M&T Bank Corp,MTB,4.1665%
Capital One Financial Corp,COF,4.1123%
KeyCorp,KEY,4.084%
First Republic Bank,FRC,4.0837%
PNC Financial Services Group Inc,PNC,4.0441%
Truist Financial Corp,TFC,4.0069%
Fifth Third Bancorp,FITB,3.9464%
Bank of New York Mellon Corp,BK,3.8983%
Northern Trust Corp,NTRS,3.8159%
Citizens Financial Group Inc,CFG,3.54%
Regions Financial Corp,RF,3.3371%
Huntington Bancshares Inc,HBAN,3.0563%
SVB Financial Group,SIVB,2.808%
Comerica Inc,CMA,1.8957%
Zions Bancorporation NA,ZION,1.6712%
People's United Financial Inc,PBCT,1.5006%
New York Community Bancorp Inc,NYCB,1.1026%
CIT Group Inc,CIT,0.9459%
Cash Component,CASH,0.0038%
