KBWD: Invesco KBW High Dividend Yield Financial ETF
Inception Date: 2010-12-02
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	311849
Shares Outstanding: 13900000
Expense Ratio: 1.58%
Tracks This Index: KBW Financial Sector Dividend Yield Index
ETFdb.com Category: Financials Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/KBWD


Holding,Symbol,Weighting
Orchid Island Capital Inc,ORC,4.9725%
New Residential Investment Corp,NRZ,3.9446%
ARMOUR Residential REIT Inc,ARR,3.7439%
New York Mortgage Trust Inc,NYMT,3.5915%
PennantPark Investment Corp,PNNT,3.4716%
Western Asset Mortgage Capital Corp,WMC,3.4445%
AGNC Investment Corp,AGNC,3.376%
Invesco Mortgage Capital Inc,IVR,3.3413%
Dynex Capital Inc,DX,3.2778%
FS KKR Capital Corp,FSK,3.2118%
Two Harbors Investment Corp,TWO,3.1745%
Annaly Capital Management Inc,NLY,3.1511%
Newtek Business Services Corp,NEWT,3.1117%
TCG BDC Inc,CGBD,3.0949%
Prospect Capital Corp,PSEC,3.054%
Apollo Investment Corp,AINV,2.9583%
Artisan Partners Asset Management Inc,APAM,2.9317%
MFA Financial Inc,MFA,2.9269%
New Mountain Finance Corp,NMFC,2.9184%
Oxford Square Capital Corp,OXSQ,2.851%
Apollo Commercial Real Estate Finance Inc,ARI,2.8011%
BlackRock TCP Capital Corp,TCPC,2.7013%
BGC Partners Inc,BGCP,2.4523%
Invesco Ltd,IVZ,2.0145%
Moelis & Co,MC,1.9778%
Waddell & Reed Financial Inc,WDR,1.7854%
PacWest Bancorp,PACW,1.6915%
Virtu Financial Inc,VIRT,1.6108%
Janus Henderson Group PLC,0RPW,1.5551%
Umpqua Holdings Corp,UMPQ,1.5091%
Lazard Ltd,LAZ,1.5057%
Triton International Ltd,TRTN,1.4955%
New York Community Bancorp Inc,NYCB,1.4638%
Mercury General Corp,MCY,1.4145%
Bank of N.T. Butterfield & Son Ltd,NTB,1.3695%
Apollo Global Management Inc,APO,1.3556%
Hanmi Financial Corp,HAFC,1.2121%
Navient Corp,NAVI,1.1968%
Prudential Financial Inc,PRU,1.1902%
Principal Financial Group Inc,PFG,1.1054%
Cash Component,CASH,0.0443%
