KBWY: Invesco KBW Premium Yield Equity REIT ETF
Inception Date: 2010-12-02
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	297445
Shares Outstanding: 9950000
Expense Ratio: 0.35%
Tracks This Index: KBW Premium Yield Equity REIT Index
ETFdb.com Category: Real Estate
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/KBWY


Holding,Symbol,Weighting
Geo Group Inc,GEO,6.9606%
Uniti Group Inc,UNIT,5.7456%
CoreCivic Inc,CXW,5.3054%
Global Net Lease Inc,GNL,4.1558%
Macerich Co,MAC,4.029%
Pennsylvania Real Estate Investment Trust,PEI,3.9276%
Service Properties Trust,SVC,3.7214%
Taubman Centers Inc,TCO,3.7136%
Diversified Healthcare Trust,DHC,3.6034%
Tanger Factory Outlet Centers Inc,SKT,3.4423%
Sabra Health Care REIT Inc,SBRA,3.2608%
Whitestone REIT,WSR,3.2402%
Hersha Hospitality Trust,HT,3.2096%
CorePoint Lodging Inc,CPLG,3.1576%
RLJ Lodging Trust,RLJ,3.0394%
City Office REIT Inc,CIO,2.9793%
Apple Hospitality REIT Inc,APLE,2.8738%
Office Properties Income Trust,OPI,2.8611%
Chatham Lodging Trust,CLDT,2.8102%
Brookfield Property Reit Inc,BPR,2.7893%
American Finance Trust Inc,AFIN,2.7753%
Industrial Logistics Properties Trust,ILPT,2.7529%
New Senior Investment Group Inc,SNR,2.7296%
Preferred Apartment Communities Inc,APTS,2.6976%
EPR Properties,EPR,2.6608%
Gladstone Commercial Corp,GOOD,2.6188%
Global Medical REIT Inc,GMRE,2.5946%
Bluerock Residential Growth REIT Inc,BRG,2.1355%
Brandywine Realty Trust,BDN,2.1283%
Independence Realty Trust Inc,IRT,2.04%
Cash Component,CASH,0.0405%
