KWEB: KraneShares CSI China Internet ETF
Inception Date: 2013-07-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2658720
Shares Outstanding: 51700000
Expense Ratio: 0.76%
Tracks This Index: CSI China Overseas Internet Index
ETFdb.com Category: China Equities
Issuer: KraneShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/KWEB


Holding,Symbol,Weighting
Alibaba Group Holding Ltd,BABA,9.7516%
Tencent Holdings Ltd,700,9.2697%
Meituan Dianping,3690,7.3993%
Baidu Inc,BIDU,7.1124%
JD.com Inc,JD,6.5336%
TAL Education Group,TAL,4.4981%
NetEase Inc,NTES,4.1093%
IQIYI Inc,IQ,3.8778%
Trip.com Group Ltd,TCOM,3.7093%
Vipshop Holdings Ltd,VIPS,3.4848%
Pinduoduo Inc,PDD,3.2983%
58.Com Inc,WUBA,3.1359%
Momo Inc,MOMO,2.9988%
Bilibili Inc,BILI,2.9516%
Autohome Inc,ATHM,2.4043%
Tencent Music Entertainment Group,TME,2.3919%
JOYY Inc,YY,2.2251%
GSX Techedu Inc,GSX,2.0323%
Weibo Corp,WB,1.6754%
SINA Corp,SINA,1.4794%
Kingsoft Corp Ltd,3888,1.4523%
51job Inc,JOBS,1.3054%
Alibaba Pictures Group Ltd,1060,1.0366%
China Literature Ltd,772,0.9546%
Koolearn Technology Holding Ltd,1797,0.9352%
Lexinfintech Holdings Ltd,LX,0.8436%
Baozun Inc,BZUN,0.7322%
HUYA Inc,HUYA,0.7298%
ZhongAn Online P & C Insurance Co Ltd,6060,0.7278%
Tongcheng-Elong Holdings Ltd,780,0.7005%
Douyu International Holdings Ltd,DOYU,0.6675%
Fanhua Inc,FANH,0.6521%
Weimob Inc,2013,0.5689%
Maoyan Entertainment,1896,0.525%
Netdragon Websoft Holdings Ltd,777,0.4846%
Qutoutiao Inc,QTT,0.4199%
So-Young International Inc,SY,0.4183%
Qudian Inc,QD,0.3902%
360 Finance Inc,QFIN,0.3238%
Uxin Ltd,UXIN,0.3193%
Yixin Group Ltd,2858,0.2937%
Bitauto Holdings Ltd,BITA,0.2901%
Sogou Inc,SOGO,0.2716%
Yunji Inc,YJ,0.2677%
FinVolution Group,FINV,0.2029%
Cash Component,CASH,0.1472%
