KXI: iShares Global Consumer Staples ETF
Inception Date: 2006-09-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	785126
Shares Outstanding: 13950000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Consumer Staples Index
ETFdb.com Category: Consumer Staples Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/KXI


Holding,Symbol,Weighting
Nestle SA,NESN,8.828%
Procter & Gamble Co,PG,8.3487%
Coca-Cola Co,KO,5.3854%
PepsiCo Inc,PEP,4.554%
Walmart Inc,WMT,4.1947%
Costco Wholesale Corp,COST,3.7571%
Philip Morris International Inc,PM,3.7108%
British American Tobacco PLC,BATS,2.7677%
Diageo PLC,DGE,2.6155%
Cash Component,CASH,2.4645%
Unilever NV,UNA,2.3736%
Altria Group Inc,MO,2.3559%
Mondelez International Inc,MDLZ,2.3067%
L'Oreal SA,OR,1.9911%
Unilever PLC,ULVR,1.9321%
Colgate-Palmolive Co,CL,1.7871%
Anheuser Busch Inbev NV,ABI,1.7381%
Reckitt Benckiser Group PLC,RB.,1.6866%
Danone SA,BN,1.4259%
Kimberly-Clark Corp,KMB,1.3595%
Estee Lauder Companies Inc,EL,1.2645%
Walgreens Boots Alliance Inc,WBA,1.0889%
Sysco Corp,SYY,1.0693%
Pernod Ricard SA,RI,1.0556%
Kao Corp,4452,1.0471%
Woolworths Group Ltd,WOW,1.0461%
Constellation Brands Inc,STZ,0.9172%
Tesco PLC,TSCO,0.8729%
Seven & i Holdings Co Ltd,3382,0.8656%
General Mills Inc,GIS,0.8575%
Alimentation Couche-Tard Inc,ATD.B,0.8105%
Koninklijke Ahold Delhaize NV,AD,0.7373%
Monster Beverage Corp,MNST,0.7182%
Shiseido Co Ltd,4911,0.7084%
Heineken NV,HEIA,0.7049%
Archer Daniels Midland Co,ADM,0.7005%
Japan Tobacco Inc,2914,0.6539%
Tyson Foods Inc,TSN,0.6432%
Hershey Co,HSY,0.6239%
Imperial Brands PLC,IMB,0.6158%
Kroger Co,KR,0.6095%
Asahi Group Holdings Ltd,2502,0.5915%
Clorox Co,CLX,0.5782%
Kirin Holdings Co Ltd,2503,0.569%
McCormick & Company Inc,MKC,0.5451%
Essity AB (publ),ESSITY.B,0.5432%
Kerry Group PLC,KRZ,0.5344%
Henkel AG & Co KGaA,HEN3,0.5216%
Aeon Co Ltd,8267,0.5074%
Kraft Heinz Co,KHC,0.5024%
Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.5002%
Church & Dwight Co Inc,CHD,0.4987%
Ambev SA,ABEV,0.4869%
Kellogg Co,K,0.4406%
Wal Mart de Mexico SAB de CV,WALMEX*,0.4355%
Carlsberg A/S,CARL.B,0.4324%
Conagra Brands Inc,CAG,0.4203%
Unicharm Corp,8113,0.4184%
Lamb Weston Holdings Inc,LW,0.3744%
Coles Group Ltd,COL,0.374%
Hormel Foods Corp,HRL,0.3595%
Brown-Forman Corp,BF.B,0.3455%
Associated British Foods PLC,ABF,0.3416%
J M Smucker Co,SJM,0.3402%
Beiersdorf AG,BEI,0.3223%
Mowi ASA,MOWI,0.3117%
Molson Coors Beverage Co,TAP,0.3022%
Metro Inc,MRU,0.3015%
Chocoladefabriken Lindt & Spruengli AG,LISN,0.2892%
Heineken Holding NV,HEIO,0.2862%
Kikkoman Corp,2801,0.2855%
Ajinomoto Co Inc,2802,0.2739%
Swedish Match AB,SWMA,0.2727%
Meiji Holdings Co Ltd,2269,0.2714%
Carrefour SA,CA,0.2712%
Loblaw Companies Ltd,L,0.2667%
Chocoladefabriken Lindt & Spruengli AG,LISP,0.2484%
Yakult Honsha Co Ltd,2267,0.2355%
Campbell Soup Co,CPB,0.2252%
Orkla ASA,ORK,0.2251%
Saputo Inc,SAP,0.2106%
Nissin Foods Holdings Co Ltd,2897,0.2016%
A2 Milk Company Ltd,A2M,0.2009%
George Weston Ltd,WN,0.1699%
Treasury Wine Estates Ltd,TWE,0.1647%
FamilyMart Co Ltd,8028,0.1599%
WM Morrison Supermarkets PLC,MRW,0.1598%
BRF SA,BRFS,0.146%
Tate & Lyle PLC,TATE,0.1266%
J Sainsbury PLC,SBRY,0.1235%
Coty Inc,COTY,0.0932%
