LABU: Direxion Daily S&P Biotech Bull 3x Shares
Inception Date: 2015-05-28
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	434168
Shares Outstanding: 7711000
Expense Ratio: 1.12%
Tracks This Index: S&P Biotechnology Select Industry Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/LABU


Holding,Symbol,Weighting
Invitae Corp,NVTA,2.3619%
Biogen Inc,BIIB,2.0213%
United Therapeutics Corp,UTHR,1.989%
Vertex Pharmaceuticals Inc,VRTX,1.9443%
Exact Sciences Corp,EXAS,1.936%
Biomarin Pharmaceutical Inc,BMRN,1.9128%
Exelixis Inc,EXEL,1.8918%
Alnylam Pharmaceuticals Inc,ALNY,1.89%
Abbvie Inc,ABBV,1.8622%
Gilead Sciences Inc,GILD,1.8569%
Seattle Genetics Inc,SGEN,1.8268%
Regeneron Pharmaceuticals Inc,REGN,1.8042%
bluebird bio Inc,BLUE,1.7509%
Amgen Inc,AMGN,1.7189%
Moderna Inc,MRNA,1.7089%
Ionis Pharmaceuticals Inc,IONS,1.6997%
Neurocrine Biosciences Inc,NBIX,1.6659%
ACADIA Pharmaceuticals Inc,ACAD,1.6653%
SAGE Therapeutics Inc,SAGE,1.6469%
Global Blood Therapeutics Inc,GBT,1.6265%
Alexion Pharmaceuticals Inc,ALXN,1.6147%
Ligand Pharmaceuticals Inc,LGND,1.594%
Sarepta Therapeutics Inc,SRPT,1.5907%
Ultragenyx Pharmaceutical Inc,RARE,1.5447%
Mirati Therapeutics Inc,MRTX,1.467%
Immunomedics Inc,IMMU,1.4507%
PTC Therapeutics Inc,PTCT,1.4503%
Incyte Corp,INCY,1.4354%
Intercept Pharmaceuticals Inc,ICPT,1.4132%
Amicus Therapeutics Inc,FOLD,1.4061%
Apellis Pharmaceuticals Inc,APLS,1.3465%
Biohaven Pharmaceutical Holding Company Ltd,BHVN,1.3436%
Agios Pharmaceuticals Inc,AGIO,1.2944%
Insmed Inc,INSM,1.2805%
Blueprint Medicines Corp,BPMC,1.2649%
Alkermes Plc,ALKS,1.2339%
Acceleron Pharma Inc,XLRN,1.181%
Regenxbio Inc,RGNX,1.1025%
Emergent BioSolutions Inc,EBS,1.0982%
Coherus BioSciences Inc,CHRS,1.0971%
Arrowhead Pharmaceuticals Inc,ARWR,1.0786%
Iovance Biotherapeutics Inc,IOVA,1.0685%
FibroGen Inc,FGEN,1.0575%
Natera Inc,NTRA,1.0523%
Ra Pharmaceuticals Inc,RARX,1.0247%
Deciphera Pharmaceuticals Inc,DCPH,1.0111%
Arena Pharmaceuticals Inc,ARNA,0.995%
CareDx Inc,CDNA,0.9806%
Puma Biotechnology Inc,PBYI,0.8821%
Heron Therapeutics Inc,HRTX,0.8755%
Esperion Therapeutics Inc,ESPR,0.8751%
Aimmune Therapeutics Inc,AIMT,0.8708%
Karyopharm Therapeutics Inc,KPTI,0.8245%
Myriad Genetics Inc,MYGN,0.8147%
Turning Point Therapeutics Inc,TPTX,0.7823%
Ironwood Pharmaceuticals Inc,IRWD,0.7533%
Halozyme Therapeutics Inc,HALO,0.7255%
Fate Therapeutics Inc,FATE,0.7009%
Allakos Inc,ALLK,0.6564%
Veracyte Inc,VCYT,0.6398%
TG Therapeutics Inc,TGTX,0.6269%
Momenta Pharmaceuticals Inc,MNTA,0.6249%
Radius Health Inc,RDUS,0.6151%
Madrigal Pharmaceuticals Inc,MDGL,0.6123%
Clovis Oncology Inc,CLVS,0.6013%
Editas Medicine Inc,EDIT,0.5869%
Catalyst Pharmaceuticals Inc,CPRX,0.5752%
AnaptysBio Inc,ANAB,0.5327%
Portola Pharmaceuticals Inc,PTLA,0.5255%
Allogene Therapeutics Inc,ALLO,0.5205%
Adverum Biotechnologies Inc,ADVM,0.4965%
