LIT: Global X Lithium ETF
Inception Date: 2010-07-22
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	584415
Shares Outstanding: 19074000
Expense Ratio: 0.75%
Tracks This Index: Solactive Global Lithium Index
ETFdb.com Category: Global Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/LIT


Holding,Symbol,Weighting
Albemarle Corp,ALB,19.4756%
Sociedad Quimica y Minera de Chile SA,SQM,12.9797%
Tesla Inc,TSLA,10.8914%
Samsung SDI Co Ltd,006400,5.4721%
Livent Corp,LTHM,5.394%
Panasonic Corp,6752,5.1484%
LG Chem Ltd,051910,4.8291%
Byd Co Ltd,1211,4.562%
GS Yuasa Corp,6674,4.4752%
Simplo Technology Co Ltd,6121,4.4521%
EnerSys,ENS,4.216%
Varta AG,VAR1,3.274%
Orocobre Ltd,ORE,1.9031%
Pilbara Minerals Ltd,PLS,1.4752%
Galaxy Resources Ltd,GXY,1.2506%
L&F Co Ltd,066970,1.2355%
Dynapack International Technology Corp,3211,1.1692%
W-Scope Corp,6619,0.9199%
Vitzrocell Co Ltd,082920,0.8089%
Lithium Americas Corp,LAC,0.6478%
ioneer Ltd,INR,0.5551%
Honbridge Holdings Ltd,8137,0.5426%
Akasol AG,ASL,0.4241%
SYNergy ScienTech Corp,6558,0.4156%
AVZ Minerals Ltd,AVZ,0.3427%
Ultralife Corp,ULBI,0.3173%
Neometals Ltd,NMT,0.3019%
Cash Component,CASH,0.2813%
Neo Lithium Corp,NLC,0.273%
Advanced Lithium Electrochemistry Cayman Co Ltd,5227,0.2631%
Standard Lithium Ltd,SLL,0.261%
Leclanche SA,LECN,0.2257%
Changs Ascending Enterprise Co Ltd,8038,0.2034%
Voltabox AG,VBX,0.2015%
Bacanora Lithium PLC,BCN,0.1946%
Altura Mining Ltd,AJM,0.1712%
STL Technology Co Ltd,4931,0.16%
Argosy Minerals Ltd,AGY,0.1549%
FDG Electric Vehicles Ltd,729,0.1311%
