MLPA: Global X MLP ETF
Inception Date: 2012-04-18
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1054772
Shares Outstanding: 146050000
Expense Ratio: 0.45%
Tracks This Index: Solactive MLP Composite Index
ETFdb.com Category: MLPs
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MLPA


Holding,Symbol,Weighting
Energy Transfer LP,ET,10.4696%
Enterprise Products Partners LP,EPD,9.9168%
Magellan Midstream Partners LP,MMP,8.0304%
MPLX LP,MPLX,7.0955%
Plains All American Pipeline LP,PAA,5.7531%
Phillips 66 Partners LP,PSXP,5.4288%
Shell Midstream Partners LP,SHLX,5.0782%
TC PipeLines LP,TCP,4.9763%
Genesis Energy LP,GEL,4.7265%
NuStar Energy LP,NS,4.6998%
DCP Midstream LP,DCP,4.6796%
EQM Midstream Partners LP,EQM,4.3637%
Western Midstream Partners LP,WES,4.3344%
Cheniere Energy Partners LP,CQP,4.2581%
Crestwood Equity Partners LP,CEQP,3.9311%
NGL Energy Partners LP,NGL,3.43%
Holly Energy Partners LP,HEP,3.0596%
Enable Midstream Partners LP,ENBL,2.3874%
Bp Midstream Partners LP,BPMP,1.9901%
CNX Midstream Partners LP,CNXM,1.7487%
Cash Component,CASH,-0.3578%
