MLPI: UBS E-TRACS Alerian MLP Infrastructure ETN
Inception Date: 2010-03-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	485724
Shares Outstanding: 27100000
Expense Ratio: 0.85%
Tracks This Index: Alerian MLP Infrastructure Index
ETFdb.com Category: MLPs
Issuer: UBS
Structure: ETN
ETF Home Page: https://etfdb.com/etf/MLPI


Holding,Symbol,Weighting
Energy Transfer LP,ET,10.6089%
Magellan Midstream Partners LP,MMP,10.1155%
MPLX LP,MPLX,9.7049%
Enterprise Products Partners LP,EPD,9.6855%
Plains All American Pipeline LP,PAA,9.3043%
Phillips 66 Partners LP,PSXP,7.0875%
Tallgrass Energy LP,TGE,5.6923%
Western Midstream Partners LP,WES,5.2571%
NuStar Energy LP,NS,4.4107%
Shell Midstream Partners LP,SHLX,4.0702%
TC PipeLines LP,TCP,3.5472%
DCP Midstream LP,DCP,3.1889%
Genesis Energy LP,GEL,3.1584%
EQM Midstream Partners LP,EQM,2.9905%
Cheniere Energy Partners LP,CQP,2.4677%
Crestwood Equity Partners LP,CEQP,2.175%
EnLink Midstream LLC,ENLC,2.0874%
NGL Energy Partners LP,NGL,1.8932%
Enable Midstream Partners LP,ENBL,1.3567%
Noble Midstream Partners LP,NBLX,1.198%
