MLPX: Global X MLP & Energy Infrastructure ETF
Inception Date: 2013-08-06
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	772141
Shares Outstanding: 66950000
Expense Ratio: 0.45%
Tracks This Index: Solactive MLP & Energy Infrastructure Index
ETFdb.com Category: MLPs
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MLPX


Holding,Symbol,Weighting
TC Energy Corp,TRP,9.534%
Enbridge Inc,ENB,9.517%
Kinder Morgan Inc,KMI,9.1752%
ONEOK Inc,OKE,8.3905%
Pembina Pipeline Corp,PBA,6.9605%
Williams Companies Inc,WMB,6.6035%
Energy Transfer LP,ET,5.0339%
Tallgrass Energy LP,TGE,4.9133%
Targa Resources Corp,TRGP,4.3512%
Enterprise Products Partners LP,EPD,4.2821%
Plains GP Holdings LP,PAGP,4.1722%
Cheniere Energy Inc,LNG,4.0479%
Magellan Midstream Partners LP,MMP,3.5069%
Equitrans Midstream Corp,ETRN,2.8427%
MPLX LP,MPLX,2.3614%
Antero Midstream Corp,AM,2.1922%
Plains All American Pipeline LP,PAA,1.99%
EnLink Midstream LLC,ENLC,1.9427%
Archrock Inc,AROC,1.8278%
Phillips 66 Partners LP,PSXP,0.9108%
Western Midstream Partners LP,WES,0.8529%
NuStar Energy LP,NS,0.6903%
Shell Midstream Partners LP,SHLX,0.6529%
TC PipeLines LP,TCP,0.6289%
Genesis Energy LP,GEL,0.5113%
EQM Midstream Partners LP,EQM,0.4944%
DCP Midstream LP,DCP,0.4407%
Cheniere Energy Partners LP,CQP,0.3939%
Crestwood Equity Partners LP,CEQP,0.3524%
Holly Energy Partners LP,HEP,0.2726%
Enable Midstream Partners LP,ENBL,0.2117%
Cash Component,CASH,-0.0576%
