MOO: VanEck Vectors Agribusiness ETF
Inception Date: 2007-08-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	683350
Shares Outstanding: 10250000
Expense Ratio: 0.54%
Tracks This Index: DAXglobal Agribusiness Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MOO


Holding,Symbol,Weighting
Zoetis Inc,ZTS,8.8881%
Bayer AG,BAYN,8.7489%
Deere & Co,DE,6.8268%
Nutrien Ltd,NTR,5.9958%
IDEXX Laboratories Inc,IDXX,5.3703%
Tyson Foods Inc,TSN,4.9173%
Corteva Inc,CTVA,4.7518%
Archer Daniels Midland Co,ADM,4.5334%
Kubota Corp,6326,4.2615%
Mowi ASA,MOWI,2.7717%
Tractor Supply Co,TSCO,2.7371%
FMC Corp,FMC,2.5486%
Wilmar International Ltd,F34,2.4194%
CNH Industrial NV,CNHI,2.3542%
Elanco Animal Health Inc,ELAN,2.0519%
Yara International ASA,YAR,1.8461%
Toro Co,TTC,1.8286%
Bunge Ltd,BG,1.6564%
Rumo SA,RAIL3,1.611%
CF Industries Holdings Inc,CF,1.6067%
China Mengniu Dairy Co Ltd,2319,1.5618%
Mosaic Co,MOS,1.5455%
Treasury Wine Estates Ltd,TWE,1.3266%
Charoen Pokphand Foods PCL,CPF-R,1.3032%
Sociedad Quimica y Minera de Chile SA,SQM,1.0361%
AGCO Corp,AGCO,1.0027%
Charoen Pokphand Indonesia Tbk PT,CPIN,0.9821%
NH Foods Ltd,2282,0.9158%
Sime Darby Plantation Bhd,SIMEPLT,0.9115%
P/F Bakkafrost,BAKKA,0.8941%
Israel Chemicals Ltd,ICL,0.8441%
IOI Corporation Bhd,IOICORP,0.7988%
PPB Group Bhd,PPB,0.6903%
SalMar ASA,SALM,0.6708%
Neogen Corp,NEOG,0.6649%
Incitec Pivot Ltd,IPL,0.6464%
Balchem Corp,BCPC,0.644%
Genus PLC,GNS,0.5964%
Bucher Industries AG,BUCN,0.5909%
Kuala Lumpur Kepong Bhd,KLK,0.5814%
Sanderson Farms Inc,SAFM,0.5476%
K&S AG,SDF,0.5212%
Leroy Seafood Group ASA,LSG,0.4401%
PhosAgro PAO,PHOR,0.4395%
Pilgrims Pride Corp,PPC,0.424%
OCI NV,OCI,0.3418%
Taiwan Fertilizer Co Ltd,1722,0.3292%
Nippon Suisan Kaisha Ltd,1332,0.3164%
Schouw & Co A/S,SCHO,0.3155%
Maruha Nichiro Corp,1333,0.2839%
Golden Agri-Resources Ltd,E5H,0.1843%
Cash Component,CASH,-0.0765%
