MORL: ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN
Inception Date: 2012-10-17
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	326626
Shares Outstanding: 21550000
Expense Ratio: 0.4%
Tracks This Index: MVIS Global Mortgage REITs Index (200%)
ETFdb.com Category: Leveraged Real Estate
Issuer: UBS
Structure: ETN
ETF Home Page: https://etfdb.com/etf/MORL


Holding,Symbol,Weighting
Annaly Capital Management Inc,NLY,12.8513%
AGNC Investment Corp,AGNC,9.2305%
Starwood Property Trust Inc,STWD,6.8465%
New Residential Investment Corp,NRZ,6.3709%
Blackstone Mortgage Trust Inc,BXMT,4.9557%
Two Harbors Investment Corp,TWO,4.8576%
Chimera Investment Corp,CIM,4.8305%
Invesco Mortgage Capital Inc,IVR,4.5118%
PennyMac Mortgage Investment Trust,PMT,4.3588%
MFA Financial Inc,MFA,4.2661%
New York Mortgage Trust Inc,NYMT,4.2491%
Apollo Commercial Real Estate Finance Inc,ARI,4.2215%
Ladder Capital Corp,LADR,4.0374%
Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,4.0316%
Arbor Realty Trust Inc,ABR,3.9639%
Redwood Trust Inc,RWT,2.7146%
Colony Credit Real Estate Inc,CLNC,2.4031%
ARMOUR Residential REIT Inc,ARR,2.1336%
Granite Point Mortgage Trust Inc,GPMT,1.7883%
TPG RE Finance Trust Inc,TRTX,1.6297%
Capstead Mortgage Corp,CMO,1.2769%
Ready Capital Corp,RC,1.2034%
Western Asset Mortgage Capital Corp,WMC,1.1583%
KKR Real Estate Finance Trust Inc,KREF,1.0824%
AG Mortgage Investment Trust Inc,MITT,1.0266%
