MORT: VanEck Vectors Mortgage REIT Income ETF
Inception Date: 2011-08-16
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	223590
Shares Outstanding: 8850000
Expense Ratio: 0.42%
Tracks This Index: MVIS Global Mortgage REITs Index
ETFdb.com Category: Real Estate
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/MORT


Holding,Symbol,Weighting
Annaly Capital Management Inc,NLY,12.8508%
AGNC Investment Corp,AGNC,9.2302%
Starwood Property Trust Inc,STWD,6.8462%
New Residential Investment Corp,NRZ,6.3707%
Blackstone Mortgage Trust Inc,BXMT,4.9555%
Two Harbors Investment Corp,TWO,4.8575%
Chimera Investment Corp,CIM,4.8303%
Invesco Mortgage Capital Inc,IVR,4.5116%
PennyMac Mortgage Investment Trust,PMT,4.3587%
MFA Financial Inc,MFA,4.266%
New York Mortgage Trust Inc,NYMT,4.249%
Apollo Commercial Real Estate Finance Inc,ARI,4.2214%
Ladder Capital Corp,LADR,4.0372%
Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,4.0314%
Arbor Realty Trust Inc,ABR,3.9638%
Redwood Trust Inc,RWT,2.7145%
Colony Credit Real Estate Inc,CLNC,2.403%
ARMOUR Residential REIT Inc,ARR,2.1335%
Granite Point Mortgage Trust Inc,GPMT,1.7882%
TPG RE Finance Trust Inc,TRTX,1.6297%
Capstead Mortgage Corp,CMO,1.2768%
Ready Capital Corp,RC,1.2033%
Western Asset Mortgage Capital Corp,WMC,1.1583%
KKR Real Estate Finance Trust Inc,KREF,1.0823%
AG Mortgage Investment Trust Inc,MITT,1.0266%
Cash Component,CASH,0.0033%
