NANR: SPDR S&P North American Natural Resources ETF
Inception Date: 2015-12-15
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	734960
Shares Outstanding: 23375000
Expense Ratio: 0.35%
Tracks This Index: S&P BMI North American Natural Resources Index
ETFdb.com Category: Commodity Producers Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NANR


Holding,Symbol,Weighting
Chevron Corp,CVX,9.2179%
Exxon Mobil Corp,XOM,8.9634%
Newmont Corporation,NEM,8.0656%
Barrick Gold Corp,ABX,7.2227%
Archer Daniels Midland Co,ADM,4.7692%
Franco-Nevada Corp,FNV,4.7256%
Nutrien Ltd,NTR,4.6446%
ConocoPhillips,COP,4.4936%
Corteva Inc,CTVA,4.3563%
Freeport-McMoRan Inc,FCX,3.8257%
Suncor Energy Inc,SU,3.1531%
Agnico Eagle Mines Ltd,AEM,3.0956%
EOG Resources Inc,EOG,3.0084%
Wheaton Precious Metals Corp,WPM,2.8456%
Occidental Petroleum Corp,OXY,2.6117%
FMC Corp,FMC,2.5686%
Canadian Natural Resources Ltd,CNQ,2.4032%
CF Industries Holdings Inc,CF,1.7224%
Pioneer Natural Resources Co,PXD,1.6133%
Kirkland Lake Gold Ltd,KL,1.5141%
Teck Resources Ltd,TECK.B,1.4616%
Bunge Ltd,BG,1.4313%
Kinross Gold Corp,K,1.3775%
Mosaic Co,MOS,1.3476%
First Quantum Minerals Ltd,FM,1.2907%
Concho Resources Inc,CXO,1.107%
Hess Corp,HES,1.0019%
Diamondback Energy Inc,FANG,0.8407%
Lundin Mining Corp,LUN,0.7607%
Apache Corp,APA,0.7368%
Noble Energy Inc,NBL,0.6684%
Marathon Oil Corp,MRO,0.6554%
Devon Energy Corp,DVN,0.6488%
Cenovus Energy Inc,CVE,0.6343%
Imperial Oil Ltd,IMO,0.3878%
Ovintiv Inc,OVV,0.305%
Cameco Corp,CCO,0.2369%
Continental Resources Inc,CLR,0.1606%
Husky Energy Inc,HSE,0.1336%
Cash Component,CASH,-0.0072%
