NFRA: FlexShares STOXX Global Broad Infrastructure Index Fund
Inception Date: 2013-10-08
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1797847
Shares Outstanding: 32600000
Expense Ratio: 0.47%
Tracks This Index: STOXX Global Broad Infrastructure Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: FlexShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NFRA


Holding,Symbol,Weighting
AT&T Inc,T,4.6483%
Verizon Communications Inc,VZ,4.1028%
Canadian National Railway Co,CNR,3.812%
Comcast Corp,CMCSA,3.3628%
Enbridge Inc,ENB,3.2521%
Enel SpA,ENEL,2.6643%
Iberdrola SA,IBE,2.5517%
Central Japan Railway Co,9022,2.1985%
Nextera Energy Inc,NEE,2.1815%
Union Pacific Corp,UNP,2.1016%
Canadian Pacific Railway Ltd,CP,2.0727%
Deutsche Post AG,DPW,1.9815%
TC Energy Corp,TRP,1.9692%
East Japan Railway Co,9020,1.935%
Cash Component,CASH,1.8488%
National Grid PLC,NG.,1.7528%
American Tower Corp,AMT,1.7503%
Transurban Group,TCL,1.6577%
Waste Connections Inc,WCN,1.4702%
Charter Communications Inc,CHTR,1.4105%
SoftBank Group Corp,9984,1.34%
Engie SA,ENGI,1.2075%
Southern Co,SO,1.1887%
Duke Energy Corp,DUK,1.167%
Dominion Energy Inc,D,1.1327%
Nippon Telegraph and Telephone Corp,9432,1.1315%
Crown Castle International Corp,CCI,1.0432%
KDDI Corp,9433,1.0155%
CSX Corp,CSX,0.9976%
Vodafone Group PLC,VOD,0.9924%
E.ON SE,EOAN,0.9923%
Deutsche Telekom AG,DTE,0.9917%
Veolia Environnement SA,VIE,0.9575%
West Japan Railway Co,9021,0.921%
Norfolk Southern Corp,NSC,0.9001%
Waste Management Inc,WM,0.8769%
Equinix Inc,EQIX,0.8577%
American Electric Power Company Inc,AEP,0.8349%
BCE Inc,BCE,0.8212%
China Mobile Ltd,941,0.7863%
Exelon Corp,EXC,0.7818%
Aena SME SA,AENA,0.7591%
Pembina Pipeline Corp,PPL,0.7588%
Sydney Airport Holdings Pty Ltd,SYD,0.7396%
Sempra Energy,SRE,0.7252%
Kinder Morgan Inc,KMI,0.709%
HCA Healthcare Inc,HCA,0.6673%
Atlantia SpA,ATL,0.6475%
Telefonica SA,TEF,0.5979%
Xcel Energy Inc,XEL,0.5935%
Hankyu Hanshin Holdings Inc,9042,0.5742%
CLP Holdings Ltd,2,0.5731%
Telstra Corporation Ltd,TLS,0.5684%
Airports of Thailand PCL,AOT-R,0.547%
WEC Energy Group Inc,WEC,0.5286%
ONEOK Inc,OKE,0.5224%
Consolidated Edison Inc,ED,0.5186%
Bangkok Dusit Medical Services PCL,BDMS-R,0.5151%
Eversource Energy,ES,0.4931%
Public Service Enterprise Group Inc,PEG,0.49%
SBA Communications Corp,SBAC,0.4885%
Ramsay Health Care Ltd,RHC,0.4826%
United Utilities Group PLC,UU.,0.481%
Severn Trent PLC,SVT,0.4561%
Getlink SE,GET,0.4354%
Snam SpA,SRG,0.4351%
Williams Companies Inc,WMB,0.4288%
Digital Realty Trust Inc,DLR,0.4161%
MTR Corp Ltd,66,0.4155%
American Water Works Company Inc,AWK,0.4099%
Aurizon Holdings Ltd,AZJ,0.3896%
Tobu Railway Co Ltd,9001,0.3771%
Pennon Group PLC,PNN,0.3492%
Suez SA,SEV,0.3431%
Republic Services Inc,RSG,0.3349%
BT Group PLC,BT.A,0.3323%
Liberty Broadband Corp,LBRDK,0.3316%
Aeroports de Paris SA,ADP,0.3025%
Guangdong Investment Ltd,270,0.292%
Auckland International Airport Ltd,AIA,0.2912%
Kansas City Southern,KSU,0.2807%
Grupo Aeroportuario del Pacifico SAB de CV,GAPB,0.2807%
Atlas Arteria Group,ALX,0.2786%
APA Group,APA,0.2775%
CCR SA,CCRO3,0.2758%
Swisscom AG,SCMN,0.2709%
Keisei Electric Railway Co Ltd,9009,0.2706%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3,0.2662%
Chunghwa Telecom Co Ltd,2412,0.2623%
Inter Pipeline Ltd,IPL,0.2503%
Adani Ports and Special Economic Zone Ltd,ADSEZ,0.2465%
Cellnex Telecom SA,CLNX,0.2415%
Kyushu Railway Co,9142,0.2401%
International Container Terminal Services Inc,ICT,0.2371%
Centurylink Inc,CTL,0.2278%
Enagas SA,ENG,0.227%
Keyera Corp,KEY,0.2122%
Grupo Aeroportuario del Sureste SAB de CV,ASURB,0.202%
Qube Holdings Ltd,QUB,0.1931%
Shaw Communications Inc,SJR.B,0.1899%
IHH Healthcare Bhd,IHH,0.1875%
China Tower Corp Ltd,788,0.1861%
Universal Health Services Inc,UHS,0.1855%
Aqua America Inc,WTRG,0.1854%
Beijing Enterprises Water Group Ltd,371,0.1781%
Flughafen Zuerich AG,FHZN,0.1762%
Bangkok Expressway and Metro PCL,BEM-R,0.1683%
Sirius XM Holdings Inc,SIRI,0.1664%
Liberty Global PLC,LBTYK,0.1575%
DISH Network Corp,DISH,0.1535%
Hapvida Participacoes e Investimentos SA,HAPV3,0.1452%
Cleanaway Waste Management Ltd,CWY,0.1435%
Targa Resources Corp,TRGP,0.1407%
Koninklijke Vopak NV,VPK,0.1404%
China Everbright International Ltd,257,0.1372%
Promotora y Operadora de Infraestructura SAB de CV,PINFRA*,0.1299%
Encompass Health Corp,EHC,0.1271%
Royal Mail PLC,RMG,0.1245%
CyrusOne Inc,CONE,0.1234%
China Merchants Port Holdings Co Ltd,144,0.1183%
China Telecom Corp Ltd,728,0.1181%
Life Healthcare Group Holdings Ltd,LHC,0.1132%
Shenzhen International Holdings Ltd,152,0.1129%
Bumrungrad Hospital PCL,BH-R,0.1091%
Transneft' PAO,TRNFP,0.0928%
SES SA,SESG,0.0897%
Stericycle Inc,SRCL,0.0889%
Companhia de Saneamento do Parana Sanepar,SAPR4,0.0853%
Netcare Ltd,NTC,0.0831%
Clean Harbors Inc,CLH,0.0702%
Oesterreichische Post AG,POST,0.0683%
Petronas Gas Bhd,PETGAS,0.0568%
Tallgrass Energy LP,TGE,0.0566%
Companhia de Saneamento de Minas Gerais Copasa MG,CSMG3,0.0558%
Tenet Healthcare Corp,THC,0.0554%
Aguas Andinas SA,AGUAS-A,0.0551%
COSCO SHIPPING Ports Ltd,1199,0.0536%
QTS Realty Trust Inc,QTS,0.0529%
American States Water Co,AWR,0.0524%
Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,0.051%
Bpost SA,BPOST,0.0452%
Infrastrutture Wireless Italiane SpA,INW,0.0448%
Singapore Post Ltd,S08,0.0442%
Advanced Disposal Services Inc,ADSW,0.0442%
California Water Service Group,CWT,0.0414%
Acadia Healthcare Company Inc,ACHC,0.0408%
Bingo Industries Ltd,BIN,0.0404%
Metro Pacific Investments Corp,MPI,0.0388%
Bangkok Chain Hospital PCL,BCH-R,0.038%
Plains GP Holdings LP,PAGP,0.0361%
NEXTDC Ltd,NXT,0.0317%
Keppel DC REIT,AJBU,0.0303%
Equitrans Midstream Corp,ETRN,0.0256%
Geo Group Inc,GEO,0.0248%
CoreCivic Inc,CXW,0.0247%
CTT Correios de Portugal SA,CTT,0.0246%
Westshore Terminals Investment Corp,WTE,0.0234%
Covanta Holding Corp,CVA,0.0223%
Insun Environmental New Technology Co,060150,0.0112%
Koentec Co Ltd,029960,0.0093%
