NXTG: First Trust Indxx NextG ETF
Inception Date: 2011-02-17
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	313253
Shares Outstanding: 5600000
Expense Ratio: 0.7%
Tracks This Index: Indxx 5G & NextG Thematic Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/NXTG


Holding,Symbol,Weighting
Xiaomi Corp,1810,1.8143%
Nokia Oyj,NOK,1.709%
Arista Networks Inc,ANET,1.683%
GDS Holdings Ltd,GDS,1.6627%
Fujitsu Ltd,6702,1.6581%
Advanced Micro Devices Inc,AMD,1.6294%
Lumentum Holdings Inc,LITE,1.6238%
Intel Corp,INTC,1.6011%
Crown Castle International Corp,CCI,1.5934%
American Tower Corp,AMT,1.5885%
SBA Communications Corp,SBAC,1.5831%
International Business Machines Corp,IBM,1.5804%
Samsung Electronics Co Ltd,005930,1.5759%
HCL Technologies Ltd,HCLT,1.5672%
Micron Technology Inc,MU,1.5585%
STMicroelectronics NV,STM,1.546%
China Tower Corp Ltd,788,1.5392%
Equinix Inc,EQIX,1.5391%
Sony Corp,6758,1.5308%
InterXion Holding NV,INXN,1.5194%
Infosys Ltd,INFY,1.5101%
Tech Mahindra Ltd,TECHM,1.5075%
Digital Realty Trust Inc,DLR,1.4993%
NXP Semiconductors NV,NXPI,1.4903%
Mitsubishi Electric Corp,6503,1.4898%
Lenovo Group Ltd,992,1.4825%
NEC Corp,6701,1.47%
Amdocs Ltd,DOX,1.4678%
Infrastrutture Wireless Italiane SpA,INW,1.4673%
Cisco Systems Inc,CSCO,1.4671%
Infineon Technologies AG,IFX,1.4469%
Kyocera Corp,6971,1.4334%
CoreSite Realty Corp,COR,1.43%
Skyworks Solutions Inc,SWKS,1.4265%
Wipro Ltd,WIT,1.4189%
CyrusOne Inc,CONE,1.4179%
Ciena Corp,CIEN,1.3971%
Samsung SDS Co Ltd,018260,1.3911%
Renesas Electronics Corp,6723,1.3826%
Digi.Com Bhd,DIGI,1.3716%
Qualcomm Inc,QCOM,1.3696%
Juniper Networks Inc,JNPR,1.3624%
Broadcom Inc,AVGO,1.3418%
Taiwan Semiconductor Manufacturing Co Ltd,TSM,1.3389%
Telefonaktiebolaget LM Ericsson,ERIC.B,1.3293%
Analog Devices Inc,ADI,1.3293%
Marvell Technology Group Ltd,MRVL,1.3086%
LG Electronics Inc,066570,1.3053%
Qorvo Inc,QRVO,1.2713%
Hewlett Packard Enterprise Co,HPE,1.2549%
MediaTek Inc,2454,1.2522%
Xilinx Inc,XLNX,1.2373%
ASE Technology Holding Co Ltd,3711,1.2367%
Keysight Technologies Inc,KEYS,1.2304%
F5 Networks Inc,FFIV,1.2024%
ZTE Corp,763,0.5319%
Bharti Airtel Ltd,BHARTI,0.5179%
Elisa Oyj,ELISA,0.4888%
T-Mobile US Inc,TMUS,0.4859%
China Mobile Ltd,941,0.4783%
Swisscom AG,SCMN,0.4724%
Nippon Telegraph and Telephone Corp,9432,0.4647%
Mobil'nye Telesistemy PAO,MBT,0.464%
Telus Corp,T,0.4617%
Spark New Zealand Ltd,SPK,0.4511%
China Telecom Corp Ltd,728,0.4469%
Rogers Communications Inc,RCI.B,0.4455%
KDDI Corp,9433,0.4448%
SoftBank Corp,9434,0.4448%
Vodafone Group PLC,VOD,0.4444%
PLDT Inc,PHI,0.4429%
Tele2 AB,TEL2.B,0.4409%
Turkcell Iletisim Hizmetleri AS,TCELL,0.4349%
Globe Telecom Inc,GLO,0.431%
Telefonica Brasil SA,VIV,0.4302%
China Unicom Hong Kong Ltd,762,0.4292%
VMware Inc,VMW,0.4248%
Telstra Corporation Ltd,TLS,0.4237%
BCE Inc,BCE,0.4228%
Deutsche Telekom AG,DTE,0.4226%
Telenor ASA,TEL,0.4208%
LG Uplus Corp,032640,0.4203%
Telia Company AB,TELIA,0.4196%
Chunghwa Telecom Co Ltd,2412,0.4196%
Verizon Communications Inc,VZ,0.4181%
Singapore Telecommunications Ltd,Z74,0.4103%
NTT Docomo Inc,9437,0.409%
Telefonica Deutschland Holding AG,O2D,0.4077%
SK Telecom Co Ltd,017670,0.4048%
Emirates Telecommunications Group Co PJSC,ETISALAT,0.4029%
Orange SA,ORA,0.4015%
Taiwan Mobile Co Ltd,3045,0.4012%
KT Corp,KT,0.3932%
Ooredoo QPSC,ORDS,0.3924%
MTN Group Ltd,MTN,0.3914%
Telefonica SA,TEF,0.39%
Telecom Italia SpA,TIT,0.375%
BT Group PLC,BT.A,0.3432%
Cash Component,CASH,0.1288%
