OIH: VanEck Vectors Oil Services ETF
Inception Date: 2011-12-20
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	706781
Shares Outstanding: 63410000
Expense Ratio: 0.35%
Tracks This Index: MVIS US Listed Oil Services 25 Index
ETFdb.com Category: Energy Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/OIH


Holding,Symbol,Weighting
Schlumberger NV,SLB,19.7829%
Halliburton Co,HAL,10.2895%
National Oilwell Varco Inc,NOV,5.6414%
Baker Hughes Co,BKR,5.4632%
Helmerich and Payne Inc,HP,5.0938%
Tenaris SA,TS,5.0918%
TechnipFMC PLC,FTI,4.8581%
Apergy Corp,APY,4.726%
Cactus Inc,WHD,4.5124%
Transocean Ltd,RIG,4.1756%
Core Laboratories NV,CLB,3.8847%
Patterson-UTI Energy Inc,PTEN,3.6368%
Oceaneering International Inc,OII,3.2602%
Helix Energy Solutions Group Inc,HLX,3.1948%
Dril-Quip Inc,DRQ,2.9246%
Valaris PLC,VAL,2.568%
ProPetro Holding Corp,PUMP,2.36%
Nabors Industries Ltd,NBR,2.0594%
Nextier Oilfield Solutions Inc,NEX,1.9546%
RPC Inc,RES,1.2506%
Oil States International Inc,OIS,1.2176%
U.S. Silica Holdings Inc,SLCA,0.7876%
Diamond Offshore Drilling Inc,DO,0.6314%
Noble Corporation PLC,NE,0.5465%
Cash Component,CASH,0.0885%
