PBE: Invesco Dynamic Biotechnology & Genome ETF
Inception Date: 2005-06-23
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	237016
Shares Outstanding: 4150000
Expense Ratio: 0.57%
Tracks This Index: Dynamic Biotechnology & Genome Intellidex Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PBE


Holding,Symbol,Weighting
Eli Lilly and Co,LLY,5.829%
Bristol-Myers Squibb Co,BMY,5.3772%
Johnson & Johnson,JNJ,5.1536%
Abbvie Inc,ABBV,4.8834%
Abbott Laboratories,ABT,4.8088%
Pfizer Inc,PFE,4.6045%
Amgen Inc,AMGN,4.573%
Merck & Co Inc,MRK,4.5397%
Mylan NV,MYL,3.0911%
Prestige Consumer Healthcare Inc,PBH,3.0764%
Perrigo Company PLC,PRGO,2.9999%
Biogen Inc,BIIB,2.8499%
Innoviva Inc,INVA,2.803%
Horizon Therapeutics PLC,HZNP,2.7669%
ANI Pharmaceuticals Inc,ANIP,2.761%
Amphastar Pharmaceuticals Inc,AMPH,2.7247%
Supernus Pharmaceuticals Inc,SUPN,2.6928%
Pacira Biosciences Inc,PCRX,2.6436%
Regeneron Pharmaceuticals Inc,REGN,2.6253%
Corcept Therapeutics Inc,CORT,2.6172%
Gilead Sciences Inc,GILD,2.6171%
Eagle Pharmaceuticals Inc,EGRX,2.5857%
Bausch Health Companies Inc,BHC,2.5436%
Jazz Pharmaceuticals PLC,JAZZ,2.4231%
Enanta Pharmaceuticals Inc,ENTA,2.2422%
Alexion Pharmaceuticals Inc,ALXN,2.2357%
Ligand Pharmaceuticals Inc,LGND,2.1507%
Taro Pharmaceutical Industries Ltd,TARO,2.0279%
Vanda Pharmaceuticals Inc,VNDA,2.0234%
Cash Component,CASH,-0.0052%
