PBW: Invesco WilderHill Clean Energy ETF
Inception Date: 2005-03-03
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	299658
Shares Outstanding: 7818000
Expense Ratio: 0.7%
Tracks This Index: WilderHill Clean Energy Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PBW


Holding,Symbol,Weighting
Tesla Inc,TSLA,4.0597%
Ballard Power Systems Inc,BLDP,3.4756%
Nio Inc,NIO,3.4571%
Bloom Energy Corp,BE,3.4221%
Enphase Energy Inc,ENPH,3.2383%
Plug Power Inc,PLUG,3.1387%
Sunrun Inc,RUN,2.9635%
TerraForm Power Inc,TERP,2.9074%
Ameresco Inc,AMRC,2.8991%
Willdan Group Inc,WLDN,2.8038%
Sunnova Energy International Inc,NOVA,2.7851%
TPI Composites Inc,TPIC,2.7694%
Vivint Solar Inc,VSLR,2.7355%
SunPower Corp,SPWR,2.7233%
Albemarle Corp,ALB,2.623%
Livent Corp,LTHM,2.5952%
Ormat Technologies Inc,ORA,2.5936%
ESCO Technologies Inc,ESE,2.5693%
Daqo New Energy Corp,DQ,2.5645%
Atlantica Yield PLC,AY,2.5217%
Gentherm Inc,THRM,2.4655%
Sociedad Quimica y Minera de Chile SA,SQM,2.4451%
Solaredge Technologies Inc,SEDG,2.4257%
Itron Inc,ITRI,2.3905%
Air Products and Chemicals Inc,APD,2.3344%
Veeco Instruments Inc,VECO,2.3123%
Quanta Services Inc,PWR,2.3114%
Hexcel Corp,HXL,2.305%
Woodward Inc,WWD,2.2945%
Cree Inc,CREE,2.2911%
Advanced Energy Industries Inc,AEIS,2.2791%
Canadian Solar Inc,CSIQ,2.2002%
Renewable Energy Group Inc,REGI,2.1689%
JinkoSolar Holding Co Ltd,JKS,2.159%
Universal Display Corp,OLED,2.1358%
MYR Group Inc,MYRG,2.0896%
First Solar Inc,FSLR,2.075%
Workhorse Group Inc,WKHS,2.0141%
American Superconductor Corp,AMSC,0.3866%
Cash Component,CASH,0.0702%
