PICK: iShares MSCI Global Select Metals & Mining Producers ETF
Inception Date: 2012-01-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	228353
Shares Outstanding: 8250000
Expense Ratio: 0.39%
Tracks This Index: MSCI ACWI Select Metals & Mining Producers Ex Gold & Silver Investable Market Index
ETFdb.com Category: Materials
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PICK


Holding,Symbol,Weighting
BHP Group Ltd,BHP,10.8759%
Rio Tinto PLC,RIO,8.7027%
Vale SA,VALE3,5.4071%
Glencore PLC,GLEN,4.6562%
Anglo American PLC,AAL,3.8742%
GMK Noril'skiy Nikel' PAO,GMKN,2.9937%
Freeport-McMoRan Inc,FCX,2.4429%
Nucor Corp,NUE,2.0909%
Posco,005490,2.0855%
ArcelorMittal SA,MT,1.6951%
Nippon Steel Corp,5401,1.6584%
Fortescue Metals Group Ltd,FMG,1.4316%
Grupo Mexico SAB de CV,GMEXICOB,1.3735%
China Steel Corp,2002,1.3326%
South32 Ltd,S32,1.2456%
Impala Platinum Holdings Ltd,IMP,1.1125%
Reliance Steel & Aluminum Co,RS,1.0929%
Sumitomo Metal Mining Co Ltd,5713,1.0532%
Cash Component,CASH,0.9564%
Boliden AB,BOL,0.9472%
Teck Resources Ltd,TECK.B,0.94%
Steel Dynamics Inc,STLD,0.9012%
JFE Holdings Inc,5411,0.8832%
First Quantum Minerals Ltd,FM,0.8255%
Gerdau SA,GGBR4,0.7413%
thyssenkrupp AG,TKA,0.6889%
BlueScope Steel Ltd,BSL,0.6845%
Saudi Arabian Mining Co SJSC,1211,0.6584%
Antofagasta PLC,ANTO,0.6152%
Anglo American Platinum Ltd,AMS,0.6025%
Norsk Hydro ASA,NHY,0.5689%
Alumina Ltd,AWC,0.5014%
Lundin Mining Corp,LUN,0.5013%
Hitachi Metals Ltd,5486,0.5011%
AK Alrosa PAO,ALRS,0.4822%
KGHM Polska Miedz SA,KGH,0.4801%
JSW Steel Ltd,JSWSTEEL,0.476%
Hindalco Industries Ltd,HNDL,0.4641%
Southern Copper Corp,SCCO,0.4583%
Korea Zinc Inc,010130,0.4441%
Vedanta Ltd,SSLT,0.4396%
voestalpine AG,VOE,0.4282%
Severstal' PAO,CHMF,0.4267%
Mitsubishi Materials Corp,5711,0.4251%
Northam Platinum Ltd,NHM,0.4191%
Alcoa Corp,AA,0.4113%
Iluka Resources Ltd,ILU,0.3896%
EVRAZ plc,EVR,0.3768%
Novolipetsk Steel PAO,NLMK,0.3655%
Commercial Metals Co,CMC,0.36%
Allegheny Technologies Inc,ATI,0.349%
Bradespar SA,BRAP4,0.3146%
OZ Minerals Ltd,OZL,0.3055%
Eregli Demir ve Celik Fabrikalari TAS,EREGL,0.3048%
SSAB AB,SSAB.B,0.3043%
Carpenter Technology Corp,CRS,0.2946%
IGO Ltd,IGO,0.2921%
Compass Minerals International Inc,CMP,0.2921%
Cleveland-Cliffs Inc,CLF,0.2904%
Tata Steel Ltd,TTST,0.2842%
Aurubis AG,NDA,0.2831%
Mineral Resources Ltd,MIN,0.2763%
Hyundai Steel Co,004020,0.2754%
DOWA Holdings Co Ltd,5714,0.2666%
Jiangxi Copper Co Ltd,358,0.2574%
Press Metal Aluminium Holdings Bhd,PMETAL,0.2543%
Companhia Siderurgica Nacional,CSNA3,0.254%
Aperam SA,APAM,0.2521%
Acerinox SA,ACX,0.2459%
Kaiser Aluminum Corp,KALU,0.2393%
China Molybdenum Co Ltd,3993,0.237%
Kaz Minerals PLC,KAZ,0.228%
Magnitogorskiy Metallurgicheskiy Kombinat PAO,MAGN,0.2276%
Ivanhoe Mines Ltd,IVN,0.227%
Constellium SE,CSTM,0.2264%
United States Steel Corp,X,0.2221%
Metalurgica Gerdau SA,GOAU4,0.2206%
Worthington Industries Inc,WOR,0.2203%
Outokumpu Oyj,OUT1V,0.2148%
Maruichi Steel Tube Ltd,5463,0.2077%
Kumba Iron Ore Ltd,KIO,0.2072%
Hill & Smith Holdings PLC,HILS,0.2004%
Kobe Steel Ltd,5406,0.1981%
Daido Steel Co Ltd,5471,0.1813%
Asahi Holdings Inc,5857,0.1794%
Sims Ltd,SGM,0.1773%
Mitsui Mining and Smelting Co Ltd,5706,0.1762%
Yamato Kogyo Co Ltd,5444,0.1716%
Nippon Light Metal Holdings Co Ltd,5703,0.1682%
Aluminum Corp of China Ltd,2600,0.1674%
Materion Corp,MTRN,0.166%
Jindal Steel And Power Ltd,JSP,0.1648%
African Rainbow Minerals Ltd,ARI,0.156%
Labrador Iron Ore Royalty Corp,LIF,0.1462%
Ta Chen Stainless Pipe Co Ltd,2027,0.1396%
Warrior Met Coal Inc,HCC,0.1388%
AK Steel Holding Corp,AKS,0.136%
