PIO: Invesco Global Water ETF
Inception Date: 2007-06-13
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	208492
Shares Outstanding: 6550000
Expense Ratio: 0.75%
Tracks This Index: NASDAQ OMX Global Water Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PIO


Holding,Symbol,Weighting
Danaher Corp,DHR,8.263%
Ecolab Inc,ECL,8.2002%
Geberit AG,GEBN,7.3991%
Ferguson PLC,FERG,6.5994%
Pentair PLC,PNR,4.3505%
Veolia Environnement SA,VIE,4.3185%
American Water Works Company Inc,AWK,4.1352%
Roper Technologies Inc,ROP,3.9758%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3,3.8868%
Waters Corp,WAT,3.6502%
Severn Trent PLC,SVT,3.2616%
United Utilities Group PLC,UU.,3.1926%
Suez SA,SEV,3.0386%
Halma PLC,HLMA,2.9381%
Aqua America Inc,WTRG,2.6478%
Xylem Inc,XYL,2.5844%
IDEX Corp,IEX,2.5327%
Spirax-Sarco Engineering PLC,SPX,2.4129%
TOTO Ltd,5332,2.2229%
Pennon Group PLC,PNN,2.1972%
HD Supply Holdings Inc,HDS,2.1075%
A. O. Smith Corp,AOS,1.8804%
Guangdong Investment Ltd,270,1.5425%
Hera SpA,HER,1.516%
Aalberts NV,AALB,1.4493%
Woongjin Coway Co Ltd,021240,1.4064%
Kurita Water Industries Ltd,6370,1.2382%
Acciona SA,ANA,1.0907%
Reliance Worldwide Corporation Ltd,RWC,0.9788%
HomeServe PLC,HSV,0.9757%
Miura Co Ltd,6005,0.7929%
Beijing Enterprises Water Group Ltd,371,0.7586%
Stantec Inc,STN,0.745%
Acea SpA,ACE,0.3512%
Arcadis NV,ARCAD,0.3137%
Polypipe Group PLC,PLP,0.2215%
Metawater Co Ltd,9551,0.2081%
TTW PCL,TTW-R,0.2004%
China Water Affairs Group Ltd,855,0.1846%
Consolidated Water Co Ltd,CWCO,0.1299%
CT Environmental Group Ltd,1363,0.0539%
China Everbright Water Ltd,U9E,0.034%
Cash Component,CASH,0.0134%
