PJP: Invesco Dynamic Pharmaceuticals ETF
Inception Date: 2005-06-23
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	380509
Shares Outstanding: 5750000
Expense Ratio: 0.56%
Tracks This Index: Dynamic Pharmaceuticals Intellidex Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PJP


Holding,Symbol,Weighting
Eli Lilly and Co,LLY,5.8217%
Bristol-Myers Squibb Co,BMY,5.3723%
Johnson & Johnson,JNJ,5.1518%
Abbvie Inc,ABBV,4.8794%
Abbott Laboratories,ABT,4.8039%
Pfizer Inc,PFE,4.6007%
Amgen Inc,AMGN,4.5696%
Merck & Co Inc,MRK,4.5359%
Mylan NV,MYL,3.0893%
Prestige Consumer Healthcare Inc,PBH,3.0744%
Perrigo Company PLC,PRGO,2.9977%
Biogen Inc,BIIB,2.8395%
Innoviva Inc,INVA,2.8006%
Horizon Therapeutics PLC,HZNP,2.7646%
ANI Pharmaceuticals Inc,ANIP,2.7584%
Amphastar Pharmaceuticals Inc,AMPH,2.7226%
Supernus Pharmaceuticals Inc,SUPN,2.6907%
Pacira Biosciences Inc,PCRX,2.6421%
Regeneron Pharmaceuticals Inc,REGN,2.6153%
Corcept Therapeutics Inc,CORT,2.6151%
Gilead Sciences Inc,GILD,2.6145%
Eagle Pharmaceuticals Inc,EGRX,2.584%
Bausch Health Companies Inc,BHC,2.542%
Jazz Pharmaceuticals PLC,JAZZ,2.4195%
Enanta Pharmaceuticals Inc,ENTA,2.2414%
Alexion Pharmaceuticals Inc,ALXN,2.2353%
Ligand Pharmaceuticals Inc,LGND,2.1515%
Taro Pharmaceutical Industries Ltd,TARO,2.0262%
Vanda Pharmaceuticals Inc,VNDA,2.0216%
Cash Component,CASH,0.0885%
