PNQI: Invesco NASDAQ Internet ETF
Inception Date: 2008-06-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	545229
Shares Outstanding: 3600000
Expense Ratio: 0.62%
Tracks This Index: NASDAQ Internet Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PNQI


Holding,Symbol,Weighting
Netflix Inc,NFLX,8.4904%
Amazon.com Inc,AMZN,8.4021%
Alphabet Inc,GOOG,8.2628%
Alibaba Group Holding Ltd,BABA,7.8862%
Facebook Inc,FB,7.6687%
JD.com Inc,JD,3.7843%
Baidu Inc,BIDU,3.696%
Booking Holdings Inc,BKNG,3.6565%
Mercadolibre Inc,MELI,3.2759%
eBay Inc,EBAY,3.0064%
Twitter Inc,TWTR,2.935%
NetEase Inc,NTES,2.5304%
CoStar Group Inc,CSGP,2.4908%
Verisign Inc,VRSN,2.4589%
Snap Inc,SNAP,1.9909%
IAC/InterActiveCorp,IAC,1.9355%
Arista Networks Inc,ANET,1.8088%
Trip.com Group Ltd,TCOM,1.8083%
Akamai Technologies Inc,AKAM,1.5854%
Expedia Group Inc,EXPE,1.5657%
Okta Inc,OKTA,1.4449%
Yandex NV,YNDX,1.4433%
GoDaddy Inc,GDDY,1.2054%
Sea Ltd,SE,1.1586%
Coupa Software Inc,COUP,1.0132%
Anaplan Inc,PLAN,0.7898%
Wix.Com Ltd,WIX,0.7566%
Vipshop Holdings Ltd,VIPS,0.6762%
Wayfair Inc,W,0.6662%
Nutanix Inc,NTNX,0.6209%
Etsy Inc,ETSY,0.6005%
Match Group Inc,MTCH,0.5565%
Momo Inc,MOMO,0.5317%
j2 Global Inc,JCOM,0.4908%
GrubHub Inc,GRUB,0.472%
Autohome Inc,ATHM,0.4637%
Five9 Inc,FIVN,0.4607%
Envestnet Inc,ENV,0.4357%
LogMeIn Inc,LOGM,0.426%
TripAdvisor Inc,TRIP,0.3734%
New Relic Inc,NEWR,0.3729%
Cogent Communications Holdings Inc,CCOI,0.3625%
Cornerstone OnDemand Inc,CSOD,0.3614%
Weibo Corp,WB,0.3452%
JOYY Inc,YY,0.3298%
Cimpress PLC,CMPR,0.3295%
Zillow Group Inc,ZG,0.2993%
LivePerson Inc,LPSN,0.2936%
SINA Corp,SINA,0.2842%
AppFolio Inc,APPF,0.2295%
Alarm.com Holdings Inc,ALRM,0.2256%
SPS Commerce Inc,SPSC,0.2062%
Groupon Inc,GRPN,0.1758%
2U Inc,TWOU,0.1642%
Shutterstock Inc,SSTK,0.1592%
Baozun Inc,BZUN,0.1538%
MakeMyTrip Ltd,MMYT,0.1505%
Switch Inc,SWCH,0.1429%
Stamps.Com Inc,STMP,0.1417%
NIC Inc,EGOV,0.1406%
Stitch Fix Inc,SFIX,0.1318%
Eventbrite Inc,EB,0.1256%
Blucora Inc,BCOR,0.1162%
Criteo SA,CRTO,0.0992%
21Vianet Group Inc,VNET,0.0915%
Quinstreet Inc,QNST,0.0783%
Endurance International Group Holdings Inc,EIGI,0.0779%
TechTarget Inc,TTGT,0.0758%
Benefitfocus Inc,BNFT,0.0608%
1-800-Flowers.Com Inc,FLWS,0.0583%
Petmed Express Inc,PETS,0.0565%
Boingo Wireless Inc,WIFI,0.0535%
Gogo Inc,GOGO,0.0453%
Meet Group Inc,MEET,0.0443%
Sohu.com Ltd,SOHU,0.0434%
TrueCar Inc,TRUE,0.0415%
Sogou Inc,SOGO,0.0414%
Lands End Inc,LE,0.0372%
Brightcove Inc,BCOV,0.035%
Overstock.com Inc,OSTK,0.03%
eGain Corp,EGAN,0.026%
Liquidity Services Inc,LQDT,0.0163%
Cash Component,CASH,-0.0792%
