PSCH: Invesco S&P SmallCap Health Care ETF
Inception Date: 2010-04-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	514826
Shares Outstanding: 3850000
Expense Ratio: 0.29%
Tracks This Index: S&P SmallCap 600 Health Care Index 
ETFdb.com Category: Health & Biotech Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PSCH


Holding,Symbol,Weighting
LHC Group Inc,LHCG,4.9322%
Momenta Pharmaceuticals Inc,MNTA,3.8875%
Neogen Corp,NEOG,3.8767%
Omnicell Inc,OMCL,3.8621%
AMN Healthcare Services Inc,AMN,3.5008%
Neogenomics Inc,NEO,3.4964%
Integer Holdings Corp,ITGR,2.9766%
Emergent BioSolutions Inc,EBS,2.8915%
Ensign Group Inc,ENSG,2.8572%
Select Medical Holdings Corp,SEM,2.7453%
Medpace Holdings Inc,MEDP,2.7411%
HMS Holdings Corp,HMSY,2.6359%
Merit Medical Systems Inc,MMSI,2.3068%
Pacira Biosciences Inc,PCRX,2.1217%
Xencor Inc,XNCR,1.9267%
BioTelemetry Inc,BEAT,1.8737%
Magellan Health Inc,MGLN,1.7118%
Myriad Genetics Inc,MYGN,1.68%
Regenxbio Inc,RGNX,1.651%
U.S. Physical Therapy Inc,USPH,1.6283%
Cardiovascular Systems Inc,CSII,1.5442%
Corcept Therapeutics Inc,CORT,1.4984%
Addus Homecare Corp,ADUS,1.4483%
Covetrus Inc,CVET,1.3623%
Supernus Pharmaceuticals Inc,SUPN,1.3489%
Tabula Rasa HealthCare Inc,TRHC,1.3095%
CryoLife Inc,CRY,1.2121%
Tactile Systems Technology Inc,TCMD,1.2072%
Mesa Laboratories Inc,MLAB,1.1562%
Varex Imaging Corp,VREX,1.1239%
Natus Medical Inc,NTUS,1.1224%
Luminex Corp,LMNX,1.0602%
Tivity Health Inc,TVTY,1.0461%
Innoviva Inc,INVA,1.0335%
RadNet Inc,RDNT,0.992%
Enanta Pharmaceuticals Inc,ENTA,0.9579%
Cytokinetics Inc,CYTK,0.9255%
Hanger Inc,HNGR,0.9251%
Inogen Inc,INGN,0.9181%
Orthofix Medical Inc,OFIX,0.8908%
Providence Service Corp,PRSC,0.8103%
CorVel Corp,CRVL,0.8102%
Pennant Group Inc,PNTG,0.7864%
Vanda Pharmaceuticals Inc,VNDA,0.7621%
NextGen Healthcare Inc,NXGN,0.7487%
Heska Corp,HSKA,0.7456%
Amphastar Pharmaceuticals Inc,AMPH,0.7333%
HealthStream Inc,HSTM,0.7277%
Lantheus Holdings Inc,LNTH,0.7184%
ANI Pharmaceuticals Inc,ANIP,0.6489%
Anika Therapeutics Inc,ANIK,0.6342%
Eagle Pharmaceuticals Inc,EGRX,0.6241%
Phibro Animal Health Corp,PAHC,0.589%
Surmodics Inc,SRDX,0.5858%
Community Health Systems Inc,CYH,0.5836%
AngioDynamics Inc,ANGO,0.5335%
LeMaitre Vascular Inc,LMAT,0.5159%
OraSure Technologies Inc,OSUR,0.4377%
Cutera Inc,CUTR,0.4296%
Progenics Pharmaceuticals Inc,PGNX,0.429%
Owens & Minor Inc,OMI,0.4213%
Cross Country Healthcare Inc,CCRN,0.3858%
Meridian Bioscience Inc,VIVO,0.3582%
Computer Programs and Systems Inc,CPSI,0.3543%
Spectrum Pharmaceuticals Inc,SPPI,0.3338%
Lannett Company Inc,LCI,0.3259%
AMAG Pharmaceuticals Inc,AMAG,0.3207%
Invacare Corp,IVC,0.2739%
Diplomat Pharmacy Inc,DPLO,0.2482%
Akorn Inc,AKRX,0.1748%
Acorda Therapeutics Inc,ACOR,0.1042%
Cash Component,CASH,-0.0355%
