PSCT: Invesco S&P SmallCap Information Technology ETF
Inception Date: 2010-04-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	339014
Shares Outstanding: 3600000
Expense Ratio: 0.29%
Tracks This Index: S&P SmallCap 600 Information Technology Index
ETFdb.com Category: Technology Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PSCT


Holding,Symbol,Weighting
Viavi Solutions Inc,VIAV,3.1029%
Power Integrations Inc,POWI,2.8567%
Anixter International Inc,AXE,2.7734%
Qualys Inc,QLYS,2.7727%
Itron Inc,ITRI,2.7148%
Brooks Automation Inc,BRKS,2.6587%
Advanced Energy Industries Inc,AEIS,2.5551%
LivePerson Inc,LPSN,2.5107%
Exlservice Holdings Inc,EXLS,2.3799%
Fabrinet,FN,2.2404%
Insight Enterprises Inc,NSIT,2.2212%
ManTech International Corp,MANT,2.0618%
Rogers Corp,ROG,2.0151%
Sanmina Corp,SANM,1.9976%
Diodes Inc,DIOD,1.9443%
Plexus Corp,PLXS,1.9359%
Evertec Inc,EVTC,1.9269%
SPS Commerce Inc,SPSC,1.8989%
Progress Software Corp,PRGS,1.8881%
8x8 Inc,EGHT,1.8746%
FormFactor Inc,FORM,1.8112%
Badger Meter Inc,BMI,1.7819%
Onto Innovation Inc,ONTO,1.7712%
Bottomline Technologies (DE) Inc,EPAY,1.7635%
Rambus Inc,RMBS,1.7042%
Perficient Inc,PRFT,1.587%
Alarm.com Holdings Inc,ALRM,1.5547%
Kulicke and Soffa Industries Inc,KLIC,1.552%
CSG Systems International Inc,CSGS,1.5484%
Cardtronics PLC,CATM,1.5032%
OSI Systems Inc,OSIS,1.4622%
KEMET Corp,KEM,1.4349%
Virtusa Corp,VRTU,1.3889%
Knowles Corp,KN,1.3019%
NIC Inc,EGOV,1.2923%
TTM Technologies Inc,TTMI,1.2843%
Sykes Enterprises Inc,SYKE,1.2475%
3D Systems Corp,DDD,1.2143%
MicroStrategy Inc,MSTR,1.1802%
Methode Electronics Inc,MEI,1.1599%
MaxLinear Inc,MXL,1.1067%
ePlus inc,PLUS,1.0747%
Benchmark Electronics Inc,BHE,0.9411%
Cohu Inc,COHU,0.9096%
CTS Corp,CTS,0.8976%
FARO Technologies Inc,FARO,0.889%
Ultra Clean Holdings Inc,UCTT,0.8829%
TiVo Corp,TIVO,0.8443%
Diebold Nixdorf Inc,DBD,0.8306%
Axcelis Technologies Inc,ACLS,0.8165%
Photronics Inc,PLAB,0.8121%
Unisys Corp,UIS,0.8015%
Ebix Inc,EBIX,0.7737%
Xperi Corp,XPER,0.7349%
MTS Systems Corp,MTSC,0.7294%
ScanSource Inc,SCSC,0.7079%
Ichor Holdings Ltd,ICHR,0.7037%
Agilysys Inc,AGYS,0.6875%
TTEC Holdings Inc,TTEC,0.6865%
Extreme Networks Inc,EXTR,0.6804%
Comtech Telecommunications Corp,CMTL,0.6797%
NETGEAR Inc,NTGR,0.6664%
Veeco Instruments Inc,VECO,0.6511%
CEVA Inc,CEVA,0.598%
Harmonic Inc,HLIT,0.5751%
OneSpan Inc,OSPN,0.5263%
Plantronics Inc,PLT,0.4622%
PC Connection Inc,CNXN,0.4336%
PDF Solutions Inc,PDFS,0.4313%
Digi International Inc,DGII,0.3898%
ADTRAN Inc,ADTN,0.3876%
Smart Global Holdings Inc,SGH,0.3468%
DSP Group Inc,DSPG,0.3261%
CalAmp Corp,CAMP,0.3192%
Arlo Technologies Inc,ARLO,0.2651%
Daktronics Inc,DAKT,0.209%
Applied Optoelectronics Inc,AAOI,0.2023%
Bel Fuse Inc,BELFB,0.1611%
Cash Component,CASH,-0.0148%
