PSI: Invesco Dynamic Semiconductors ETF
Inception Date: 2005-06-23
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	256639
Shares Outstanding: 3700000
Expense Ratio: 0.58%
Tracks This Index: Dynamic Semiconductors Intellidex Index
ETFdb.com Category: Technology Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PSI


Holding,Symbol,Weighting
Advanced Micro Devices Inc,AMD,5.7236%
Micron Technology Inc,MU,5.3576%
NVIDIA Corp,NVDA,5.2299%
Intel Corp,INTC,5.1183%
Applied Materials Inc,AMAT,4.802%
Texas Instruments Inc,TXN,4.7978%
Qualcomm Inc,QCOM,4.6754%
Broadcom Inc,AVGO,4.4897%
Synaptics Inc,SYNA,3.5947%
Rambus Inc,RMBS,3.0378%
Lam Research Corp,LRCX,2.8826%
Inphi Corp,IPHI,2.8719%
Entegris Inc,ENTG,2.8583%
MACOM Technology Solutions Holdings Inc,MTSI,2.8405%
Skyworks Solutions Inc,SWKS,2.8284%
Ambarella Inc,AMBA,2.7935%
NXP Semiconductors NV,NXPI,2.7875%
Nova Measuring Instruments Ltd,NVMI,2.7844%
Power Integrations Inc,POWI,2.7454%
Monolithic Power Systems Inc,MPWR,2.7329%
FormFactor Inc,FORM,2.6953%
Teradyne Inc,TER,2.6871%
Diodes Inc,DIOD,2.6654%
Cirrus Logic Inc,CRUS,2.6565%
Ultra Clean Holdings Inc,UCTT,2.6034%
KLA Corp,KLAC,2.4657%
Impinj Inc,PI,2.4584%
Lattice Semiconductor Corp,LSCC,2.4163%
Marvell Technology Group Ltd,MRVL,2.2278%
Amkor Technology Inc,AMKR,2.2237%
Cash Component,CASH,-0.0516%
