PSJ: Invesco Dynamic Software ETF
Inception Date: 2005-06-23
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	505953
Shares Outstanding: 4900000
Expense Ratio: 0.58%
Tracks This Index: Dynamic Software Intellidex Index
ETFdb.com Category: All Cap Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PSJ


Holding,Symbol,Weighting
Microsoft Corp,MSFT,5.8165%
Activision Blizzard Inc,ATVI,5.4406%
Liberty Broadband Corp,LBRDK,5.3983%
ANSYS Inc,ANSS,5.3735%
Cerner Corp,CERN,5.2729%
Synopsys Inc,SNPS,5.2415%
Electronic Arts Inc,EA,5.2149%
Glu Mobile Inc,GLUU,3.7276%
Roku Inc,ROKU,3.7038%
Bandwidth Inc,BAND,3.4981%
RingCentral Inc,RNG,3.1747%
Paylocity Holding Corp,PCTY,3.0494%
Tyler Technologies Inc,TYL,2.9763%
Akamai Technologies Inc,AKAM,2.8932%
Black Knight Inc,BKI,2.8565%
Zynga Inc,ZNGA,2.8048%
Amdocs Ltd,DOX,2.8017%
Sapiens International Corporation NV,SPNS,2.7928%
Sciplay Corp,SCPL,2.7167%
Model N Inc,MODN,2.7115%
HealthStream Inc,HSTM,2.4753%
Blackbaud Inc,BLKB,2.4678%
Take-Two Interactive Software Inc,TTWO,2.434%
Manhattan Associates Inc,MANH,2.3909%
Health Catalyst Inc,HCAT,2.3111%
CSG Systems International Inc,CSGS,2.2932%
Allscripts Healthcare Solutions Inc,MDRX,2.1949%
NextGen Healthcare Inc,NXGN,2.1172%
Xperi Corp,XPER,2.0832%
Digital Turbine Inc,APPS,1.8269%
Cash Component,CASH,-0.0598%
