PSP: Invesco Global Listed Private Equity ETF
Inception Date: 2006-10-24
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	216027
Shares Outstanding: 16650000
Expense Ratio: 1.78%
Tracks This Index: Global Listed Private Equity Index
ETFdb.com Category: Global Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PSP


Holding,Symbol,Weighting
Partners Group Holding AG,PGHN,5.6573%
Melrose Industries PLC,MRO,5.5653%
3i Group PLC,III,5.5553%
KKR & Co Inc,KKR,5.2615%
Blackstone Group Inc,BX,5.2603%
IAC/InterActiveCorp,IAC,4.3464%
Carlyle Group Inc,CG,3.6328%
Brookfield Business Partners LP,BBU.UN,3.1448%
Onex Corp,ONEX,3.0265%
Fosun International Ltd,656,2.9364%
Intermediate Capital Group PLC,ICP,2.9231%
Kinnevik AB,KINV.B,2.7994%
Ares Capital Corp,ARCC,2.7932%
Wendel SE,MF,2.7358%
Eurazeo SE,RF,2.6324%
Rocket Internet SE,RKET,1.6332%
Cannae Holdings Inc,CNNE,1.5413%
Hamilton Lane Inc,HLNE,1.4035%
FS KKR Capital Corp,FSK,1.2539%
Main Street Capital Corp,MAIN,1.2502%
Golub Capital BDC Inc,GBDC,1.2447%
Prospect Capital Corp,PSEC,1.2151%
Compass Diversified Holdings,CODI,1.1347%
JAFCO Co Ltd,8595,1.1243%
HBM Healthcare Investments AG,HBMN,1.0565%
Hercules Capital Inc,HTGC,1.0461%
HgCapital Trust PLC,HGT,1.0428%
New Mountain Finance Corp,NMFC,1.0148%
Gimv Investeringsmaatschappij Voor Vlanderen NV,GIMB,1.0127%
TPG Specialty Lending Inc,TSLX,1.0088%
Schouw & Co A/S,SCHO,1.0081%
Ratos AB,RATO.B,0.9384%
Digital Garage Inc,4819,0.9316%
Aurelius Equity Opportunities SE & Co KGaA,AR4,0.8648%
Princess Private Equity Holding Ltd,PEY,0.8009%
Vostok New Ventures Ltd,VNV.SDB,0.791%
NB Private Equity Partners Ltd,NBPE,0.764%
Deutsche Beteiligungs AG,DBAN,0.7539%
Solar Capital Ltd,SLRC,0.7476%
BlackRock TCP Capital Corp,TCPC,0.7444%
ATN International Inc,ATNI,0.7442%
Tamburi Investment Partners SpA,TIP,0.7375%
TCG BDC Inc,CGBD,0.7364%
Bain Capital Specialty Finance Inc,BCSF,0.7349%
Goldman Sachs BDC Inc,GSBD,0.7314%
Bure Equity AB,BURE,0.7284%
Oaktree Specialty Lending Corp,OCSL,0.728%
Apollo Investment Corp,AINV,0.7181%
IP Group PLC,IPO,0.6626%
Italmobiliare SpA,ITM,0.5093%
Alaris Royalty Corp,AD,0.5036%
Riverstone Energy Ltd,RSE,0.499%
BlackRock Capital Investment Corp,BKCC,0.4944%
VinaCapital Vietnam Opportunity Fund Ltd,VOF,0.4613%
Zeder Investments Ltd,ZED,0.4578%
Gladstone Investment Corp,GAIN,0.4527%
Brait SE,BAT,0.4027%
Georgia Capital PLC,CGEO,0.3917%
CapMan Oyj,CAPMAN,0.2974%
Oxford Square Capital Corp,OXSQ,0.29%
Mutares SE & Co KgaA,MUX,0.2656%
Gozde Girisim Sermayesi Yatirim Ortakligi AS,GOZDE,0.2602%
Sutter Rock Capital Corp,SSSS,0.2492%
Malin Corporation plc,MLC,0.2375%
Medley Capital Corp,MCC,0.2305%
Long4Life Ltd,L4L,0.2142%
Allied Minds PLC,ALM,0.1829%
Cash Component,CASH,0.007%
