PTF: Invesco DWA Technology Momentum ETF
Inception Date: 2006-10-12
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	210124
Shares Outstanding: 2550000
Expense Ratio: 0.6%
Tracks This Index: Dynamic Technology Sector Intellidex Index
ETFdb.com Category: Technology Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PTF


Holding,Symbol,Weighting
Apple Inc,AAPL,5.1343%
RingCentral Inc,RNG,4.7334%
NVIDIA Corp,NVDA,3.9631%
Paycom Software Inc,PAYC,3.4054%
Adobe Inc,ADBE,3.3409%
Broadcom Inc,AVGO,3.3129%
Cardlytics Inc,CDLX,3.2929%
Advanced Micro Devices Inc,AMD,3.2517%
Lam Research Corp,LRCX,3.1003%
Monolithic Power Systems Inc,MPWR,2.9087%
EverQuote Inc,EVER,2.8821%
Five9 Inc,FIVN,2.7863%
Microsoft Corp,MSFT,2.6021%
Inphi Corp,IPHI,2.5656%
CDW Corp,CDW,2.4342%
Leidos Holdings Inc,LDOS,2.3785%
Fortinet Inc,FTNT,2.3478%
Splunk Inc,SPLK,2.3475%
KLA Corp,KLAC,2.3041%
Epam Systems Inc,EPAM,2.2679%
Smartsheet Inc,SMAR,2.193%
Everbridge Inc,EVBG,2.136%
Synopsys Inc,SNPS,2.1007%
Teradyne Inc,TER,2.0851%
Cirrus Logic Inc,CRUS,1.9746%
Cogent Communications Holdings Inc,CCOI,1.9714%
Pegasystems Inc,PEGA,1.9214%
Paylocity Holding Corp,PCTY,1.902%
Digital Turbine Inc,APPS,1.8726%
Seagate Technology PLC,STX,1.8646%
Entegris Inc,ENTG,1.7605%
Lattice Semiconductor Corp,LSCC,1.7357%
Perficient Inc,PRFT,1.7269%
Infinera Corp,INFN,1.6763%
CACI International Inc,CACI,1.6174%
Ubiquiti Inc,UI,1.4635%
MACOM Technology Solutions Holdings Inc,MTSI,1.3593%
Ultra Clean Holdings Inc,UCTT,1.3054%
Inseego Corp,INSG,1.2743%
FormFactor Inc,FORM,1.2554%
Ichor Holdings Ltd,ICHR,1.2277%
Model N Inc,MODN,1.2141%
Photronics Inc,PLAB,1.0286%
Cash Component,CASH,-0.0265%
