PZD: Invesco Cleantech™ ETF
Inception Date: 2006-10-24
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	250232
Shares Outstanding: 4950000
Expense Ratio: 0.68%
Tracks This Index: Cleantech Index
ETFdb.com Category: Alternative Energy Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/PZD


Holding,Symbol,Weighting
Novozymes A/S,NZYM.B,3.2352%
Autodesk Inc,ADSK,3.2292%
ANSYS Inc,ANSS,3.2026%
Roper Technologies Inc,ROP,3.1741%
Xylem Inc,XYL,3.0969%
Kingspan Group PLC,KRX,3.0753%
Vestas Wind Systems A/S,VWS,2.9585%
Schneider Electric SE,SU,2.9372%
Trimble Inc,TRMB,2.9307%
Abb Ltd,ABBN,2.9109%
Intertek Group PLC,ITRK,2.8591%
SGS SA,SGSN,2.8482%
Johnson Controls International PLC,JCI,2.8087%
Umicore SA,UMI,2.7746%
Siemens Gamesa Renewable Energy SA,SGRE,2.7555%
Woodward Inc,WWD,2.7101%
Hexcel Corp,HXL,2.7071%
Cree Inc,CREE,2.683%
Solaredge Technologies Inc,SEDG,2.6571%
Eurofins Scientific SE,ERF,2.5142%
Donaldson Company Inc,DCI,2.497%
Sensata Technologies Holding PLC,ST,2.3706%
Tomra Systems ASA,TOM,2.3549%
Power Integrations Inc,POWI,2.0917%
Ormat Technologies Inc,ORA,2.0883%
BorgWarner Inc,BWA,2.0029%
Advanced Energy Industries Inc,AEIS,1.9289%
Semtech Corp,SMTC,1.8874%
Itron Inc,ITRI,1.843%
Horiba Ltd,6856,1.7952%
EnerSys,ENS,1.7726%
Scatec Solar ASA,SSO,1.6796%
Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,1.6486%
Sunrun Inc,RUN,1.5103%
Kornit Digital Ltd,KRNT,1.4942%
Badger Meter Inc,BMI,1.195%
PQ Group Holdings Inc,PQG,1.1399%
Lindsay Corp,LNN,1.0712%
Raven Industries Inc,RAVN,1.0428%
Kadant Inc,KAI,1.0183%
TPI Composites Inc,TPIC,0.9257%
Vaisala Oyj,VAIAS,0.9235%
Hollysys Automation Technologies Ltd,HOLI,0.8592%
XP Power Ltd,XPP,0.8441%
Gurit Holding AG,GUR,0.8107%
Willdan Group Inc,WLDN,0.7208%
SMA Solar Technology AG,S92,0.6972%
Ricardo PLC,RCDO,0.6757%
Digi International Inc,DGII,0.5259%
Opus Group AB (publ),OPUS,0.5183%
Cash Component,CASH,-0.0014%
