QQQ: Invesco QQQ
Inception Date: 1999-03-10
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	94550509
Shares Outstanding: 412650000
Expense Ratio: 0.2%
Tracks This Index: NASDAQ-100 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Invesco
Structure: UIT
ETF Home Page: https://etfdb.com/etf/QQQ


Holding,Symbol,Weighting
Apple Inc,AAPL,11.7324%
Microsoft Corp,MSFT,11.5745%
Amazon.com Inc,AMZN,8.512%
Facebook Inc,FB,4.2164%
Alphabet Inc,GOOG,4.1963%
Alphabet Inc,GOOGL,4.196%
Intel Corp,INTC,3.0225%
Cisco Systems Inc,CSCO,2.1417%
Comcast Corp,CMCSA,2.1377%
PepsiCo Inc,PEP,2.133%
Adobe Inc,ADBE,1.8662%
Netflix Inc,NFLX,1.6903%
NVIDIA Corp,NVDA,1.6207%
PayPal Holdings Inc,PYPL,1.4693%
Costco Wholesale Corp,COST,1.4591%
Amgen Inc,AMGN,1.4332%
Tesla Inc,TSLA,1.4169%
Broadcom Inc,AVGO,1.3152%
Texas Instruments Inc,TXN,1.266%
Charter Communications Inc,CHTR,1.1874%
Starbucks Corp,SBUX,1.0742%
Qualcomm Inc,QCOM,1.0507%
Gilead Sciences Inc,GILD,0.9167%
Mondelez International Inc,MDLZ,0.8889%
Fiserv Inc,FISV,0.8722%
Booking Holdings Inc,BKNG,0.8334%
Automatic Data Processing Inc,ADP,0.816%
Intuit Inc,INTU,0.8077%
T-Mobile US Inc,TMUS,0.7696%
Intuitive Surgical Inc,ISRG,0.703%
Micron Technology Inc,MU,0.6628%
Vertex Pharmaceuticals Inc,VRTX,0.6496%
Biogen Inc,BIIB,0.6445%
CSX Corp,CSX,0.641%
Applied Materials Inc,AMAT,0.6001%
Advanced Micro Devices Inc,AMD,0.583%
Walgreens Boots Alliance Inc,WBA,0.5%
Activision Blizzard Inc,ATVI,0.4973%
Marriott International Inc,MAR,0.4955%
Exelon Corp,EXC,0.493%
Lam Research Corp,LRCX,0.4818%
Autodesk Inc,ADSK,0.4788%
Illumina Inc,ILMN,0.4547%
Ross Stores Inc,ROST,0.4469%
Analog Devices Inc,ADI,0.4351%
Regeneron Pharmaceuticals Inc,REGN,0.4333%
Cognizant Technology Solutions Corp,CTSH,0.4009%
JD.com Inc,JD,0.3902%
Monster Beverage Corp,MNST,0.3897%
NXP Semiconductors NV,NXPI,0.3891%
Xcel Energy Inc,XEL,0.388%
Baidu Inc,BIDU,0.3805%
Kraft Heinz Co,KHC,0.3795%
Mercadolibre Inc,MELI,0.3383%
Electronic Arts Inc,EA,0.3352%
Workday Inc,WDAY,0.332%
Paychex Inc,PAYX,0.3318%
Sirius XM Holdings Inc,SIRI,0.331%
Cintas Corp,CTAS,0.3181%
Lululemon Athletica Inc,LULU,0.3146%
eBay Inc,EBAY,0.31%
O'Reilly Automotive Inc,ORLY,0.3079%
Verisk Analytics Inc,VRSK,0.2923%
Willis Towers Watson PLC,WLTW,0.2845%
Paccar Inc,PCAR,0.2745%
KLA Corp,KLAC,0.2738%
Microchip Technology Inc,MCHP,0.267%
Cerner Corp,CERN,0.2611%
NetEase Inc,NTES,0.261%
Splunk Inc,SPLK,0.2582%
CoStar Group Inc,CSGP,0.256%
Verisign Inc,VRSN,0.2542%
ANSYS Inc,ANSS,0.2536%
Copart Inc,CPRT,0.2507%
IDEXX Laboratories Inc,IDXX,0.2503%
Synopsys Inc,SNPS,0.2437%
ASML Holding NV,ASML,0.2369%
Alexion Pharmaceuticals Inc,ALXN,0.2344%
Xilinx Inc,XLNX,0.2264%
Fastenal Co,FAST,0.2256%
Cadence Design Systems Inc,CDNS,0.217%
Dollar Tree Inc,DLTR,0.2168%
Align Technology Inc,ALGN,0.2145%
Seattle Genetics Inc,SGEN,0.2121%
United Airlines Holdings Inc,UAL,0.2116%
Western Digital Corp,WDC,0.21%
Skyworks Solutions Inc,SWKS,0.2039%
CDW Corp,CDW,0.2003%
Check Point Software Technologies Ltd,CHKP,0.1883%
Trip.com Group Ltd,TCOM,0.1865%
Ulta Beauty Inc,ULTA,0.1834%
Maxim Integrated Products Inc,MXIM,0.1779%
Incyte Corp,INCY,0.1683%
Citrix Systems Inc,CTXS,0.1659%
Biomarin Pharmaceutical Inc,BMRN,0.164%
Expedia Group Inc,EXPE,0.1614%
Fox Corp,FOXA,0.1379%
NetApp Inc,NTAP,0.1376%
Take-Two Interactive Software Inc,TTWO,0.1347%
American Airlines Group Inc,AAL,0.1308%
Fox Corp,FOX,0.1019%
Liberty Global PLC,LBTYK,0.0899%
Cash Component,CASH,0.0882%
Liberty Global PLC,LBTYA,0.039%
