QTEC: First Trust NASDAQ 100 Technology
Inception Date: 2006-04-25
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	3059468
Shares Outstanding: 29150000
Expense Ratio: 0.57%
Tracks This Index: NASDAQ-100 Technology Sector Index
ETFdb.com Category: Technology Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/QTEC


Holding,Symbol,Weighting
Microsoft Corp,MSFT,2.7892%
Workday Inc,WDAY,2.7414%
Apple Inc,AAPL,2.732%
Autodesk Inc,ADSK,2.7021%
Advanced Micro Devices Inc,AMD,2.6884%
Intel Corp,INTC,2.6721%
Adobe Inc,ADBE,2.6648%
NetEase Inc,NTES,2.6544%
Intuit Inc,INTU,2.6338%
Synopsys Inc,SNPS,2.6312%
ANSYS Inc,ANSS,2.6269%
Cognizant Technology Solutions Corp,CTSH,2.6269%
Western Digital Corp,WDC,2.6171%
Citrix Systems Inc,CTXS,2.6025%
Splunk Inc,SPLK,2.5709%
Cerner Corp,CERN,2.5704%
Verisign Inc,VRSN,2.5439%
Lam Research Corp,LRCX,2.5302%
NVIDIA Corp,NVDA,2.5073%
Check Point Software Technologies Ltd,CHKP,2.5048%
Cadence Design Systems Inc,CDNS,2.5045%
ASML Holding NV,ASML,2.4814%
NXP Semiconductors NV,NXPI,2.4724%
Micron Technology Inc,MU,2.4658%
Facebook Inc,FB,2.4559%
Baidu Inc,BIDU,2.4496%
Microchip Technology Inc,MCHP,2.4205%
Maxim Integrated Products Inc,MXIM,2.4176%
Cisco Systems Inc,CSCO,2.4123%
Applied Materials Inc,AMAT,2.3824%
Texas Instruments Inc,TXN,2.3813%
Broadcom Inc,AVGO,2.3607%
Qualcomm Inc,QCOM,2.3488%
Skyworks Solutions Inc,SWKS,2.2862%
Analog Devices Inc,ADI,2.2356%
KLA Corp,KLAC,2.2211%
NetApp Inc,NTAP,2.2049%
CDW Corp,CDW,2.1993%
Xilinx Inc,XLNX,2.09%
Alphabet Inc,GOOG,1.2966%
Alphabet Inc,GOOGL,1.2965%
Cash Component,CASH,0.0062%
