REM: iShares Mortgage Real Estate ETF
Inception Date: 2007-05-04
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1527747
Shares Outstanding: 32500000
Expense Ratio: 0.48%
Tracks This Index: FTSE NAREIT All Mortgage Capped Index
ETFdb.com Category: Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/REM


Holding,Symbol,Weighting
Annaly Capital Management Inc,NLY,16.0536%
AGNC Investment Corp,AGNC,11.703%
New Residential Investment Corp,NRZ,8.0796%
Starwood Property Trust Inc,STWD,8.003%
Blackstone Mortgage Trust Inc,BXMT,4.3217%
Two Harbors Investment Corp,TWO,4.242%
Chimera Investment Corp,CIM,4.2419%
MFA Financial Inc,MFA,4.1607%
Apollo Commercial Real Estate Finance Inc,ARI,3.6866%
Cash Component,CASH,3.6078%
Invesco Mortgage Capital Inc,IVR,3.3983%
Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,2.9447%
PennyMac Mortgage Investment Trust,PMT,2.7335%
Redwood Trust Inc,RWT,2.5477%
Ladder Capital Corp,LADR,2.4794%
New York Mortgage Trust Inc,NYMT,2.1553%
Arbor Realty Trust Inc,ABR,1.673%
ARMOUR Residential REIT Inc,ARR,1.5143%
TPG RE Finance Trust Inc,TRTX,1.3252%
Granite Point Mortgage Trust Inc,GPMT,1.2876%
iStar Inc,STAR,1.16%
Capstead Mortgage Corp,CMO,1.0003%
Ellington Financial Inc,EFC,0.7379%
Western Asset Mortgage Capital Corp,WMC,0.7172%
KKR Real Estate Finance Trust Inc,KREF,0.6926%
AG Mortgage Investment Trust Inc,MITT,0.679%
Ready Capital Corp,RC,0.6705%
Ares Commercial Real Estate Corp,ACRE,0.5806%
Jernigan Capital Inc,JCAP,0.5648%
Dynex Capital Inc,DX,0.5462%
Orchid Island Capital Inc,ORC,0.4974%
Exantas Capital Corp,XAN,0.4831%
Anworth Mortgage Asset Corp,ANH,0.4567%
Great Ajax Corp,AJX,0.3388%
Cherry Hill Mortgage Investment Corp,CHMI,0.3171%
Arlington Asset Investment Corp,AI,0.2685%
Ellington Residential Mortgage REIT,EARN,0.1302%
