REZ: iShares Residential Real Estate ETF
Inception Date: 2007-05-04
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	501232
Shares Outstanding: 6350000
Expense Ratio: 0.48%
Tracks This Index: FTSE NAREIT All Residential Capped Index
ETFdb.com Category: Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/REZ


Holding,Symbol,Weighting
Welltower Inc,WELL,8.842%
Public Storage,PSA,8.649%
Equity Residential,EQR,7.987%
AvalonBay Communities Inc,AVB,7.913%
Ventas Inc,VTR,5.691%
Essex Property Trust Inc,ESS,5.3401%
Healthpeak Properties Inc,PEAK,4.6168%
Invitation Homes Inc,INVH,4.4121%
Mid-America Apartment Communities Inc,MAA,4.1999%
Sun Communities Inc,SUI,3.849%
UDR Inc,UDR,3.7105%
Extra Space Storage Inc,EXR,3.626%
Equity LifeStyle Properties Inc,ELS,3.3075%
Medical Properties Trust Inc,MPW,3.1288%
Camden Property Trust,CPT,2.7589%
Omega Healthcare Investors Inc,OHI,2.4251%
Apartment Investment and Management Co,AIV,2.0642%
American Homes 4 Rent,AMH,1.8771%
Healthcare Trust Of America Inc,HTA,1.7236%
American Campus Communities Inc,ACC,1.6486%
CubeSmart,CUBE,1.5931%
Life Storage Inc,LSI,1.3854%
Healthcare Realty Trust Inc,HR,1.2538%
Sabra Health Care REIT Inc,SBRA,1.0808%
Physicians Realty Trust,DOC,0.9768%
National Health Investors Inc,NHI,0.9612%
CareTrust REIT Inc,CTRE,0.5645%
National Storage Affiliates Trust,NSA,0.5542%
Cash Component,CASH,0.505%
LTC Properties Inc,LTC,0.4847%
Diversified Healthcare Trust,DHC,0.4749%
Universal Health Realty Income Trust,UHT,0.4196%
Independence Realty Trust Inc,IRT,0.3585%
NexPoint Residential Trust Inc,NXRT,0.2543%
Investors Real Estate Trust,IRET,0.2418%
Community Healthcare Trust Inc,CHCT,0.2415%
New Senior Investment Group Inc,SNR,0.1676%
UMH Properties Inc,UMH,0.153%
Front Yard Residential Corp,RESI,0.1403%
Preferred Apartment Communities Inc,APTS,0.1381%
Global Medical REIT Inc,GMRE,0.126%
Bluerock Residential Growth REIT Inc,BRG,0.0689%
BRT Apartments Corp,BRT,0.0436%
Clipper Realty Inc,CLPR,0.0418%
