RGI: Invesco S&P 500® Equal Weight Industrials ETF
Inception Date: 2006-11-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	235672
Shares Outstanding: 1700000
Expense Ratio: 0.4%
Tracks This Index: S&P Equal Weight Index Industrials
ETFdb.com Category: Industrials Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RGI


Holding,Symbol,Weighting
Old Dominion Freight Line Inc,ODFL,1.642%
Rollins Inc,ROL,1.6244%
Textron Inc,TXT,1.6202%
Copart Inc,CPRT,1.6056%
L3Harris Technologies Inc,LHX,1.5917%
Lockheed Martin Corp,LMT,1.5775%
Kansas City Southern,KSU,1.5743%
Verisk Analytics Inc,VRSK,1.5736%
General Electric Co,GE,1.5693%
Equifax Inc,EFX,1.5557%
Cintas Corp,CTAS,1.5437%
Norfolk Southern Corp,NSC,1.5342%
Waste Management Inc,WM,1.5337%
TransDigm Group Inc,TDG,1.5287%
Roper Technologies Inc,ROP,1.5235%
Allegion PLC,ALLE,1.5121%
Republic Services Inc,RSG,1.512%
Eaton Corporation PLC,ETN,1.5106%
Fortune Brands Home & Security Inc,FBHS,1.5075%
Xylem Inc,XYL,1.5025%
IHS Markit Ltd,INFO,1.4954%
Huntington Ingalls Industries Inc,HII,1.487%
CSX Corp,CSX,1.4839%
Nielsen Holdings PLC,NLSN,1.4804%
Jacobs Engineering Group Inc,J,1.4757%
Ingersoll-Rand PLC,IR,1.4709%
Raytheon Co,RTN,1.4704%
Southwest Airlines Co,LUV,1.467%
United Technologies Corp,UTX,1.4593%
Fortive Corp,FTV,1.458%
Northrop Grumman Corp,NOC,1.4547%
General Dynamics Corp,GD,1.4466%
Union Pacific Corp,UNP,1.44%
Masco Corp,MAS,1.44%
Illinois Tool Works Inc,ITW,1.4351%
American Airlines Group Inc,AAL,1.4325%
Dover Corp,DOV,1.4317%
Westinghouse Air Brake Technologies Corp,WAB,1.4287%
IDEX Corp,IEX,1.4213%
Delta Air Lines Inc,DAL,1.4163%
Fastenal Co,FAST,1.3993%
Parker-Hannifin Corp,PH,1.3971%
Ametek Inc,AME,1.384%
Rockwell Automation Inc,ROK,1.3833%
J B Hunt Transport Services Inc,JBHT,1.3814%
Stanley Black & Decker Inc,SWK,1.3737%
Honeywell International Inc,HON,1.373%
Arconic Inc,ARNC,1.3718%
Johnson Controls International PLC,JCI,1.3657%
Boeing Co,BA,1.3651%
Flowserve Corp,FLS,1.3483%
C.H. Robinson Worldwide Inc,CHRW,1.3477%
Emerson Electric Co,EMR,1.3473%
Deere & Co,DE,1.3455%
Expeditors International of Washington Inc,EXPD,1.3363%
Robert Half International Inc,RHI,1.3329%
Pentair PLC,PNR,1.3202%
3M Co,MMM,1.3163%
Alaska Air Group Inc,ALK,1.3158%
Quanta Services Inc,PWR,1.3139%
FedEx Corp,FDX,1.3024%
United Rentals Inc,URI,1.2767%
Paccar Inc,PCAR,1.275%
Caterpillar Inc,CAT,1.2718%
Snap-On Inc,SNA,1.2671%
United Airlines Holdings Inc,UAL,1.2589%
A. O. Smith Corp,AOS,1.2521%
W W Grainger Inc,GWW,1.2495%
Cummins Inc,CMI,1.2225%
United Parcel Service Inc,UPS,1.2065%
Cash Component,CASH,0.0612%
