RHS: Invesco S&P 500® Equal Weight Consumer Staples ETF
Inception Date: 2006-11-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	502991
Shares Outstanding: 3400000
Expense Ratio: 0.4%
Tracks This Index: S&P Equal Weight Index Consumer Staples
ETFdb.com Category: Consumer Staples Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RHS


Holding,Symbol,Weighting
Molson Coors Beverage Co,TAP,3.3194%
Conagra Brands Inc,CAG,3.2866%
Lamb Weston Holdings Inc,LW,3.2786%
Monster Beverage Corp,MNST,3.2339%
Colgate-Palmolive Co,CL,3.2312%
Mondelez International Inc,MDLZ,3.2161%
Constellation Brands Inc,STZ,3.2118%
Clorox Co,CLX,3.1997%
Coca-Cola Co,KO,3.1748%
Coty Inc,COTY,3.1695%
Brown-Forman Corp,BF.B,3.1453%
Costco Wholesale Corp,COST,3.1372%
J M Smucker Co,SJM,3.1118%
Kimberly-Clark Corp,KMB,3.1106%
Church & Dwight Co Inc,CHD,3.1073%
Hershey Co,HSY,3.0966%
PepsiCo Inc,PEP,3.0772%
Hormel Foods Corp,HRL,3.0617%
Philip Morris International Inc,PM,3.0155%
Estee Lauder Companies Inc,EL,3.0026%
Campbell Soup Co,CPB,2.9812%
Archer Daniels Midland Co,ADM,2.9522%
General Mills Inc,GIS,2.936%
Procter & Gamble Co,PG,2.9331%
Kroger Co,KR,2.9057%
McCormick & Company Inc,MKC,2.842%
Kellogg Co,K,2.8278%
Walmart Inc,WMT,2.8255%
Kraft Heinz Co,KHC,2.7289%
Sysco Corp,SYY,2.7032%
Altria Group Inc,MO,2.6897%
Walgreens Boots Alliance Inc,WBA,2.6851%
Tyson Foods Inc,TSN,2.6664%
Cash Component,CASH,0.1354%
