RING: iShares MSCI Global Gold Miners ETF
Inception Date: 2012-01-31
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	331442
Shares Outstanding: 14450000
Expense Ratio: 0.39%
Tracks This Index: MSCI ACWI Select Gold Miners Investable Market Index
ETFdb.com Category: Materials
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RING


Holding,Symbol,Weighting
Newmont Corporation,NEM,19.8596%
Barrick Gold Corp,ABX,17.73%
Newcrest Mining Ltd,NCM,7.8965%
Kirkland Lake Gold Ltd,KL,4.9579%
Agnico Eagle Mines Ltd,AEM,4.0995%
AngloGold Ashanti Ltd,ANG,4.0825%
Kinross Gold Corp,K,3.9519%
Sibanye Gold Ltd,SGL,3.716%
Gold Fields Ltd,GFI,3.711%
B2Gold Corp,BTO,2.5293%
Yamana Gold Inc,YRI,2.4893%
Cash Component,CASH,2.2225%
Polymetal International PLC,POLY,2.1313%
Alamos Gold Inc,AGI,1.7244%
Compania de Minas Buenaventura SAA,BVN,1.6571%
SSR Mining Inc,SSRM,1.5543%
Centamin PLC,CEY,1.4571%
Centerra Gold Inc,CG,1.3314%
Harmony Gold Mining Company Ltd,HAR,1.2008%
Endeavour Mining Corp,EDV,1.1035%
Alacer Gold Corp,ASR,1.0889%
St Barbara Ltd,SBM,1.0028%
Iamgold Corp,IMG,0.9978%
Torex Gold Resources Inc,TXG,0.9806%
Eldorado Gold Corp,ELD,0.9192%
Coeur Mining Inc,CDE,0.888%
Koza Altin Isletmeleri AS,KOZAL,0.7096%
Semafo Inc,SMF,0.7072%
Westgold Resources Ltd,WGX,0.6586%
Resolute Mining Ltd,RSG,0.6556%
New Gold Inc,NGD,0.5916%
McEwen Mining Inc,MUX,0.4155%
Premier Gold Mines Ltd,PG,0.3203%
China Gold International Resources Corp Ltd,CGG,0.2647%
Wesdome Gold Mines Ltd,WDO,0.2506%
Leagold Mining Corp,LMC,0.1021%
TMAC Resources Inc,TMR,0.0409%
Castile Resources Ltd,CST,0.0%
