ROBO: ROBO Global Robotics and Automation Index ETF
Inception Date: 2013-10-22
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1282974
Shares Outstanding: 30050000
Expense Ratio: 0.95%
Tracks This Index: Robo-Stox Global Robotics and Automation Index
ETFdb.com Category: Global Equities
Issuer: Exchange Traded Concepts
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ROBO


Holding,Symbol,Weighting
Blue Prism Group PLC,PRSM,2.6168%
iRobot Corp,IRBT,1.9183%
Hiwin Technologies Corp,2049,1.9156%
NVIDIA Corp,NVDA,1.897%
Harmonic Drive Systems Inc,6324,1.82%
Fanuc Corp,6954,1.7837%
Daifuku Co Ltd,6383,1.7696%
Krones AG,KRN,1.7567%
Omron Corp,6645,1.7517%
AeroVironment Inc,AVAV,1.7337%
Kardex AG,KARN,1.6414%
Keyence Corp,6861,1.6356%
Rockwell Automation Inc,ROK,1.6329%
Cognex Corp,CGNX,1.6323%
Hollysys Automation Technologies Ltd,HOLI,1.6077%
Airtac International Group,1590,1.5896%
Intuitive Surgical Inc,ISRG,1.5739%
FLIR Systems Inc,FLIR,1.5726%
Zebra Technologies Corp,ZBRA,1.5401%
Brooks Automation Inc,BRKS,1.5207%
Yaskawa Electric Corp,6506,1.5174%
Kohyoung Technology Inc,098460,1.5147%
Nabtesco Corp,6268,1.5001%
IPG Photonics Corp,IPGP,1.4948%
Vocera Communications Inc,VCRA,1.4127%
3D Systems Corp,DDD,1.1952%
ServiceNow Inc,NOW,1.166%
Toshiba Machine Co Ltd,6104,1.1542%
Nuance Communications Inc,NUAN,1.143%
Global Unichip Corp,3443,1.1247%
Ambarella Inc,AMBA,1.0855%
Autodesk Inc,ADSK,1.0761%
Materialise NV,MTLS,1.0446%
Teledyne Technologies Inc,TDY,1.0437%
PTC Inc,PTC,1.0389%
Cadence Design Systems Inc,CDNS,1.0265%
Novanta Inc,NOVT,1.0195%
Cargotec Corp,CGCBV,1.0189%
Teradyne Inc,TER,1.018%
Trimble Inc,TRMB,1.016%
Abb Ltd,ABBN,1.0145%
National Instruments Corp,NATI,1.0089%
BioTelemetry Inc,BEAT,1.0068%
Microchip Technology Inc,MCHP,1.0048%
FARO Technologies Inc,FARO,0.9992%
Dassault Systemes SE,DSY,0.992%
Tecan Group AG,TECN,0.9896%
Qualcomm Inc,QCOM,0.9867%
Omnicell Inc,OMCL,0.9837%
Schneider Electric SE,SU,0.9801%
Fuji Corp (Aichi),6134,0.9775%
Nordson Corp,NDSN,0.9764%
Mitsubishi Electric Corp,6503,0.9752%
John Bean Technologies Corp,JBT,0.9735%
Deere & Co,DE,0.9646%
Varian Medical Systems Inc,VAR,0.9496%
Renishaw PLC,RSW,0.948%
Advantech Co Ltd,2395,0.9469%
Yokogawa Electric Corp,6841,0.9353%
Hexagon AB,HEXA.B,0.9332%
Ocado Group PLC,OCDO,0.9308%
Duerr AG,DUE,0.9291%
Daihen Corp,6622,0.9258%
Elekta AB (publ),EKTA.B,0.9178%
Stratasys Ltd,SSYS,0.9153%
ATS Automation Tooling Systems Inc,ATA,0.8935%
Delta Electronics Inc,2308,0.891%
Jenoptik AG,JEN,0.8843%
Kion Group AG,KGX,0.8831%
Manhattan Associates Inc,MANH,0.8761%
Globus Medical Inc,GMED,0.8743%
Xilinx Inc,XLNX,0.8741%
THK Co Ltd,6481,0.8698%
Aptiv PLC,APTV,0.8691%
Optex Group Co Ltd,6914,0.8634%
Siemens AG,SIE,0.8566%
GEA Group AG,G1A,0.8543%
Illumina Inc,ILMN,0.8407%
Topcon Corp,7732,0.8234%
Raven Industries Inc,RAVN,0.8228%
Qiagen NV,QGEN,0.7942%
Isra Vision AG,ISR,0.7874%
Amano Corp,6436,0.7721%
Nachi-Fujikoshi Corp,6474,0.729%
Iflytek Co Ltd,002230,0.442%
SIASUN Robot & Automation Co Ltd,300024,0.2681%
Han's Laser Technology Industry Group Co Ltd,002008,0.2334%
Shenzhen Inovance Technology Co Ltd,300124,0.2267%
Cash Component,CASH,0.085%
