ROM: ProShares Ultra Technology
Inception Date: 2007-01-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	519270
Shares Outstanding: 2775000
Expense Ratio: 0.95%
Tracks This Index: Dow Jones U.S. Technology Index (200%)
ETFdb.com Category: Leveraged Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ROM


Holding,Symbol,Weighting
Microsoft Corp,MSFT,18.1134%
Apple Inc,AAPL,17.2599%
Facebook Inc,FB,6.5994%
Alphabet Inc,GOOG,5.7233%
Alphabet Inc,GOOGL,5.7228%
Intel Corp,INTC,3.7088%
Cash Component,CASH,3.0267%
Cisco Systems Inc,CSCO,2.6281%
Adobe Inc,ADBE,2.2851%
Salesforce.Com Inc,CRM,2.1279%
NVIDIA Corp,NVDA,1.9899%
International Business Machines Corp,IBM,1.7544%
Broadcom Inc,AVGO,1.6172%
Texas Instruments Inc,TXN,1.5544%
Oracle Corp,ORCL,1.5311%
Qualcomm Inc,QCOM,1.2894%
Intuit Inc,INTU,0.9891%
ServiceNow Inc,NOW,0.8311%
Micron Technology Inc,MU,0.8134%
Applied Materials Inc,AMAT,0.7361%
Advanced Micro Devices Inc,AMD,0.7154%
Lam Research Corp,LRCX,0.5933%
Autodesk Inc,ADSK,0.5885%
Analog Devices Inc,ADI,0.5328%
Cognizant Technology Solutions Corp,CTSH,0.4924%
HP Inc,HPQ,0.4157%
Workday Inc,WDAY,0.4065%
Motorola Solutions Inc,MSI,0.3951%
Twitter Inc,TWTR,0.3712%
eBay Inc,EBAY,0.3575%
KLA Corp,KLAC,0.3353%
Microchip Technology Inc,MCHP,0.3269%
Splunk Inc,SPLK,0.3231%
Cerner Corp,CERN,0.3206%
ANSYS Inc,ANSS,0.3166%
Palo Alto Networks Inc,PANW,0.31%
Synopsys Inc,SNPS,0.3001%
Xilinx Inc,XLNX,0.2782%
Verisign Inc,VRSN,0.2718%
Cadence Design Systems Inc,CDNS,0.2657%
Western Digital Corp,WDC,0.2579%
Veeva Systems Inc,VEEV,0.2561%
Skyworks Solutions Inc,SWKS,0.2509%
CDW Corp,CDW,0.2467%
Hewlett Packard Enterprise Co,HPE,0.2464%
IAC/InterActiveCorp,IAC,0.2264%
Maxim Integrated Products Inc,MXIM,0.2179%
Fortinet Inc,FTNT,0.2153%
Marvell Technology Group Ltd,MRVL,0.2069%
Akamai Technologies Inc,AKAM,0.2014%
RingCentral Inc,RNG,0.1996%
Twilio Inc,TWLO,0.1959%
Okta Inc,OKTA,0.193%
Citrix Systems Inc,CTXS,0.1915%
Leidos Holdings Inc,LDOS,0.1883%
Paycom Software Inc,PAYC,0.1882%
Centurylink Inc,CTL,0.1842%
Garmin Ltd,GRMN,0.1789%
SS&C Technologies Holdings Inc,SSNC,0.1776%
Gartner Inc,IT,0.1761%
Snap Inc,SNAP,0.1736%
Tyler Technologies Inc,TYL,0.1692%
NetApp Inc,NTAP,0.1691%
Epam Systems Inc,EPAM,0.1644%
Arista Networks Inc,ANET,0.1635%
Seagate Technology PLC,STX,0.1619%
VMware Inc,VMW,0.1603%
