RWO: SPDR DJ Wilshire Global Real Estate ETF
Inception Date: 2008-05-13
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2258965
Shares Outstanding: 43250000
Expense Ratio: 0.5%
Tracks This Index: Dow Jones Global Select Real Estate Securities Index
ETFdb.com Category: Global Real Estate
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RWO


Holding,Symbol,Weighting
Prologis Inc,PLD,5.345%
Simon Property Group Inc,SPG,3.3603%
Welltower Inc,WELL,2.6525%
Public Storage,PSA,2.6317%
AvalonBay Communities Inc,AVB,2.3761%
Equity Residential,EQR,2.2837%
Mitsui Fudosan Co Ltd,8801,2.1089%
Digital Realty Trust Inc,DLR,2.0024%
Link Real Estate Investment Trust,823,1.7107%
Ventas Inc,VTR,1.707%
Essex Property Trust Inc,ESS,1.616%
Boston Properties Inc,BXP,1.5964%
Healthpeak Properties Inc,PEAK,1.398%
Invitation Homes Inc,INVH,1.3194%
Goodman Group,GMG,1.2672%
Mid-America Apartment Communities Inc,MAA,1.2549%
Sun Communities Inc,SUI,1.1695%
Deutsche Wohnen SE,DWNI,1.1672%
UDR Inc,UDR,1.1112%
Extra Space Storage Inc,EXR,1.1062%
Scentre Group,SCG,1.0636%
WFD Unibail Rodamco NV,URW,1.0497%
Duke Realty Corp,DRE,1.0454%
Equity LifeStyle Properties Inc,ELS,1.03%
SEGRO PLC,SGRO,0.9953%
Host Hotels & Resorts Inc,HST,0.9296%
Nippon Building Fund Inc,8951,0.9113%
Camden Property Trust,CPT,0.8474%
Japan Real Estate Investment Corp,8952,0.8254%
Regency Centers Corp,REG,0.8221%
Vornado Realty Trust,VNO,0.8158%
Gecina SA,GFC,0.8064%
Dexus,DXS,0.7302%
Swiss Prime Site AG,SPSN,0.7241%
SM Prime Holdings Inc,SMPH,0.7166%
Land Securities Group PLC,LAND,0.7076%
Federal Realty Investment Trust,FRT,0.6964%
LEG Immobilien AG,LEG,0.6538%
Aroundtown SA,AT1,0.6491%
Kilroy Realty Corp,KRC,0.6466%
Kimco Realty Corp,KIM,0.6434%
Nomura Real Estate Master Fund Inc,3462,0.6278%
Apartment Investment and Management Co,AIV,0.6175%
GPT Group,GPT,0.616%
SL Green Realty Corp,SLG,0.5949%
American Homes 4 Rent,AMH,0.5524%
Douglas Emmett Inc,DEI,0.5476%
Ascendas Real Estate Investment Trust,A17U,0.54%
Nippon Prologis REIT Inc,3283,0.5351%
British Land Company PLC,BLND,0.5272%
Americold Realty Trust,COLD,0.5231%
Klepierre SA,LI,0.5212%
Capitaland Ltd,C31,0.5204%
Orix JREIT Inc,8954,0.504%
Hongkong Land Holdings Ltd,H78,0.5011%
Castellum AB,CAST,0.499%
American Campus Communities Inc,ACC,0.4924%
PSP Swiss Property AG,PSPN,0.4832%
Brixmor Property Group Inc,BRX,0.4831%
CubeSmart,CUBE,0.477%
Hulic Co Ltd,3003,0.4762%
Cousins Properties Inc,CUZ,0.4689%
Unite Group PLC,UTG,0.4677%
Hudson Pacific Properties Inc,HPP,0.4469%
Derwent London PLC,DLN,0.4377%
Park Hotels & Resorts Inc,PK,0.4346%
First Industrial Realty Trust Inc,FR,0.4299%
Rexford Industrial Realty Inc,REXR,0.428%
Vicinity Centres,VCX,0.4199%
Highwoods Properties Inc,HIW,0.4196%
GLP J-REIT,3281,0.4184%
Life Storage Inc,LSI,0.415%
Japan Retail Fund Investment Corp,8953,0.4141%
Eastgroup Properties Inc,EGP,0.4126%
Wharf Real Estate Investment Company Ltd,1997,0.4104%
Covivio SA,COV,0.4086%
Daiwa House Reit Investment Corp,8984,0.4064%
MERLIN Properties SOCIMI SA,MRL,0.4027%
United Urban Investment Corp,8960,0.4016%
Capitaland Mall Trust,C38U,0.3851%
Fibra Uno Administracion SA de CV,FUNO11,0.3841%
JBG SMITH Properties,JBGS,0.3784%
Healthcare Realty Trust Inc,HR,0.3774%
Fabege AB,FABG,0.3768%
Ryman Hospitality Properties Inc,RHP,0.3693%
Advance Residence Investment Corp,3269,0.3572%
Hang Lung Properties Ltd,101,0.3441%
Japan Prime Realty Investment Corp,8955,0.3387%
Tokyu Fudosan Holdings Corp,3289,0.3352%
CapitaLand Commercial Trust,C61U,0.3207%
Mapletree Logistics Trust,M44U,0.3196%
Growthpoint Properties Ltd,GRT,0.3166%
Equity Commonwealth,EQC,0.3113%
Cofinimmo SA,COFB,0.3098%
Kenedix Office Investment Corp,8972,0.3073%
NEPI Rockcastle PLC,NRP,0.3035%
Daiwa Office Investment Corp,8976,0.3034%
Warehouses de Pauw Comm VA,WDP,0.2986%
Service Properties Trust,SVC,0.2857%
Weingarten Realty Investors,WRI,0.2832%
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN,0.2825%
BR Malls Participacoes SA,BRML3,0.2785%
Mapletree Commercial Trust,N2IU,0.2766%
PS Business Parks Inc,PSB,0.2675%
Inmobiliaria Colonial SOCIMI SA,COL,0.2652%
QTS Realty Trust Inc,QTS,0.2635%
Corporate Office Properties Trust,OFC,0.2575%
Sekisui House Reit Inc,3309,0.2564%
Pebblebrook Hotel Trust,PEB,0.2545%
RioCan Real Estate Investment Trust,REI.UN,0.2509%
CA Immobilien Anlagen AG,CAI,0.2492%
Apple Hospitality REIT Inc,APLE,0.2481%
Nippon Accommodations Fund Inc,3226,0.2472%
Tritax Big Box Reit PLC,BBOX,0.2448%
alstria office REIT AG,AOX,0.2444%
Great Portland Estates PLC,GPOR,0.2393%
Industrial & Infrastructure Fund Investment Corp,3249,0.2385%
Mapletree Industrial Trust,ME8U,0.2377%
Piedmont Office Realty Trust Inc,PDM,0.2347%
Suntec Real Estate Investment Trust,T82U,0.2346%
Japan Hotel Reit Investment Corp,8985,0.23%
Sunstone Hotel Investors Inc,SHO,0.2295%
Invincible Investment Corp,8963,0.2283%
Paramount Group Inc,PGRE,0.2254%
Brandywine Realty Trust,BDN,0.2191%
RLJ Lodging Trust,RLJ,0.2136%
Central Pattana PCL,CPN-R,0.2081%
Capital & Counties Properties PLC,CAPC,0.2065%
Retail Properties of America Inc,RPAI,0.2053%
Japan Logistics Fund Inc,8967,0.2009%
Grand City Properties SA,GYC,0.2006%
Macerich Co,MAC,0.2005%
Redefine Properties Ltd,RDF,0.2005%
Columbia Property Trust Inc,CXP,0.199%
Activia Properties Inc,3279,0.199%
Allied Properties Real Estate Investment Trust,AP.UN,0.199%
Unizo Holdings Co Ltd,3258,0.1945%
Shaftesbury PLC,SHB,0.1942%
Washington Real Estate Investment Trust,WRE,0.193%
Mori Hills Reit Investment Corp,3234,0.1897%
Grainger PLC,GRI,0.1896%
LaSalle Logiport REIT,3466,0.1855%
H&R Real Estate Investment Trust,HR.UN,0.1743%
Mitsui Fudosan Logistics Park Inc,3471,0.1734%
Hammerson PLC,HMSO,0.1728%
MCUBS MidCity Investment Corp,3227,0.1723%
Nippon REIT Investment Corp,3296,0.1721%
Acadia Realty Trust,AKR,0.1712%
American Assets Trust Inc,AAT,0.1712%
Xenia Hotels & Resorts Inc,XHR,0.1678%
Urban Edge Properties,UE,0.1668%
Premier Investment Corp,8956,0.1667%
National Storage Affiliates Trust,NSA,0.1645%
Taubman Centers Inc,TCO,0.1634%
Multiplan Empreendimentos Imobiliarios SA,MULT3,0.1595%
Frontier Real Estate Investment Corp,8964,0.1569%
DiamondRock Hospitality Co,DRH,0.1564%
Empire State Realty Trust Inc,ESRT,0.1553%
Aeon Reit Investment Corp,3292,0.1528%
Hysan Development Co Ltd,14,0.1507%
Shopping Centres Australasia Property Group Re Ltd,SCP,0.1507%
Retail Opportunity Investments Corp,ROIC,0.1505%
Kungsleden AB,KLED,0.1495%
Mack-Cali Realty Corp,CLI,0.1491%
Site Centers Corp,SITC,0.1491%
Kenedix Residential Next Investment Corp,3278,0.1462%
Invesco Office J-Reit Inc,3298,0.1456%
Tokyu REIT Inc,8957,0.1455%
LTC Properties Inc,LTC,0.1451%
Easterly Government Properties Inc,DEA,0.1422%
Hulic Reit Inc,3295,0.1418%
Mapletree North Asia Commercial Trust,RW0U,0.1411%
Diversified Healthcare Trust,DHC,0.1411%
Mori Trust Sogo Reit Inc,8961,0.1383%
Japan Excellent Inc,8987,0.1367%
First Capital Realty Inc,FCR.UN,0.1362%
Keppel REIT,K71U,0.1344%
Aeon Mall Co Ltd,8905,0.1327%
SmartCentres Real Estate Investment Trust,SRU.UN,0.1308%
Office Properties Income Trust,OPI,0.1286%
Comforia Residential Reit Inc,3282,0.1219%
Universal Health Realty Income Trust,UHT,0.1204%
Kite Realty Group Trust,KRG,0.1149%
Japan Rental Housing Investments Inc,8986,0.1118%
Granite Real Estate Investment Trust,GRT.UN,0.1114%
Frasers Logistics & Industrial Trust,BUOU,0.1086%
Independence Realty Trust Inc,IRT,0.1077%
Deutsche Euroshop AG,DEQ,0.1039%
Global One Real Estate Investment Corp,8958,0.1005%
BWP Trust,BWP,0.0992%
Seritage Growth Properties,SRG,0.099%
Tanger Factory Outlet Centers Inc,SKT,0.0951%
Summit Hotel Properties Inc,INN,0.0946%
Kenedix Retail Reit Corp,3453,0.0946%
Charter Hall Retail REIT,CQR,0.0903%
RPT Realty,RPT,0.0896%
Eurocommercial Properties NV,ECMPA,0.0765%
Hyprop Investments Ltd,HYP,0.0673%
Boardwalk Real Estate Investment Trust,BEI.UN,0.0657%
Franklin Street Properties Corp,FSP,0.0655%
Fukuoka REIT Corp,8968,0.0652%
Chatham Lodging Trust,CLDT,0.0633%
Mirai Corp,3476,0.0631%
Leopalace21 Corp,8848,0.0574%
Dream Office Real Estate Investment Trust,D.UN,0.0542%
Wereldhave NV,WHA,0.0512%
Artis Real Estate Investment Trust,AX.UN,0.0476%
Washington Prime Group Inc,WPG,0.0423%
Front Yard Residential Corp,RESI,0.0423%
Retail Value Inc,RVI,0.0414%
Hersha Hospitality Trust,HT,0.038%
CorePoint Lodging Inc,CPLG,0.0307%
Ashford Hospitality Trust Inc,AHT,0.0184%
Pennsylvania Real Estate Investment Trust,PEI,0.0171%
Intu Properties PLC,INTU,0.0122%
CBL & Associates Properties Inc,CBL,0.0114%
Cash Component,CASH,-0.137%
