RWR: SPDR Dow Jones REIT ETF
Inception Date: 2001-04-23
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	2299804
Shares Outstanding: 22106000
Expense Ratio: 0.25%
Tracks This Index: Dow Jones U.S. Select REIT Index
ETFdb.com Category: Real Estate
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RWR


Holding,Symbol,Weighting
Prologis Inc,PLD,9.4114%
Simon Property Group Inc,SPG,5.921%
Welltower Inc,WELL,4.671%
Public Storage,PSA,4.6331%
AvalonBay Communities Inc,AVB,4.1882%
Equity Residential,EQR,4.0242%
Digital Realty Trust Inc,DLR,3.5219%
Ventas Inc,VTR,3.0073%
Essex Property Trust Inc,ESS,2.8443%
Boston Properties Inc,BXP,2.8094%
Healthpeak Properties Inc,PEAK,2.4599%
Invitation Homes Inc,INVH,2.3213%
Mid-America Apartment Communities Inc,MAA,2.204%
Sun Communities Inc,SUI,2.0603%
UDR Inc,UDR,1.9582%
Extra Space Storage Inc,EXR,1.9535%
Duke Realty Corp,DRE,1.8422%
Equity LifeStyle Properties Inc,ELS,1.8153%
Host Hotels & Resorts Inc,HST,1.6393%
Camden Property Trust,CPT,1.4971%
Regency Centers Corp,REG,1.4465%
Vornado Realty Trust,VNO,1.4386%
Federal Realty Investment Trust,FRT,1.2306%
Kilroy Realty Corp,KRC,1.1374%
Kimco Realty Corp,KIM,1.1338%
Apartment Investment and Management Co,AIV,1.0876%
SL Green Realty Corp,SLG,1.0494%
American Homes 4 Rent,AMH,0.9726%
Douglas Emmett Inc,DEI,0.966%
Americold Realty Trust,COLD,0.9218%
American Campus Communities Inc,ACC,0.8662%
Brixmor Property Group Inc,BRX,0.851%
CubeSmart,CUBE,0.8393%
Cousins Properties Inc,CUZ,0.8243%
Hudson Pacific Properties Inc,HPP,0.7885%
Park Hotels & Resorts Inc,PK,0.7646%
First Industrial Realty Trust Inc,FR,0.756%
Rexford Industrial Realty Inc,REXR,0.7542%
Highwoods Properties Inc,HIW,0.7365%
Life Storage Inc,LSI,0.7278%
Eastgroup Properties Inc,EGP,0.7274%
Healthcare Realty Trust Inc,HR,0.6653%
JBG SMITH Properties,JBGS,0.6647%
Ryman Hospitality Properties Inc,RHP,0.6478%
Equity Commonwealth,EQC,0.5468%
Service Properties Trust,SVC,0.5031%
Weingarten Realty Investors,WRI,0.498%
PS Business Parks Inc,PSB,0.4649%
QTS Realty Trust Inc,QTS,0.464%
Corporate Office Properties Trust,OFC,0.4523%
Pebblebrook Hotel Trust,PEB,0.4464%
Apple Hospitality REIT Inc,APLE,0.4357%
Piedmont Office Realty Trust Inc,PDM,0.4122%
Sunstone Hotel Investors Inc,SHO,0.4023%
Paramount Group Inc,PGRE,0.3956%
Brandywine Realty Trust,BDN,0.384%
RLJ Lodging Trust,RLJ,0.3751%
Retail Properties of America Inc,RPAI,0.3605%
Macerich Co,MAC,0.3521%
Columbia Property Trust Inc,CXP,0.3521%
Washington Real Estate Investment Trust,WRE,0.3432%
American Assets Trust Inc,AAT,0.3029%
Acadia Realty Trust,AKR,0.3%
Xenia Hotels & Resorts Inc,XHR,0.2976%
Urban Edge Properties,UE,0.2959%
Taubman Centers Inc,TCO,0.2906%
National Storage Affiliates Trust,NSA,0.2903%
DiamondRock Hospitality Co,DRH,0.2777%
Empire State Realty Trust Inc,ESRT,0.2755%
Retail Opportunity Investments Corp,ROIC,0.2666%
Mack-Cali Realty Corp,CLI,0.2648%
Site Centers Corp,SITC,0.264%
LTC Properties Inc,LTC,0.2566%
Diversified Healthcare Trust,DHC,0.2504%
Easterly Government Properties Inc,DEA,0.2496%
Office Properties Income Trust,OPI,0.2288%
Universal Health Realty Income Trust,UHT,0.2175%
Kite Realty Group Trust,KRG,0.2041%
Independence Realty Trust Inc,IRT,0.1882%
Seritage Growth Properties,SRG,0.174%
Tanger Factory Outlet Centers Inc,SKT,0.1708%
Summit Hotel Properties Inc,INN,0.1675%
RPT Realty,RPT,0.1587%
Franklin Street Properties Corp,FSP,0.1141%
Chatham Lodging Trust,CLDT,0.1094%
Washington Prime Group Inc,WPG,0.0751%
Front Yard Residential Corp,RESI,0.0736%
Retail Value Inc,RVI,0.0688%
Hersha Hospitality Trust,HT,0.0678%
CorePoint Lodging Inc,CPLG,0.0515%
Ashford Hospitality Trust Inc,AHT,0.0312%
Pennsylvania Real Estate Investment Trust,PEI,0.0305%
CBL & Associates Properties Inc,CBL,0.019%
Cash Component,CASH,-0.0024%
