RXI: iShares Global Consumer Discretionary ETF
Inception Date: 2006-09-21
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	220199
Shares Outstanding: 1750000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Consumer Discretionary Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RXI


Holding,Symbol,Weighting
Amazon.com Inc,AMZN,11.4685%
Home Depot Inc,HD,6.3382%
Toyota Motor Corp,7203,4.5805%
Mcdonald's Corp,MCD,3.8985%
Nike Inc,NKE,3.0317%
LVMH Moet Hennessy Louis Vuitton SE,MC,3.0019%
Starbucks Corp,SBUX,2.4965%
Lowe's Companies Inc,LOW,2.2807%
Sony Corp,6758,2.2141%
Booking Holdings Inc,BKNG,1.9593%
TJX Companies Inc,TJX,1.8112%
Cash Component,CASH,1.5302%
Target Corp,TGT,1.4349%
Adidas AG,ADS,1.419%
Meituan Dianping,3690,1.1559%
Honda Motor Co Ltd,7267,1.1435%
Kering SA,KER,1.1263%
EssilorLuxottica SA,EL,1.0648%
General Motors Co,GM,1.0432%
Ross Stores Inc,ROST,1.0352%
Daimler AG,DAI,1.033%
Compass Group PLC,CPG,0.9872%
Compagnie Financiere Richemont SA,CFR,0.9646%
Dollar General Corp,DG,0.9642%
Marriott International Inc,MAR,0.9592%
Industria de Diseno Textil SA,ITX,0.9161%
Wesfarmers Ltd,WES,0.8637%
Fast Retailing Co Ltd,9983,0.8386%
Volkswagen AG,VOW3,0.8237%
Prosus NV,PRX,0.7781%
Ford Motor Co,F,0.7759%
Hilton Worldwide Holdings Inc,HLT,0.7691%
Yum! Brands Inc,YUM,0.7547%
Oriental Land Co Ltd,4661,0.7443%
O'Reilly Automotive Inc,ORLY,0.7148%
eBay Inc,EBAY,0.6722%
VF Corp,VFC,0.6663%
Hermes International SCA,RMS,0.6591%
Panasonic Corp,6752,0.6493%
Autozone Inc,AZO,0.6132%
Bayerische Motoren Werke AG,BMW,0.5691%
Bridgestone Corp,5108,0.5667%
Las Vegas Sands Corp,LVS,0.5621%
Aptiv PLC,APTV,0.5578%
Suzuki Motor Corp,7269,0.5347%
Compagnie Generale des Etablissements Michelin SCA,ML,0.5313%
Ferrari NV,RACE,0.5302%
Chipotle Mexican Grill Inc,CMG,0.5292%
Denso Corp,6902,0.5285%
Dollar Tree Inc,DLTR,0.5066%
D.R. Horton Inc,DHI,0.4923%
Best Buy Co Inc,BBY,0.4832%
Restaurant Brands International Inc,QSR,0.4773%
Royal Caribbean Cruises Ltd,RCL,0.4702%
