RYF: Invesco S&P 500® Equal Weight Financials ETF
Inception Date: 2006-11-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	280214
Shares Outstanding: 5900000
Expense Ratio: 0.4%
Tracks This Index: S&P Equal Weight Index Financials
ETFdb.com Category: Financials Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RYF


Holding,Symbol,Weighting
Progressive Corp,PGR,1.7215%
MSCI Inc,MSCI,1.7057%
Moody's Corp,MCO,1.701%
Allstate Corp,ALL,1.6925%
T. Rowe Price Group Inc,TROW,1.6766%
W. R. Berkley Corp,WRB,1.6711%
Aon PLC,AON,1.6668%
BlackRock Inc,BLK,1.6616%
Arthur J Gallagher & Co,AJG,1.657%
Morgan Stanley,MS,1.636%
Nasdaq Inc,NDAQ,1.6321%
S&P Global Inc,SPGI,1.63%
Cincinnati Financial Corp,CINF,1.5964%
Cboe Global Markets Inc,CBOE,1.5842%
Goldman Sachs Group Inc,GS,1.5835%
Marsh & McLennan Companies Inc,MMC,1.5772%
American Express Co,AXP,1.5765%
Loews Corp,L,1.5719%
Chubb Ltd,CB,1.5693%
Willis Towers Watson PLC,WLTW,1.5671%
Ameriprise Financial Inc,AMP,1.5652%
Assurant Inc,AIZ,1.5619%
CME Group Inc,CME,1.5532%
American International Group Inc,AIG,1.5466%
Raymond James Financial Inc,RJF,1.5446%
Invesco Ltd,IVZ,1.5445%
SVB Financial Group,SIVB,1.5377%
Citigroup Inc,C,1.5375%
Globe Life Inc,GL,1.5363%
MetLife Inc,MET,1.5291%
Principal Financial Group Inc,PFG,1.5286%
Everest Re Group Ltd,RE,1.5231%
Intercontinental Exchange Inc,ICE,1.5057%
Berkshire Hathaway Inc,BRK.B,1.5033%
Prudential Financial Inc,PRU,1.503%
Bank of America Corp,BAC,1.5012%
First Republic Bank,FRC,1.4965%
JPMorgan Chase & Co,JPM,1.4961%
Travelers Companies Inc,TRV,1.4949%
State Street Corp,STT,1.493%
M&T Bank Corp,MTB,1.4886%
Lincoln National Corp,LNC,1.4873%
Aflac Inc,AFL,1.4867%
Franklin Resources Inc,BEN,1.4715%
Hartford Financial Services Group Inc,HIG,1.4633%
KeyCorp,KEY,1.4592%
Capital One Financial Corp,COF,1.4575%
Unum Group,UNM,1.4502%
Truist Financial Corp,TFC,1.4466%
PNC Financial Services Group Inc,PNC,1.4465%
E*TRADE Financial Corp,ETFC,1.4416%
Citizens Financial Group Inc,CFG,1.4302%
People's United Financial Inc,PBCT,1.4297%
Fifth Third Bancorp,FITB,1.4219%
Regions Financial Corp,RF,1.4192%
Charles Schwab Corp,SCHW,1.4145%
Bank of New York Mellon Corp,BK,1.4047%
Northern Trust Corp,NTRS,1.3986%
Marketaxess Holdings Inc,MKTX,1.3773%
Huntington Bancshares Inc,HBAN,1.358%
U.S. Bancorp,USB,1.3524%
Zions Bancorporation NA,ZION,1.3491%
Wells Fargo & Co,WFC,1.3276%
Synchrony Financial,SYF,1.3152%
Discover Financial Services,DFS,1.2967%
Comerica Inc,CMA,1.2884%
Cash Component,CASH,0.1372%
