RYH: Invesco S&P 500® Equal Weight Health Care ETF
Inception Date: 2006-11-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	790578
Shares Outstanding: 3500000
Expense Ratio: 0.4%
Tracks This Index: S&P Equal Weight Index Health Care
ETFdb.com Category: Health & Biotech Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RYH


Holding,Symbol,Weighting
Eli Lilly and Co,LLY,1.9406%
Mylan NV,MYL,1.9163%
Biogen Inc,BIIB,1.8384%
DaVita Inc,DVA,1.802%
Zoetis Inc,ZTS,1.7981%
Resmed Inc,RMD,1.7975%
McKesson Corp,MCK,1.791%
Perrigo Company PLC,PRGO,1.7892%
IDEXX Laboratories Inc,IDXX,1.7724%
Cigna Corp,CI,1.7721%
Cooper Companies Inc,COO,1.7697%
Vertex Pharmaceuticals Inc,VRTX,1.7663%
Laboratory Corporation of America Holdings,LH,1.7629%
Centene Corp,CNC,1.7627%
Cerner Corp,CERN,1.7604%
Danaher Corp,DHR,1.757%
Baxter International Inc,BAX,1.7508%
Cardinal Health Inc,CAH,1.7481%
IQVIA Holdings Inc,IQV,1.746%
AmerisourceBergen Corp,ABC,1.7453%
Johnson & Johnson,JNJ,1.7309%
Quest Diagnostics Inc,DGX,1.7062%
Stryker Corp,SYK,1.7061%
Zimmer Biomet Holdings Inc,ZBH,1.7018%
Abbvie Inc,ABBV,1.6923%
Medtronic PLC,MDT,1.6883%
Gilead Sciences Inc,GILD,1.6867%
Allergan plc,AGN,1.6854%
Teleflex Inc,TFX,1.6804%
Bristol-Myers Squibb Co,BMY,1.6724%
Abiomed Inc,ABMD,1.655%
Henry Schein Inc,HSIC,1.6455%
HCA Healthcare Inc,HCA,1.6448%
Mettler-Toledo International Inc,MTD,1.6448%
Thermo Fisher Scientific Inc,TMO,1.6406%
Abbott Laboratories,ABT,1.6393%
Regeneron Pharmaceuticals Inc,REGN,1.6331%
Dentsply Sirona Inc,XRAY,1.6315%
UnitedHealth Group Inc,UNH,1.6313%
Steris plc,STE,1.6202%
Hologic Inc,HOLX,1.6115%
Intuitive Surgical Inc,ISRG,1.611%
Humana Inc,HUM,1.6108%
Edwards Lifesciences Corp,EW,1.6092%
Varian Medical Systems Inc,VAR,1.6021%
Agilent Technologies Inc,A,1.6002%
Pfizer Inc,PFE,1.599%
PerkinElmer Inc,PKI,1.588%
Anthem Inc,ANTM,1.5667%
Align Technology Inc,ALGN,1.5666%
CVS Health Corp,CVS,1.5663%
Amgen Inc,AMGN,1.5595%
Universal Health Services Inc,UHS,1.541%
Merck & Co Inc,MRK,1.5368%
Boston Scientific Corp,BSX,1.5073%
Waters Corp,WAT,1.4954%
Becton Dickinson and Co,BDX,1.4801%
Alexion Pharmaceuticals Inc,ALXN,1.4674%
Illumina Inc,ILMN,1.4593%
Incyte Corp,INCY,1.305%
Cash Component,CASH,-0.0066%
