RYU: Invesco S&P 500® Equal Weight Utilities ETF
Inception Date: 2006-11-07
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	409184
Shares Outstanding: 3650000
Expense Ratio: 0.4%
Tracks This Index: S&P Equal Weight Index Utilities
ETFdb.com Category: Utilities Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RYU


Holding,Symbol,Weighting
Pinnacle West Capital Corp,PNW,3.7481%
Nextera Energy Inc,NEE,3.7354%
Evergy Inc,EVRG,3.7137%
American Water Works Company Inc,AWK,3.7097%
Southern Co,SO,3.7003%
WEC Energy Group Inc,WEC,3.6792%
Ameren Corp,AEE,3.6665%
Entergy Corp,ETR,3.6664%
Eversource Energy,ES,3.6625%
NiSource Inc,NI,3.6498%
Xcel Energy Inc,XEL,3.6299%
Alliant Energy Corp,LNT,3.6246%
American Electric Power Company Inc,AEP,3.6204%
Exelon Corp,EXC,3.6202%
CMS Energy Corp,CMS,3.62%
Atmos Energy Corp,ATO,3.6137%
AES Corp,AES,3.5536%
DTE Energy Co,DTE,3.5197%
Duke Energy Corp,DUK,3.5165%
FirstEnergy Corp,FE,3.5133%
Sempra Energy,SRE,3.5018%
Edison International,EIX,3.4828%
Consolidated Edison Inc,ED,3.4751%
Dominion Energy Inc,D,3.4473%
CenterPoint Energy Inc,CNP,3.3937%
PPL Corp,PPL,3.3169%
Public Service Enterprise Group Inc,PEG,3.2428%
NRG Energy Inc,NRG,3.1632%
Cash Component,CASH,0.2128%
