SIL: Global X Silver Miners ETF
Inception Date: 2010-04-19
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	530879
Shares Outstanding: 17297000
Expense Ratio: 0.65%
Tracks This Index: Solactive Global Silver Miners Index
ETFdb.com Category: Materials
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SIL


Holding,Symbol,Weighting
Wheaton Precious Metals Corp,WPM,22.8634%
Polymetal International PLC,POLY,12.6531%
Korea Zinc Inc,010130,8.343%
Pan American Silver Corp,PAAS,5.9686%
Hecla Mining Co,HL,5.8074%
SSR Mining Inc,SSRM,5.2766%
Fresnillo PLC,FRES,4.7505%
Coeur Mining Inc,CDE,4.6993%
First Majestic Silver Corp,FR,4.0421%
Industrias Penoles SAB de CV,PE&OLES*,3.9125%
Compania de Minas Buenaventura SAA,BVN,3.7957%
MAG Silver Corp,MAG,2.7451%
Silvercorp Metals Inc,SVM,2.2485%
Fortuna Silver Mines Inc,FVI,2.0871%
Hochschild Mining PLC,HOC,1.8216%
Silvercrest Metals Inc,SIL,1.6505%
Volcan Compania Minera SAA,VOLCABC1,1.3681%
Gold Resource Corp,GORO,1.1625%
McEwen Mining Inc,MUX,1.1192%
Endeavour Silver Corp,EXK,0.9617%
Americas Gold and Silver Corporation,USA,0.7632%
Alexco Resource Corp,AXU,0.6721%
Great Panther Mining Ltd,GPL,0.6241%
Bear Creek Mining Corp,BCM,0.4617%
Excellon Resources Inc,EXN,0.1746%
Cash Component,CASH,0.0278%
