SMH: VanEck Vectors Semiconductor ETF
Inception Date: 2011-12-20
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1941540
Shares Outstanding: 13520000
Expense Ratio: 0.35%
Tracks This Index: MVIS US Listed Semiconductor 25 Index
ETFdb.com Category: Technology Equities
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SMH


Holding,Symbol,Weighting
Taiwan Semiconductor Manufacturing Co Ltd,TSM,12.6658%
Intel Corp,INTC,11.5778%
NVIDIA Corp,NVDA,6.3671%
Advanced Micro Devices Inc,AMD,5.3181%
ASML Holding NV,ASML,5.0377%
Texas Instruments Inc,TXN,4.9134%
Micron Technology Inc,MU,4.8738%
Lam Research Corp,LRCX,4.8322%
Qualcomm Inc,QCOM,4.7133%
Broadcom Inc,AVGO,4.6232%
NXP Semiconductors NV,NXPI,4.5979%
Applied Materials Inc,AMAT,4.4118%
Analog Devices Inc,ADI,4.0906%
KLA Corp,KLAC,2.7318%
Xilinx Inc,XLNX,2.6617%
STMicroelectronics NV,STM,2.6605%
Microchip Technology Inc,MCHP,2.4231%
Cadence Design Systems Inc,CDNS,2.3254%
Skyworks Solutions Inc,SWKS,2.1265%
Maxim Integrated Products Inc,MXIM,1.7741%
Teradyne Inc,TER,1.2565%
Marvell Technology Group Ltd,MRVL,1.185%
Qorvo Inc,QRVO,1.0706%
ON Semiconductor Corp,ON,0.8807%
Universal Display Corp,OLED,0.8761%
Cash Component,CASH,0.0053%
