SOXL: Direxion Daily Semiconductor Bull 3x Shares
Inception Date: 2010-03-11
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1012974
Shares Outstanding: 3700000
Expense Ratio: 0.99%
Tracks This Index: PHLX Semiconductor Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SOXL


Holding,Symbol,Weighting
NVIDIA Corp,NVDA,8.9948%
Intel Corp,INTC,8.8124%
Texas Instruments Inc,TXN,8.2962%
Qualcomm Inc,QCOM,8.1073%
Broadcom Inc,AVGO,7.7237%
Advanced Micro Devices Inc,AMD,4.9215%
Micron Technology Inc,MU,4.6385%
Lam Research Corp,LRCX,4.5805%
NXP Semiconductors NV,NXPI,4.4338%
Applied Materials Inc,AMAT,4.1294%
Taiwan Semiconductor Manufacturing Co Ltd,TSM,4.1014%
Analog Devices Inc,ADI,3.8506%
KLA Corp,KLAC,3.7968%
Microchip Technology Inc,MCHP,3.6994%
ASML Holding NV,ASML,3.2928%
Xilinx Inc,XLNX,3.138%
Skyworks Solutions Inc,SWKS,2.8292%
Maxim Integrated Products Inc,MXIM,2.4662%
Marvell Technology Group Ltd,MRVL,2.335%
Qorvo Inc,QRVO,1.7806%
Teradyne Inc,TER,1.6961%
ON Semiconductor Corp,ON,1.2241%
Monolithic Power Systems Inc,MPWR,1.1414%
Entegris Inc,ENTG,1.0918%
MKS Instruments Inc,MKSI,0.8759%
Cree Inc,CREE,0.7388%
Cabot Microelectronics Corp,CCMP,0.6828%
Cirrus Logic Inc,CRUS,0.6583%
Silicon Laboratories Inc,SLAB,0.632%
Semtech Corp,SMTC,0.4844%
Cash Component,CASH,-5.1537%
