SRET: Global X SuperDividend REIT ETF
Inception Date: 2015-03-16
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	516764
Shares Outstanding: 33500000
Expense Ratio: 0.59%
Tracks This Index: Solactive Global SuperDividend REIT Index
ETFdb.com Category: Real Estate
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SRET


Holding,Symbol,Weighting
ARMOUR Residential REIT Inc,ARR,3.479%
AGNC Investment Corp,AGNC,3.466%
New Residential Investment Corp,NRZ,3.4626%
Ready Capital Corp,RC,3.4321%
Annaly Capital Management Inc,NLY,3.4252%
Blackstone Mortgage Trust Inc,BXMT,3.4223%
Gaming and Leisure Properties Inc,GLPI,3.4137%
Manulife US Real Estate Investment Trust,BTOU,3.4124%
Invesco Mortgage Capital Inc,IVR,3.4015%
Starwood Property Trust Inc,STWD,3.3792%
PennyMac Mortgage Investment Trust,PMT,3.3678%
Ladder Capital Corp,LADR,3.3546%
KKR Real Estate Finance Trust Inc,KREF,3.35%
Chimera Investment Corp,CIM,3.3476%
TPG RE Finance Trust Inc,TRTX,3.3426%
Apollo Commercial Real Estate Finance Inc,ARI,3.342%
Redwood Trust Inc,RWT,3.3397%
Global Net Lease Inc,GNL,3.3356%
Two Harbors Investment Corp,TWO,3.33%
New York Mortgage Trust Inc,NYMT,3.3252%
Granite Point Mortgage Trust Inc,GPMT,3.3031%
MFA Financial Inc,MFA,3.285%
RLJ Lodging Trust,RLJ,3.2797%
Omega Healthcare Investors Inc,OHI,3.2613%
EPR Properties,EPR,3.2598%
Apple Hospitality REIT Inc,APLE,3.2526%
RPT Realty,RPT,3.2219%
Service Properties Trust,SVC,3.2109%
Brookfield Property Reit Inc,BPR,3.1601%
WFD Unibail Rodamco NV,URW,3.0354%
Cash Component,CASH,0.0009%
