SRVR: Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF
Inception Date: 2018-05-15
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	262609
Shares Outstanding: 7750000
Expense Ratio: 0.6%
Tracks This Index: Benchmark Data & Infrastructure Real Estate SCTR Index
ETFdb.com Category: Real Estate
Issuer: Pacer Financial
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SRVR


Holding,Symbol,Weighting
Crown Castle International Corp,CCI,15.5175%
American Tower Corp,AMT,15.3741%
Equinix Inc,EQIX,14.7006%
GDS Holdings Ltd,GDS,5.1766%
OUTFRONT Media Inc,OUT,5.1001%
Lamar Advertising Co,LAMR,4.6666%
SBA Communications Corp,SBAC,4.5371%
QTS Realty Trust Inc,QTS,4.5146%
InterXion Holding NV,INXN,4.2336%
Digital Realty Trust Inc,DLR,4.1839%
CyrusOne Inc,CONE,4.0843%
CoreSite Realty Corp,COR,4.081%
Iron Mountain Inc,IRM,4.073%
Uniti Group Inc,UNIT,3.9659%
Switch Inc,SWCH,2.7638%
Clear Channel Outdoor Holdings Inc,CCO,1.6098%
Landmark Infrastructure Partners LP,LMRK,1.3124%
Cash Component,CASH,0.0824%
Vanguard Real Estate Index Fund,VNQ,0.0226%
