TAN: Invesco Solar ETF
Inception Date: 2008-04-15
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	543277
Shares Outstanding: 15608000
Expense Ratio: 0.71%
Tracks This Index: MAC Global Solar Energy Index
ETFdb.com Category: Alternative Energy Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TAN


Holding,Symbol,Weighting
Solaredge Technologies Inc,SEDG,9.1292%
Enphase Energy Inc,ENPH,8.7366%
First Solar Inc,FSLR,7.5326%
Xinyi Solar Holdings Ltd,968,7.0874%
Scatec Solar ASA,SSO,6.8725%
Sunrun Inc,RUN,6.2284%
Hannon Armstrong Sustainable Infrastructure Capital Inc,HASI,4.4125%
Encavis AG,CAP,4.2396%
SunPower Corp,SPWR,4.0324%
TerraForm Power Inc,TERP,4.0118%
Atlantica Yield PLC,AY,3.9063%
Canadian Solar Inc,CSIQ,3.8696%
Solaria Energia y Medio Ambiente SA,SLR,3.8073%
GCL-Poly Energy Holdings Ltd,3800,3.788%
Daqo New Energy Corp,DQ,3.4032%
Neoen SA,NEOEN,3.3227%
JinkoSolar Holding Co Ltd,JKS,3.2946%
Xinyi Energy Holdings Ltd,3868,3.2401%
Vivint Solar Inc,VSLR,3.1354%
SMA Solar Technology AG,S92,2.975%
Meyer Burger Technology AG,MBTN,1.8035%
Beijing Enterprises Clean Energy Group Ltd,1250,1.1747%
Cash Component,CASH,-0.0036%
