TDIV: First Trust NASDAQ Technology Dividend Index Fund
Inception Date: 2012-08-14
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1194458
Shares Outstanding: 26455000
Expense Ratio: 0.5%
Tracks This Index: NASDAQ Technology Dividend Index
ETFdb.com Category: Technology Equities
Issuer: First Trust
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TDIV


Holding,Symbol,Weighting
Microsoft Corp,MSFT,8.8961%
Apple Inc,AAPL,8.7685%
International Business Machines Corp,IBM,8.3526%
Intel Corp,INTC,8.0688%
Cisco Systems Inc,CSCO,7.751%
Texas Instruments Inc,TXN,3.9168%
Qualcomm Inc,QCOM,3.8293%
Broadcom Inc,AVGO,3.6461%
Oracle Corp,ORCL,3.5689%
Millicom International Cellular SA,TIGO,2.6009%
China Mobile Ltd,CHL,2.082%
Telus Corp,TU,1.9894%
Telefonica Brasil SA,VIV,1.8826%
AT&T Inc,T,1.8821%
BCE Inc,BCE,1.8388%
Verizon Communications Inc,VZ,1.8216%
VEON Ltd,VEON,1.8097%
VMware Inc,VMW,1.7182%
HP Inc,HPQ,1.5109%
America Movil SAB de CV,AMX,1.3588%
Applied Materials Inc,AMAT,1.186%
Western Digital Corp,WDC,1.1644%
Analog Devices Inc,ADI,1.1307%
Lam Research Corp,LRCX,1.1236%
L3Harris Technologies Inc,LHX,1.0412%
KT Corp,KT,0.9008%
Seagate Technology PLC,STX,0.8827%
Intuit Inc,INTU,0.8425%
Corning Inc,GLW,0.8412%
Maxim Integrated Products Inc,MXIM,0.8168%
Hewlett Packard Enterprise Co,HPE,0.8045%
Telephone and Data Systems Inc,TDS,0.8045%
KLA Corp,KLAC,0.7043%
Cognizant Technology Solutions Corp,CTSH,0.6978%
Motorola Solutions Inc,MSI,0.6156%
Microchip Technology Inc,MCHP,0.5745%
NetApp Inc,NTAP,0.5598%
NXP Semiconductors NV,NXPI,0.5293%
Xilinx Inc,XLNX,0.497%
Skyworks Solutions Inc,SWKS,0.461%
Orange SA,ORAN,0.3531%
Juniper Networks Inc,JNPR,0.3501%
Cash Component,CASH,0.3406%
Leidos Holdings Inc,LDOS,0.3293%
NetEase Inc,NTES,0.3138%
Citrix Systems Inc,CTXS,0.2875%
ASML Holding NV,ASML,0.2817%
Open Text Corp,OTEX,0.2761%
DXC Technology Co,DXC,0.2632%
CDW Corp,CDW,0.245%
Amdocs Ltd,DOX,0.2337%
NortonLifeLock Inc,NLOK,0.2178%
Marvell Technology Group Ltd,MRVL,0.2144%
Cogent Communications Holdings Inc,CCOI,0.1968%
Logitech International SA,LOGI,0.1865%
Shenandoah Telecommunications Co,SHEN,0.1725%
SAP SE,SAP,0.1544%
SS&C Technologies Holdings Inc,SSNC,0.1456%
Science Applications International Corp,SAIC,0.1346%
ATN International Inc,ATNI,0.1293%
SYNNEX Corp,SNX,0.1278%
Monolithic Power Systems Inc,MPWR,0.111%
Micro Focus International PLC,MFGP,0.1079%
CDK Global Inc,CDK,0.1061%
LogMeIn Inc,LOGM,0.1016%
Teradyne Inc,TER,0.0977%
j2 Global Inc,JCOM,0.0954%
Cabot Microelectronics Corp,CCMP,0.0849%
Ubiquiti Inc,UI,0.0765%
Entegris Inc,ENTG,0.0708%
MKS Instruments Inc,MKSI,0.0679%
InterDigital Wireless Inc,IDCC,0.0647%
Silicon Motion Technology Corp,SIMO,0.0641%
Xperi Corp,XPER,0.0466%
Kulicke and Soffa Industries Inc,KLIC,0.0459%
Perspecta Inc,PRSP,0.0446%
Progress Software Corp,PRGS,0.0434%
Brooks Automation Inc,BRKS,0.0379%
CSG Systems International Inc,CSGS,0.0374%
Blackbaud Inc,BLKB,0.0344%
Power Integrations Inc,POWI,0.0318%
STMicroelectronics NV,STM,0.03%
NIC Inc,EGOV,0.0289%
Systemax Inc,SYX,0.026%
Plantronics Inc,PLT,0.0212%
Cohu Inc,COHU,0.0196%
Sapiens International Corporation NV,SPNS,0.0173%
Ebix Inc,EBIX,0.0147%
Switch Inc,SWCH,0.0135%
Comtech Telecommunications Corp,CMTL,0.0118%
AudioCodes Ltd,AUDC,0.009%
QAD Inc,QADA,0.0065%
Simulations Plus Inc,SLP,0.006%
