TPYP: Tortoise North American Pipeline Fund
Inception Date: 2015-06-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	448063
Shares Outstanding: 19450000
Expense Ratio: 0.4%
Tracks This Index: Tortoise North American Pipeline Index
ETFdb.com Category: Energy Equities
Issuer: Tortoise Capital
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TPYP


Holding,Symbol,Weighting
Enbridge Inc,ENB,7.9728%
TC Energy Corp,TRP,7.7842%
Kinder Morgan Inc,KMI,7.6394%
ONEOK Inc,OKE,7.0993%
Williams Companies Inc,WMB,5.8221%
Enterprise Products Partners LP,EPD,5.2974%
NiSource Inc,NI,4.3158%
Pembina Pipeline Corp,PPL,4.2822%
Atmos Energy Corp,ATO,4.2677%
Energy Transfer LP,ET,4.0262%
Targa Resources Corp,TRGP,3.7677%
Cheniere Energy Inc,LNG,3.708%
Inter Pipeline Ltd,IPL,2.9461%
Keyera Corp,KEY,2.508%
ONE Gas Inc,OGS,2.1579%
AltaGas Ltd,ALA,1.9394%
Spire Inc,SR,1.9001%
Magellan Midstream Partners LP,MMP,1.8844%
Southwest Gas Holdings Inc,SWX,1.8297%
New Jersey Resources Corp,NJR,1.7593%
National Fuel Gas Co,NFG,1.5957%
Gibson Energy Inc,GEI,1.2888%
South Jersey Industries Inc,SJI,1.2668%
MPLX LP,MPLX,1.2202%
Cash Component,CASH,1.2129%
Plains All American Pipeline LP,PAA,0.9878%
Northwest Natural Holding Co,NWN,0.9661%
Equitrans Midstream Corp,ETRN,0.844%
Chesapeake Utilities Corp,CPK,0.6882%
Antero Midstream Corp,AM,0.6357%
EnLink Midstream LLC,ENLC,0.5557%
Phillips 66 Partners LP,PSXP,0.4825%
Tallgrass Energy LP,TGE,0.4664%
Archrock Inc,AROC,0.4526%
Western Midstream Partners LP,WES,0.4437%
Plains GP Holdings LP,PAGP,0.429%
NuStar Energy LP,NS,0.3768%
Shell Midstream Partners LP,SHLX,0.3603%
TC PipeLines LP,TCP,0.3043%
Genesis Energy LP,GEL,0.2729%
DCP Midstream LP,DCP,0.2697%
EQM Midstream Partners LP,EQM,0.2514%
Sunoco LP,SUN,0.2243%
Cheniere Energy Partners LP,CQP,0.2166%
Crestwood Equity Partners LP,CEQP,0.1835%
Holly Energy Partners LP,HEP,0.1325%
New Fortress Energy LLC,NFE,0.1064%
USA Compression Partners LP,USAC,0.1054%
Noble Midstream Partners LP,NBLX,0.1006%
Bp Midstream Partners LP,BPMP,0.0939%
PBF Logistics LP,PBFX,0.0813%
Global Partners LP,GLP,0.0753%
CNX Midstream Partners LP,CNXM,0.0739%
Rattler Midstream LP,RTLR,0.0735%
Enable Midstream Partners LP,ENBL,0.0655%
Hess Midstream Operations LP,HESM,0.051%
Altus Midstream Co,ALTM,0.0376%
Delek Logistics Partners LP,DKL,0.0268%
Crossamerica Partners LP,CAPL,0.0247%
Oasis Midstream Partners LP,OMP,0.0192%
Sprague Resources LP,SRLP,0.0167%
USD Partners LP,USDP,0.0124%
