USRT: iShares Core U.S. REIT ETF
Inception Date: 2007-05-04
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1753414
Shares Outstanding: 31250000
Expense Ratio: 0.08%
Tracks This Index: FTSE NAREIT Equity REITs Index
ETFdb.com Category: Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/USRT


Holding,Symbol,Weighting
Prologis Inc,PLD,6.7028%
Equinix Inc,EQIX,5.0602%
Simon Property Group Inc,SPG,4.2559%
Welltower Inc,WELL,3.3465%
Public Storage,PSA,3.2734%
Equity Residential,EQR,3.0228%
AvalonBay Communities Inc,AVB,2.9949%
Realty Income Corp,O,2.5438%
Digital Realty Trust Inc,DLR,2.5137%
Boston Properties Inc,BXP,2.1653%
Ventas Inc,VTR,2.1539%
Essex Property Trust Inc,ESS,2.0211%
Alexandria Real Estate Equities Inc,ARE,1.871%
Healthpeak Properties Inc,PEAK,1.752%
Invitation Homes Inc,INVH,1.6523%
Mid-America Apartment Communities Inc,MAA,1.5729%
Sun Communities Inc,SUI,1.4415%
WP Carey Inc,WPC,1.4217%
UDR Inc,UDR,1.3896%
Extra Space Storage Inc,EXR,1.3579%
Duke Realty Corp,DRE,1.3206%
Equity LifeStyle Properties Inc,ELS,1.2387%
Medical Properties Trust Inc,MPW,1.1717%
Host Hotels & Resorts Inc,HST,1.1647%
Vornado Realty Trust,VNO,1.1247%
Camden Property Trust,CPT,1.0331%
Regency Centers Corp,REG,1.0295%
VEREIT Inc,VER,1.027%
VICI Properties Inc,VICI,0.9533%
National Retail Properties Inc,NNN,0.9532%
Gaming and Leisure Properties Inc,GLPI,0.9445%
Federal Realty Investment Trust,FRT,0.937%
Omega Healthcare Investors Inc,OHI,0.9082%
Iron Mountain Inc,IRM,0.8896%
Kilroy Realty Corp,KRC,0.8686%
STORE Capital Corp,STOR,0.8369%
Lamar Advertising Co,LAMR,0.7833%
Kimco Realty Corp,KIM,0.7766%
Apartment Investment and Management Co,AIV,0.7731%
SL Green Realty Corp,SLG,0.7367%
American Homes 4 Rent,AMH,0.703%
Douglas Emmett Inc,DEI,0.6959%
CyrusOne Inc,CONE,0.6785%
Americold Realty Trust,COLD,0.6592%
Healthcare Trust Of America Inc,HTA,0.6455%
