UYG: ProShares Ultra Financials
Inception Date: 2007-01-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	851312
Shares Outstanding: 15307000
Expense Ratio: 0.95%
Tracks This Index: Dow Jones U.S. Financials Index (200%)
ETFdb.com Category: Leveraged Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/UYG


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,7.3139%
JPMorgan Chase & Co,JPM,7.0724%
Visa Inc,V,5.7044%
Mastercard Inc,MA,4.7768%
Bank of America Corp,BAC,4.6075%
Wells Fargo & Co,WFC,3.0277%
Citigroup Inc,C,2.8256%
Cash Component,CASH,2.0836%
American Tower Corp,AMT,1.7352%
American Express Co,AXP,1.4561%
U.S. Bancorp,USB,1.2774%
CME Group Inc,CME,1.258%
Goldman Sachs Group Inc,GS,1.2502%
Chubb Ltd,CB,1.212%
Truist Financial Corp,TFC,1.197%
S&P Global Inc,SPGI,1.1907%
Prologis Inc,PLD,1.1293%
Morgan Stanley,MS,1.1127%
PNC Financial Services Group Inc,PNC,1.1035%
BlackRock Inc,BLK,1.0798%
Crown Castle International Corp,CCI,1.0288%
Marsh & McLennan Companies Inc,MMC,0.9698%
Charles Schwab Corp,SCHW,0.8886%
Aon PLC,AON,0.886%
Equinix Inc,EQIX,0.8504%
Intercontinental Exchange Inc,ICE,0.8465%
Progressive Corp,PGR,0.7999%
Capital One Financial Corp,COF,0.7802%
American International Group Inc,AIG,0.7655%
Moody's Corp,MCO,0.7122%
Simon Property Group Inc,SPG,0.7103%
Blackstone Group Inc,BX,0.6797%
Allstate Corp,ALL,0.6626%
MetLife Inc,MET,0.6625%
Bank of New York Mellon Corp,BK,0.6528%
Aflac Inc,AFL,0.638%
Prudential Financial Inc,PRU,0.6267%
Travelers Companies Inc,TRV,0.5774%
Welltower Inc,WELL,0.56%
Public Storage,PSA,0.5592%
T. Rowe Price Group Inc,TROW,0.5322%
AvalonBay Communities Inc,AVB,0.5047%
Equity Residential,EQR,0.4847%
SBA Communications Corp,SBAC,0.4749%
State Street Corp,STT,0.4727%
Willis Towers Watson PLC,WLTW,0.4463%
Realty Income Corp,O,0.4263%
Digital Realty Trust Inc,DLR,0.4214%
MSCI Inc,MSCI,0.4179%
CoStar Group Inc,CSGP,0.4077%
Discover Financial Services,DFS,0.3874%
M&T Bank Corp,MTB,0.3669%
Ameriprise Financial Inc,AMP,0.3659%
Ventas Inc,VTR,0.3605%
Hartford Financial Services Group Inc,HIG,0.3551%
Northern Trust Corp,NTRS,0.3534%
CBRE Group Inc,CBRE,0.3525%
Weyerhaeuser Co,WY,0.3507%
Fifth Third Bancorp,FITB,0.3438%
Essex Property Trust Inc,ESS,0.3398%
Boston Properties Inc,BXP,0.3389%
Alexandria Real Estate Equities Inc,ARE,0.3376%
Synchrony Financial,SYF,0.3248%
Arthur J Gallagher & Co,AJG,0.3209%
First Republic Bank,FRC,0.3186%
KeyCorp,KEY,0.3173%
Arch Capital Group Ltd,ACGL,0.3072%
Healthpeak Properties Inc,PEAK,0.2953%
Markel Corp,MKL,0.2814%
Cincinnati Financial Corp,CINF,0.2801%
Invitation Homes Inc,INVH,0.2789%
Citizens Financial Group Inc,CFG,0.2751%
Mid-America Apartment Communities Inc,MAA,0.2642%
Regions Financial Corp,RF,0.259%
Sun Communities Inc,SUI,0.2454%
WP Carey Inc,WPC,0.2411%
Huntington Bancshares Inc,HBAN,0.2371%
Principal Financial Group Inc,PFG,0.236%
UDR Inc,UDR,0.2354%
Annaly Capital Management Inc,NLY,0.2348%
Extra Space Storage Inc,EXR,0.234%
Cboe Global Markets Inc,CBOE,0.2249%
Loews Corp,L,0.2242%
SVB Financial Group,SIVB,0.2221%
Duke Realty Corp,DRE,0.2214%
Equity LifeStyle Properties Inc,ELS,0.2176%
TD Ameritrade Holding Corp,AMTD,0.2147%
Nasdaq Inc,NDAQ,0.2139%
Marketaxess Holdings Inc,MKTX,0.2106%
Fidelity National Financial Inc,FNF,0.2084%
Alleghany Corp,Y,0.2064%
Ally Financial Inc,ALLY,0.2039%
Medical Properties Trust Inc,MPW,0.1977%
Host Hotels & Resorts Inc,HST,0.1971%
Lincoln National Corp,LNC,0.1947%
Everest Re Group Ltd,RE,0.1932%
Raymond James Financial Inc,RJF,0.1895%
Equitable Holdings Inc,EQH,0.1856%
W. R. Berkley Corp,WRB,0.1848%
Brown & Brown Inc,BRO,0.18%
Globe Life Inc,GL,0.1797%
Camden Property Trust,CPT,0.1787%
Factset Research Systems Inc,FDS,0.1752%
Regency Centers Corp,REG,0.1749%
VEREIT Inc,VER,0.1721%
Vornado Realty Trust,VNO,0.1719%
AGNC Investment Corp,AGNC,0.1705%
E*TRADE Financial Corp,ETFC,0.1616%
Reinsurance Group of America Inc,RGA,0.1602%
VICI Properties Inc,VICI,0.1598%
National Retail Properties Inc,NNN,0.1595%
Gaming and Leisure Properties Inc,GLPI,0.1593%
Omega Healthcare Investors Inc,OHI,0.1531%
Iron Mountain Inc,IRM,0.15%
Jones Lang LaSalle Inc,JLL,0.1492%
Federal Realty Investment Trust,FRT,0.1474%
Comerica Inc,CMA,0.1474%
Renaissancere Holdings Ltd,RNR,0.1423%
SEI Investments Co,SEIC,0.1421%
STORE Capital Corp,STOR,0.1405%
Voya Financial Inc,VOYA,0.1391%
American Financial Group Inc,AFG,0.1386%
Kilroy Realty Corp,KRC,0.138%
Assurant Inc,AIZ,0.1374%
Kimco Realty Corp,KIM,0.1362%
Lamar Advertising Co,LAMR,0.1318%
Apartment Investment and Management Co,AIV,0.1306%
Zions Bancorporation NA,ZION,0.1297%
Signature Bank,SBNY,0.1285%
LPL Financial Holdings Inc,LPLA,0.1258%
SL Green Realty Corp,SLG,0.1253%
Starwood Property Trust Inc,STWD,0.1207%
New Residential Investment Corp,NRZ,0.1179%
Commerce Bancshares Inc,CBSH,0.1178%
Franklin Resources Inc,BEN,0.117%
American Homes 4 Rent,AMH,0.1164%
People's United Financial Inc,PBCT,0.1164%
CyrusOne Inc,CONE,0.1157%
Douglas Emmett Inc,DEI,0.1155%
East West Bancorp Inc,EWBC,0.1149%
Prosperity Bancshares Inc,PB,0.112%
First American Financial Corp,FAF,0.1118%
Invesco Ltd,IVZ,0.1114%
Americold Realty Trust,COLD,0.1111%
Healthcare Trust Of America Inc,HTA,0.1093%
TCF Financial Corp,TCF,0.1082%
Old Republic International Corp,ORI,0.1078%
American Campus Communities Inc,ACC,0.1044%
Brixmor Property Group Inc,BRX,0.1022%
CubeSmart,CUBE,0.1003%
Unum Group,UNM,0.0996%
Cousins Properties Inc,CUZ,0.099%
Credit Acceptance Corp,CACC,0.0964%
Hudson Pacific Properties Inc,HPP,0.0949%
EPR Properties,EPR,0.092%
Park Hotels & Resorts Inc,PK,0.0915%
Eaton Vance Corp,EV,0.0912%
Rexford Industrial Realty Inc,REXR,0.0911%
First Industrial Realty Trust Inc,FR,0.0908%
Athene Holding Ltd,ATH,0.0897%
Hanover Insurance Group Inc,THG,0.0897%
Spirit Realty Capital Inc,SRC,0.0895%
Howard Hughes Corp,HHC,0.0895%
Eastgroup Properties Inc,EGP,0.0894%
Popular Inc,BPOP,0.0888%
AXIS Capital Holdings Ltd,AXS,0.0886%
Highwoods Properties Inc,HIW,0.0878%
Synovus Financial Corp,SNV,0.0877%
Western Alliance Bancorp,WAL,0.0876%
Life Storage Inc,LSI,0.0862%
Cullen/Frost Bankers Inc,CFR,0.0859%
New York Community Bancorp Inc,NYCB,0.0857%
Blackstone Mortgage Trust Inc,BXMT,0.0854%
Primerica Inc,PRI,0.0843%
First Horizon National Corp,FHN,0.084%
Essent Group Ltd,ESNT,0.084%
Kemper Corp,KMPR,0.0834%
MGIC Investment Corp,MTG,0.0815%
Lazard Ltd,LAZ,0.0814%
Radian Group Inc,RDN,0.0813%
JBG SMITH Properties,JBGS,0.08%
Healthcare Realty Trust Inc,HR,0.0798%
SLM Corp,SLM,0.0784%
Ryman Hospitality Properties Inc,RHP,0.0781%
First Financial Bankshares Inc,FFIN,0.0768%
Brighthouse Financial Inc,BHF,0.0759%
First Citizens BancShares Inc (Delaware),FCNCA,0.0757%
Stifel Financial Corp,SF,0.0754%
Assured Guaranty Ltd,AGO,0.0742%
OUTFRONT Media Inc,OUT,0.0735%
CIT Group Inc,CIT,0.0728%
Pinnacle Financial Partners Inc,PNFP,0.0717%
Webster Financial Corp,WBS,0.071%
Valley National Bancorp,VLY,0.0706%
PacWest Bancorp,PACW,0.0704%
CoreSite Realty Corp,COR,0.0689%
