VAW: Vanguard Materials ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-02-07
Total Assets Under Management (in thousands):	1956438
Shares Outstanding: 15026000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Materials 25/50 Index
ETFdb.com Category: Materials
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VAW


Holding,Symbol,Weighting
Linde PLC,LIN,12.9483%
Air Products and Chemicals Inc,APD,6.1578%
Ecolab Inc,ECL,5.9576%
Sherwin-Williams Co,SHW,5.3121%
Dupont De Nemours Inc,DD,4.3816%
Newmont Corporation,NEM,4.0369%
Dow Inc,DOW,3.9914%
PPG Industries Inc,PPG,3.2395%
Ball Corp,BLL,2.7129%
Corteva Inc,CTVA,2.5995%
LyondellBasell Industries NV,LYB,2.4617%
Vulcan Materials Co,VMC,2.1874%
Amcor PLC,AMCR,1.9646%
Freeport-McMoRan Inc,FCX,1.9148%
Martin Marietta Materials Inc,MLM,1.9115%
International Paper Co,IP,1.8187%
Nucor Corp,NUE,1.6253%
International Flavors & Fragrances Inc,IFF,1.5871%
FMC Corp,FMC,1.5343%
Celanese Corp,CE,1.5012%
Avery Dennison Corp,AVY,1.2808%
Crown Holdings Inc,CCK,1.1903%
Westrock Co,WRK,1.1866%
Eastman Chemical Co,EMN,1.1096%
RPM International Inc,RPM,1.0919%
Packaging Corp of America,PKG,1.0745%
CF Industries Holdings Inc,CF,1.03%
Albemarle Corp,ALB,0.9788%
Reliance Steel & Aluminum Co,RS,0.8664%
Aptargroup Inc,ATR,0.8354%
Mosaic Co,MOS,0.8299%
Royal Gold Inc,RGLD,0.7758%
Steel Dynamics Inc,STLD,0.7123%
Axalta Coating Systems Ltd,AXTA,0.6877%
Sonoco Products Co,SON,0.6478%
Sealed Air Corp,SEE,0.6388%
Berry Global Group Inc,BERY,0.6199%
Scotts Miracle-Gro Co,SMG,0.5741%
Ashland Global Holdings Inc,ASH,0.5387%
Graphic Packaging Holding Co,GPK,0.5214%
Huntsman Corp,HUN,0.4861%
Valvoline Inc,VVV,0.4792%
Louisiana-Pacific Corp,LPX,0.4402%
NewMarket Corp,NEU,0.4316%
W. R. Grace & Co,GRA,0.4117%
Eagle Materials Inc,EXP,0.4058%
Balchem Corp,BCPC,0.4011%
PolyOne Corp,POL,0.3239%
Alcoa Corp,AA,0.3225%
Ingevity Corp,NGVT,0.3121%
Element Solutions Inc,ESI,0.3121%
Summit Materials Inc,SUM,0.3018%
Olin Corp,OLN,0.2949%
Sensient Technologies Corp,SXT,0.2878%
Innospec Inc,IOSP,0.2806%
Commercial Metals Co,CMC,0.2773%
Allegheny Technologies Inc,ATI,0.275%
Silgan Holdings Inc,SLGN,0.2743%
Westlake Chemical Corp,WLK,0.2726%
Cabot Corp,CBT,0.2703%
HB Fuller Co,FUL,0.2693%
Quaker Chemical Corp,KWR,0.2604%
Chemours Co,CC,0.2566%
Domtar Corp,UFS,0.237%
O-I Glass Inc,OI,0.2346%
Carpenter Technology Corp,CRS,0.2306%
Stepan Co,SCL,0.2292%
Cleveland-Cliffs Inc,CLF,0.228%
Compass Minerals International Inc,CMP,0.2225%
Minerals Technologies Inc,MTX,0.2188%
Hecla Mining Co,HL,0.1881%
Kaiser Aluminum Corp,KALU,0.1854%
GCP Applied Technologies Inc,GCP,0.1731%
United States Steel Corp,X,0.1731%
Worthington Industries Inc,WOR,0.1683%
Boise Cascade Co,BCC,0.1633%
Livent Corp,LTHM,0.1608%
Coeur Mining Inc,CDE,0.1506%
Trinseo SA,TSE,0.1326%
Neenah Inc,NP,0.1314%
Materion Corp,MTRN,0.1281%
Ferro Corp,FOE,0.1253%
Schweitzer-Mauduit International Inc,SWM,0.1227%
Greif Inc,GEF,0.1214%
AK Steel Holding Corp,AKS,0.1055%
Warrior Met Coal Inc,HCC,0.1044%
P H Glatfelter Co,GLT,0.0859%
Tronox Holdings PLC,TROX,0.0819%
Chase Corp,CCF,0.0805%
Koppers Holdings Inc,KOP,0.0756%
US Concrete Inc,USCR,0.0685%
Verso Corp,VRS,0.0684%
Tredegar Corp,TG,0.0616%
SunCoke Energy Inc,SXC,0.0603%
Myers Industries Inc,MYE,0.0592%
Kraton Corp,KRA,0.0583%
AdvanSix Inc,ASIX,0.0583%
American Vanguard Corp,AVD,0.0555%
Clearwater Paper Corp,CLW,0.0517%
Schnitzer Steel Industries Inc,SCHN,0.0509%
OMNOVA Solutions Inc,OMN,0.0507%
Mercer International Inc,MERC,0.05%
Hawkins Inc,HWKN,0.045%
McEwen Mining Inc,MUX,0.0408%
Haynes International Inc,HAYN,0.0406%
FutureFuel Corp,FF,0.0337%
Century Aluminum Co,CENX,0.0333%
Forterra Inc,FRTA,0.0283%
Kronos Worldwide Inc,KRO,0.0283%
TimkenSteel Corp,TMST,0.026%
Intrepid Potash Inc,IPI,0.0243%
Rayonier Advanced Materials Inc,RYAM,0.0208%
Ryerson Holding Corp,RYI,0.0186%
Venator Materials PLC,VNTR,0.017%
Cash Component,CASH,0.0092%
